Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.06220,0.06220,0.23630,0.55010,0.00520,-0.71900,-1.04620,-1.76510,-1.76510,-1.76510,-0.00280,-1.76790,-0.64790,-0.71900,0.81900,0.81900,-2.77320,-2.77320,4.58780,100.00000,-1155.70900,-1155.70900,-2837.40200,-2841.86000,0.00440,0.11220,802.43210,-13.80890,-13.83600,-12.55370,-13.80890,15.60730,-3.6347,-3.6365
2024-06-30,0.12750,0.12750,0.37520,0.74670,,-0.99440,-0.61450,-1.61070,-1.61070,-1.61070,15.85060,14.23990,-0.87270,-0.99440,0.81900,1.39900,17.24890,10.61500,4.97370,100.00000,-780.13480,-780.13480,-1263.70500,11171.90000,0.00840,0.19670,457.43490,-11.51470,-11.58150,-10.63550,-11.51470,9.10710,-0.8273,-0.8273
2024-03-31,0.26690,0.26690,0.28020,0.88920,0.00160,-0.90090,0.06050,-0.84040,-0.84040,-0.84040,-2.68850,-3.52890,-0.82040,-0.90090,0.81280,0.81280,-4.11520,-4.11520,0.70830,100.00000,-337.54150,-337.54150,-314.87840,-1322.22800,0.07000,2.00850,44.80960,53.54520,53.54590,-22.03710,53.54590,-1.91580,-3.08610,-3.08610
2023-12-31,0.18260,0.18260,1.77950,1.46090,0.03380,-3.02390,-0.19540,-3.21930,-3.21930,-3.21930,,-3.21930,-2.93960,-3.02390,0.61920,0.61920,-7.98580,-7.98580,1.46360,100.00000,-1655.69600,-1655.69600,-1762.67000,-1762.67000,0.03530,1.48570,60.57760,-252.31230,-252.31050,-62.26200,-252.31050,1.60780,-13.7302,-13.742
2023-09-30,0.37090,0.37090,2.04860,1.32620,0.00170,-3.00220,0.04020,-2.96200,-2.96200,-2.96200,,-2.96200,-2.91400,-3.00220,12.88000,12.88000,-0.20370,-0.20370,2.97400,100.00000,-809.38060,-809.38060,-798.53720,-798.53720,0.05340,1.77860,50.60200,-66.34870,-66.34840,-42.63650,-66.34840,0.33090,8.8154,8.824
2023-06-30,0.70180,0.70180,2.08580,1.45020,0.00120,-2.83300,-0.14280,-2.97580,-2.97580,-2.97580,,-2.97580,-2.74670,-2.83300,0.60160,0.60160,-5.34000,-5.34000,3.20270,100.00000,-403.68820,-403.68820,-424.03700,-424.03700,0.07010,2.46770,36.47150,-43.66810,-43.66810,-29.72910,-43.66810,10.91570,-4.4672,-4.4711
2023-03-31,0.54130,0.54130,1.84150,1.29420,0.00120,-2.59310,-0.00830,-2.60140,-2.60140,-2.60140,,-2.60140,-2.51130,-2.59310,0.51040,0.51040,-5.18400,-5.18400,2.16970,100.00000,-479.04640,-479.04640,-480.57640,-480.57640,0.06870,2.17390,41.40050,-59.12630,-59.12640,-32.99970,-59.12640,8.32350,-4.99580,-5.00100
2022-12-31,0.62000,0.62000,2.47700,1.75450,0.00660,-3.60490,-0.15920,-3.76410,-3.76410,-3.76410,,-3.76410,-3.52250,-3.60490,0.37650,0.37650,-3.56120,-3.56120,2.38530,100.00000,-581.43500,-581.43520,-607.10890,-607.10890,0.07140,1.41930,63.41270,-73.11370,-73.11380,-43.37110,-73.11380,10.34930,-11.0019,-11.002
2022-09-30,0.42380,0.42380,2.86170,1.88180,0.00650,-4.31320,0.06140,-4.25180,-4.25180,-4.25180,,-4.25180,-5.81940,-4.31320,0.39820,0.39820,-11.17920,-11.17920,2.83400,100.00000,-1017.78100,-1017.78100,-1003.28800,-1003.28800,0.03340,1.37540,65.43550,-51.65710,-51.65710,-33.55480,-51.65710,18.57980,319.3268,319.3253
2022-06-30,0.18990,0.18990,5.95160,1.58620,0.00320,-7.34470,-0.13360,-7.47830,-7.47830,-7.47830,,-7.47830,-5.67640,-7.34470,0.31220,0.31220,-23.61170,-23.61170,2.54790,100.00000,-3868.04500,-3868.04500,-3938.42100,-3938.42100,0.01610,0.55270,162.85060,-105.22820,-105.22850,-63.44420,-105.22850,22.51570,-337.4568,-337.4568
