Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,5420.10000,1659.20000,3760.90000,1556.70000,,2409.40000,1351.50000,-369.60000,981.90000,37.50000,944.40000,961.70000,,959.60000,2204.20000,1351.50000,532.20900,533.60100,1.80000,1.80000,0.56550,0.59490,1.63680,69.38800,24.93500,24.93500,18.11590,17.70450,0.05410,0.98430,2.08700,43.12450,3.60740,3.61460,0.96060,1.46140,50.06650,4.0362,1.2933
2024-06-30,4579.20000,1368.50000,3210.70000,1562.40000,-142.50000,2526.80000,683.89990,-359.90000,324.00000,6.70000,317.30000,342.50000,,340.30000,1505.80000,683.89990,528.89900,530.14100,0.64000,0.64000,0.65460,0.60440,1.67120,70.11490,14.93490,14.93490,7.07550,7.43140,0.04600,0.77620,1.72680,52.11870,1.30850,1.31110,0.34380,0.51760,49.20610,2.7447,-0.1755
2024-03-31,5025.70000,1575.80000,3449.90000,1490.20000,,2277.30000,1172.60000,-333.30000,839.30000,-141.90000,981.20000,1005.70000,,1003.10000,1959.70000,1172.60000,526.55200,527.59600,1.91000,1.90000,0.53630,0.59920,1.68600,68.64520,23.33210,23.33210,16.70020,19.95940,0.05140,0.89010,2.08080,43.25310,3.89150,3.89940,1.02890,1.55970,49.03790,2.73350,-0.60560
2023-12-31,4577.20100,1690.50000,2886.70100,1416.00000,-66.30000,2263.30000,623.40110,-331.80000,291.60000,-48.60000,340.19990,337.79980,,336.20010,1501.00100,623.40090,518.90400,520.20600,0.65000,0.63000,0.52510,0.59820,1.69950,63.06700,13.61970,13.61970,6.37070,7.34510,0.04730,0.89940,1.87020,48.12240,1.33590,1.33870,0.34940,0.53670,48.05520,2.5859,-0.5204
2023-09-30,5341.70000,1756.80000,3584.90000,1439.30000,,2231.60000,1353.30000,-352.10000,1001.20000,64.20000,937.00000,958.30000,,953.70000,2145.60000,1353.30000,520.46000,521.44400,1.83000,1.83000,0.59730,0.59160,1.66550,67.11160,25.33460,25.33460,18.74310,17.85390,0.05620,1.02140,2.08250,43.21660,3.78030,3.78820,1.00740,1.54400,48.22660,3.4043,2.7504
2023-06-30,4372.50000,1424.60000,2947.90000,1331.60000,,2073.20000,874.70020,-349.40000,525.30000,28.60000,496.70000,516.10000,,521.20000,1616.30000,874.70020,514.87900,516.24300,1.01000,1.01000,0.60610,0.60380,1.82440,67.41910,20.00460,20.00460,12.01370,11.92000,0.04550,0.84710,1.83260,49.10940,2.13940,2.14410,0.53760,0.84770,46.82790,2.2526,-1.5382
2023-03-31,4690.90000,1706.40000,2984.50000,1392.20000,-112.00000,2279.70000,704.80000,-314.20000,390.60000,10.40000,380.20000,400.40000,,397.00000,1480.30000,704.80000,514.17700,515.59800,0.77000,0.77000,0.61780,0.60190,1.78430,63.62320,15.02480,15.02480,8.32680,8.46320,0.04960,1.17100,2.03620,44.20090,1.67060,1.67420,0.42360,0.66500,46.57100,1.39220,-2.66160
2022-12-31,4881.10000,1920.90000,2960.20000,1490.20000,-123.90000,2400.10000,560.10010,-291.70010,268.39990,-85.30000,353.70010,383.40000,,384.30000,1429.00000,560.09940,511.84200,513.48500,0.75000,0.73000,0.51070,0.58720,1.69610,60.64610,11.47490,11.47490,5.49880,7.87320,0.05230,1.42270,1.82950,49.19380,1.58940,1.59290,0.41050,0.65610,46.94300,1.1133,-2.6591
2022-09-30,5526.10000,2111.90000,3414.20000,1479.90000,-182.40000,2484.10000,930.10010,-273.10000,657.00000,-16.10000,673.10000,683.30000,,683.70000,1751.90000,930.10010,513.73000,515.31600,1.33000,1.33000,0.78740,0.57850,1.54010,61.78320,16.83100,16.83100,11.88900,12.37220,0.06060,1.86230,2.30130,39.10840,2.78760,2.79360,0.74880,1.17490,47.71050,3.3796,0.2703
2022-06-30,4639.70000,1564.40000,3075.30000,1315.80000,47.50000,2070.90000,1004.40000,-264.60000,739.80000,54.00000,685.80000,520.80000,,524.50000,1807.00000,1004.40000,513.62300,515.16200,1.02000,1.02000,0.75280,0.57580,1.54710,66.28230,21.64800,21.64800,15.94500,11.30460,0.05110,1.41920,1.97490,45.57130,2.14350,2.14810,0.57320,0.90920,47.29910,2.6099,0.2455
2022-03-31,4592.60000,1500.70000,3091.90000,1311.40000,,2103.80000,988.10030,-232.90000,755.20000,52.80000,702.40000,718.10000,,714.70000,1780.50000,988.10030,506.05000,507.65900,1.41000,1.41000,0.60930,0.56210,1.54940,67.32350,21.51510,21.51510,16.44380,15.56200,0.05110,1.55220,2.37150,37.95110,2.98730,2.99390,0.79940,1.30820,46.80830,3.19550,-0.12690
2021-12-31,4061.40000,1340.20000,2721.20000,1304.10000,,2037.49900,683.70040,-230.90000,452.80000,-70.00000,522.79990,538.59990,,538.90010,1626.20000,683.70090,500.52200,501.78400,1.06000,1.08000,0.62840,0.57980,1.59030,67.00150,16.83410,16.83410,11.14890,13.26880,0.04630,1.35480,2.09180,43.02560,2.37480,2.38030,0.61440,0.99780,44.98150,1.7373,-1.2077
2021-09-30,4623.00000,1441.40000,3181.60000,1373.90000,,2074.20000,1107.40000,-257.70000,849.70000,69.80000,779.90000,796.90000,,796.00000,1807.70000,1107.40000,501.23400,502.60700,1.59000,1.58000,0.58120,0.58730,1.64610,68.82110,23.95410,23.95410,18.37980,17.21830,0.05350,1.47310,2.25470,39.91690,3.53750,3.54580,0.92300,1.46000,44.73510,3.8315,1.2668
2021-06-30,3826.50000,1124.00000,2702.50000,1185.30000,0.00000,1892.60000,809.89990,-205.30000,604.60000,61.20000,543.40000,573.80000,,578.20000,1461.70000,809.89990,499.91700,500.98400,1.16000,1.15000,0.44170,0.58630,1.67570,70.62590,21.16560,21.16560,15.80030,15.11040,0.04540,0.94580,1.84520,48.77620,2.65280,2.65930,0.68020,1.09740,43.24100,2.319,-0.2169
2021-03-31,4281.10000,1560.70000,2720.40000,1213.80000,,1910.10000,810.30000,-205.50000,604.80000,54.50000,550.30000,578.80000,,575.00000,1562.10000,810.30000,497.05900,498.16400,1.16000,1.15000,0.41670,0.58740,1.66790,63.54440,18.92740,18.92740,14.12720,13.43110,0.05160,1.22710,2.30360,39.06850,2.72760,2.73440,0.69750,1.12530,42.50410,-0.23530,-3.23170
2020-12-31,3610.60000,1053.40000,2557.19900,1300.50000,,1987.00000,570.20000,-180.50000,389.70000,-17.40000,407.10010,434.70020,,435.50010,1311.10000,570.20040,495.71800,497.22700,0.88000,0.87000,0.43840,0.58250,1.61500,70.82480,15.79240,15.79240,10.79320,12.06170,0.04470,0.80410,1.95940,45.93230,2.09250,2.09780,0.53830,0.87360,41.83310,1.8343,-1.1562
2020-09-30,4066.40000,1200.40000,2866.00000,1278.20000,,1922.80000,943.20000,-210.90000,732.30000,-1.20000,733.50000,748.20000,,748.60000,1643.50000,943.20000,496.17800,497.45900,1.51000,1.50000,0.47950,0.57710,1.57330,70.48000,23.19500,23.19500,18.00860,18.40940,0.05170,0.94720,2.19720,40.96080,3.62590,3.63520,0.95080,1.53350,41.57290,2.3632,-0.5411
2020-06-30,3494.00000,964.90000,2529.10000,1126.90000,,1806.40000,722.70000,-214.80000,507.90000,12.60000,495.30000,514.50000,,520.80000,1492.70000,722.70000,495.65500,497.33800,1.05000,1.05000,0.42220,0.56780,1.57080,72.38410,20.68400,20.68400,14.53640,14.90560,0.04490,0.75390,1.95030,46.14630,2.53720,2.54380,0.66130,1.09660,40.88260,2.2713,-0.6433
2020-03-31,3747.50000,1151.00000,2596.50000,1172.70000,,1844.90000,751.59990,-235.40000,516.20000,46.50000,469.70000,499.30000,,495.20000,1447.20000,751.59990,494.59700,496.60900,1.00000,1.00000,0.45410,0.56310,1.61720,69.28620,20.05600,20.05600,13.77450,13.21410,0.04820,0.96250,2.15190,41.82390,2.49550,2.50210,0.64240,1.09040,40.40260,1.23980,-2.37010
2019-12-31,3616.00000,1137.20000,2478.80000,1386.80000,,2184.10100,294.69900,-206.60000,88.10000,-43.60000,131.70010,152.70010,,153.50000,1089.59900,294.69950,493.69400,495.30600,0.31000,0.31000,0.39590,0.55790,1.48460,68.55090,8.14990,8.14990,2.43640,4.24500,0.04760,0.97260,2.12070,42.43890,0.76680,0.76890,0.20120,0.33900,40.29630,1.8599,-1.6061
2019-09-30,4315.00000,1415.10000,2899.90000,1296.50000,,1941.70000,958.20000,-198.90000,759.30000,40.60000,718.70000,733.90000,,733.50000,1628.90000,958.20000,493.83900,495.46200,1.49000,1.48000,0.48380,0.55110,1.41970,67.20510,22.20630,22.20630,17.59680,16.99880,0.05840,1.34600,2.36430,38.06700,3.66990,3.67960,0.99310,1.64730,40.48640,3.126,0.4036
2019-06-30,3573.60000,1141.60000,2432.00000,1258.40000,,1881.00000,551.00020,-163.70000,387.30000,-54.40000,441.70000,459.10000,,461.30000,1194.60000,551.00020,493.58400,495.38300,0.93000,0.93000,0.48600,0.55450,1.42660,68.05460,15.41860,15.41860,10.83780,12.90860,0.04930,1.10360,2.00630,44.85900,2.36370,2.37010,0.63280,1.05300,39.33750,2.0006,-0.8628
2019-03-31,4056.80000,1412.20000,2644.60000,1250.40000,,1856.20000,788.40010,-188.30000,600.10000,44.50000,555.60000,574.10000,,572.80000,1419.30000,788.40010,493.30900,494.48400,1.16000,1.16000,0.48990,0.54360,1.36700,65.18930,19.43400,19.43400,14.79250,14.11950,0.05740,1.49190,2.15520,41.75880,2.98570,2.99380,0.81180,1.36280,38.96920,1.63460,-1.53110
2018-12-31,3801.09900,1325.70000,2475.39900,1262.60000,,1924.29900,551.10060,-182.30000,368.80000,21.80000,347.00000,364.80000,,363.40010,1173.40100,551.10130,492.77500,493.75800,0.74000,0.74000,0.47570,0.53180,1.32520,65.12330,14.49850,14.49850,9.70250,9.56040,0.05520,1.43930,1.97310,45.61440,1.91400,1.91930,0.53020,0.89610,38.64080,2.6168,-0.6728
2018-09-30,4333.10000,1625.10000,2708.00000,1436.80000,,2039.40000,668.59990,-187.70000,480.90000,-80.70000,561.60000,579.70000,,577.60000,1302.40000,668.59990,492.98500,493.94100,1.17000,1.17000,0.55690,0.52280,1.31340,62.49570,15.43010,15.43010,11.09830,13.33000,0.06410,1.91660,2.04570,43.99370,3.04360,3.05200,0.85730,1.45230,38.62690,3.8953,0.9351
2018-06-30,4013.20000,1343.60000,2669.60000,1359.40000,,1912.60000,757.00000,-173.40000,583.60000,72.20000,511.40000,530.10000,,528.40000,1334.20000,757.00000,492.68800,493.50500,1.07000,1.07000,0.50450,0.51300,1.31300,66.52050,18.86280,18.86280,14.54200,13.16660,0.06000,1.46750,1.76740,50.92270,2.82700,2.83490,0.79270,1.37680,38.04090,2.4396,-0.2272
2018-03-31,4048.30000,1492.10000,2556.20000,1310.50000,,1850.20000,706.00000,-165.80000,540.20000,102.00000,438.20000,456.70000,,454.40000,1273.10000,706.00000,492.26700,493.12700,0.92000,0.92000,0.43660,0.50450,1.30300,63.14260,17.43940,17.43940,13.34390,11.22450,0.06170,1.61690,2.18650,41.16170,2.46710,2.47410,0.69610,1.22250,37.58610,1.62680,-2.23800
2017-12-31,3810.40000,1289.60000,2520.80000,1191.50000,-87.10000,1789.90100,730.89940,-176.50000,554.40000,171.90000,382.50010,401.80010,,400.69990,1266.49900,730.89990,491.81500,492.61100,0.82000,0.82000,0.51420,0.51470,1.24560,66.15580,19.18170,19.18170,14.54970,10.51600,0.05890,1.35290,2.01500,44.66460,2.19400,2.20030,0.62070,1.06480,37.22230,2.3318,-1.5544
2017-09-30,4104.70000,1425.50000,2679.20000,1185.60000,,1704.10000,975.10010,-174.50000,800.60000,264.00000,536.60000,556.70000,,544.70000,1526.80000,975.10010,491.84100,493.00000,1.11000,1.10000,0.55560,0.50350,1.20300,65.27150,23.75570,23.75570,19.50450,13.27020,0.06420,1.55540,2.35780,38.17110,3.07480,3.08370,0.87030,1.52650,36.81160,2.8518,0.2808
2017-06-30,3576.50000,1191.50000,2385.00000,1166.10000,-0.10000,1651.70000,733.29980,-182.50000,550.80000,190.60000,360.20000,376.20000,,375.00000,1255.30000,733.29980,491.79100,492.64200,0.76000,0.76000,0.45390,0.48480,1.19910,66.68530,20.50330,20.50330,15.40050,10.48510,0.05700,1.21310,2.15220,41.81800,2.10760,2.11380,0.59960,1.08580,36.29150,1.8456,-0.4798
2017-03-31,3933.30000,1405.20000,2528.10000,1187.00000,226.50000,1442.40000,1085.70000,-175.30000,910.40000,343.20000,567.20000,594.20000,,592.20000,1602.70000,1085.70000,491.71200,492.03200,1.20000,1.20000,0.45690,0.48560,1.17280,64.27430,27.60280,27.60280,23.14600,15.05610,0.06370,1.47100,2.29860,39.15490,3.35480,3.36480,0.96260,1.72560,36.02050,1.63970,3.25300
2016-12-31,3790.10000,1359.60000,2430.50000,1482.80000,-2.90010,1897.79900,532.70040,-125.60000,407.10000,60.30000,346.80000,375.20000,,373.40000,963.70070,532.70020,491.49500,491.66200,0.76000,0.76000,0.63530,0.49940,1.26120,64.12760,14.05510,14.05510,10.74110,9.85200,0.05970,1.40560,1.97740,45.51410,2.15380,2.16030,0.59120,1.07820,35.42740,2.2411,-0.816
2016-09-30,4652.20000,1654.10000,2998.10000,1321.80000,-2264.90000,4126.00000,-1127.89900,-196.00000,-1323.90000,-534.50000,-789.40000,-764.20000,0.00000,-765.80000,-552.09950,-1127.89900,491.69800,491.81400,-1.56000,-1.56000,0.76470,0.49970,1.22140,64.44480,-24.24440,-24.24440,-28.45750,-16.46100,0.07570,1.61410,2.47460,36.36990,-4.40640,-4.41980,-1.24380,-2.20470,35.27090,3.4456,1.2081
2016-06-30,3892.90000,1309.60000,2583.30000,1203.30000,0.00000,1717.10000,866.20000,-187.40000,678.80000,165.00000,513.80000,506.40000,-2.50000,502.10000,1412.70000,866.20000,491.46000,491.64100,1.02000,1.02000,0.56400,0.48790,1.17380,66.35930,22.25080,22.25080,17.43690,12.89780,0.06150,0.96150,2.14460,41.96560,2.75140,2.75930,0.79980,1.40890,37.43400,1.8823,-0.3176
2016-03-31,4044.90000,1407.00000,2637.90000,1247.90000,,1745.00000,892.89970,-179.30000,713.60000,235.50000,478.10000,503.10000,,501.20000,1430.50000,892.89970,491.10800,491.33200,1.02000,1.02000,0.57410,0.49450,1.15780,65.21550,22.07470,22.07470,17.64200,12.39090,0.06470,1.04080,2.45150,36.71290,2.77320,2.78120,0.80510,1.40170,36.93020,1.62800,-0.82140
2015-12-31,3614.69900,614.50000,3000.19900,2052.10000,,2533.80100,466.39820,-173.40000,292.99990,92.50000,200.49990,205.20000,265.50000,469.60000,991.49820,466.39890,490.34100,490.57500,0.94000,0.94000,0.57290,0.49770,1.13780,83.00000,12.90280,12.90280,8.10580,12.99140,0.05860,0.45880,2.20340,40.84570,1.14610,1.14940,0.33270,0.57570,36.46230,1.7119,-0.7997
2015-09-30,4431.40000,1686.70000,2744.70000,1249.60000,0.00000,1784.50000,960.20000,-184.20000,776.00000,275.60000,500.40000,511.80000,7.80000,518.30000,1531.20000,960.20000,490.64900,490.80000,1.06000,1.06000,0.64440,0.49850,1.14110,61.93750,21.66810,21.66810,17.51140,11.69610,0.07250,1.52640,2.39150,37.63370,2.89010,2.89870,0.83770,1.44950,36.08150,3.4849,1.244
2015-06-30,3826.70000,1356.10000,2470.60000,1168.80000,,1666.50000,804.10010,-173.80000,630.30000,224.30000,406.00000,431.40000,-0.10000,430.00000,1329.00000,804.10010,490.20700,490.48400,0.88000,0.88000,0.63530,0.50450,1.18580,64.56220,21.01290,21.01290,16.47110,11.23680,0.06280,1.16910,1.99310,45.15640,2.47330,2.48630,0.70790,1.22550,35.55620,1.916,-0.3333
2015-03-31,4580.40000,2450.90000,2129.50000,531.30000,,1026.70000,1102.80000,-179.20000,923.60000,327.20000,596.40000,620.20000,10.50000,629.20000,1636.50000,1102.80000,489.59800,489.93700,1.29000,1.29000,0.57740,0.49310,1.16440,46.49160,24.07650,24.07650,20.16420,13.73680,0.07630,2.05610,2.42480,37.11690,3.59580,3.61490,1.03300,1.82270,35.20500,2.56710,0.36880
2014-12-31,3525.60000,1506.70000,2018.90000,1139.90000,,1604.49900,414.40040,-167.49990,246.89990,116.60000,130.29990,155.50000,36.50000,190.80000,924.20030,414.40040,488.59300,488.90000,0.38000,0.38000,0.56210,0.48760,1.18030,57.26400,11.75400,11.75400,7.00310,5.41180,0.05920,1.14440,1.92110,46.84820,0.92420,0.92710,0.26110,0.47360,34.37760,1.8162,-0.7472
2014-09-30,4161.00000,1529.00000,2632.00000,1228.00000,,1727.00000,905.00000,-182.00000,723.00000,264.00000,459.00000,483.00000,11.00000,493.00000,1424.00000,905.00000,488.91300,488.97100,1.01000,1.01000,0.55130,0.48160,1.14630,63.25400,21.74960,21.74960,17.37560,11.84810,0.07180,1.26890,2.24310,40.12260,2.86270,2.87830,0.83380,1.48390,34.48710,3.1005,1.0303
2014-06-30,4044.00000,1516.00000,2528.00000,1318.00000,,1761.00000,767.00000,-184.00000,583.00000,215.00000,368.00000,391.00000,,390.00000,1251.00000,767.00000,488.29200,488.53800,0.80000,0.80000,0.56880,0.48470,1.18220,62.51240,18.96640,18.96640,14.41640,9.64390,0.07020,1.24360,2.09970,42.86350,2.35760,2.37060,0.67860,1.21480,33.94630,2.1767,0.1758
2014-03-31,4648.00000,1806.00000,2842.00000,1310.00000,,1801.00000,1041.00000,-191.00000,850.00000,307.00000,543.00000,561.00000,,560.00000,1570.00000,1041.00000,487.86700,488.27100,1.15000,1.15000,0.66500,0.50090,1.18270,61.14460,22.39670,22.39670,18.28740,12.04820,0.08150,1.48760,2.39220,37.62260,3.41680,3.43580,0.98360,1.70550,33.64140,2.32040,0.37480
2013-12-31,3229.50000,1349.10000,1880.40000,903.99990,71.60000,1234.90100,645.49900,-170.20000,475.30000,157.70000,317.60010,336.90000,,346.50000,1077.59900,645.49900,486.62000,487.04100,0.71000,0.71000,0.70520,0.51130,1.18950,58.22580,19.98760,19.98760,14.71750,10.72920,0.05720,0.94810,1.73630,51.83470,2.09440,2.10630,0.59720,1.02360,32.97820,2.1714,-0.2443
2013-09-30,4176.00000,1541.00000,2635.00000,1169.00000,-144.00000,1760.00000,875.00000,-195.00000,680.00000,257.00000,423.00000,434.00000,,433.00000,1360.00000,875.00000,486.93300,487.25900,0.89000,0.89000,0.75840,0.50690,1.19180,63.09870,20.95310,20.95310,16.28350,10.36880,0.07600,1.07010,2.25000,40.00000,2.75330,2.76930,0.78960,1.35770,32.35050,3.1246,1.3979
2013-06-30,3582.00000,1267.00000,2315.00000,1171.00000,-154.00000,1768.00000,547.00000,-154.00000,393.00000,68.00000,325.00000,339.00000,,338.00000,1019.00000,547.00000,486.29300,486.76400,0.69000,0.69000,0.70900,0.50420,1.23290,64.62870,15.27080,15.27080,10.97150,9.43610,0.06520,0.80500,1.85500,48.51760,2.18190,2.19470,0.61660,1.08180,31.92090,1.5599,-0.0512
2013-03-31,3826.00000,1402.00000,2424.00000,1249.00000,,1669.00000,755.00000,-210.00000,545.00000,195.00000,350.00000,364.00000,,363.00000,1209.00000,755.00000,485.82400,486.34400,0.75000,0.75000,0.71210,0.50760,1.22430,63.35600,19.73340,19.73340,14.24460,9.48770,0.07010,0.92240,2.04710,43.96500,2.36040,2.37440,0.66730,1.16220,31.72920,1.55450,-0.18300
2012-12-31,3613.00000,1288.00000,2325.00000,1360.00000,-287.00000,2076.00000,249.00000,-255.00000,-6.00000,-16.00000,10.00000,21.00000,,21.00000,714.00000,249.00000,484.68200,485.08500,0.05000,0.05000,0.67260,0.50570,1.22980,64.35100,6.89180,6.89180,-0.16610,0.58120,0.06650,0.84790,1.93110,46.60670,0.13780,0.13870,0.03860,0.06810,31.37330,1.8423,-0.0507
2012-09-30,4156.00000,1507.00000,2649.00000,1254.00000,-13.00000,1737.00000,912.00000,-197.00000,715.00000,241.00000,474.00000,488.00000,,487.00000,1418.00000,912.00000,484.98000,485.36300,1.00000,1.00000,0.68400,0.49420,1.20500,63.73920,21.94420,21.94420,17.20400,11.71800,0.07720,1.03080,2.24040,40.17080,3.18830,3.20720,0.90630,1.61260,31.54470,2.4666,0.9595
