Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,87.21300,35.04700,52.16600,52.92700,71.82500,124.75200,-72.58600,10.03100,-62.55500,0.27200,-62.82700,-62.82700,-62.82700,-69.46700,-72.58600,124.97900,124.97900,-0.50000,-0.50000,7.85580,59.81450,-83.22840,-83.22840,-71.72670,-72.03860,0.08250,0.62260,144.54610,-7.18090,-7.18600,-5.94040,-7.18090,6.88740,0.06430,0.05700
2024-04-30,86.59000,34.97900,51.61100,50.61800,83.30000,133.91810,-82.30710,9.30900,-72.99800,-0.07100,-72.92700,-72.92700,-72.92700,-79.05710,-82.30710,119.36200,119.36200,-0.59000,-0.59000,8.83760,59.60390,-95.05380,-95.05380,-84.30300,-84.22110,0.08340,0.66570,135.18610,-8.35020,-8.35620,-7.02420,-8.35020,7.05990,0.1722,0.149
2024-01-31,78.40100,33.11400,45.28700,49.48000,78.35300,127.83300,-82.54600,10.40400,-72.14200,0.48900,-72.63100,-72.63100,-72.63100,-79.29700,-82.54600,120.48600,120.48600,-0.60000,-0.60000,8.48170,57.76330,-105.28690,-105.28690,-92.01670,-92.64040,0.07370,0.45190,199.14310,-8.08810,-8.09380,-6.82630,-8.08810,7.35770,-0.3184,-0.3664
2023-10-31,73.22900,32.11600,41.11300,50.39900,70.11000,120.50900,-79.39600,9.84200,-69.55400,0.22600,-69.78000,-69.78000,-69.78000,-76.23200,-79.39600,118.65600,118.65600,-0.59000,-0.59000,8.15640,56.14310,-108.42150,-108.42150,-94.98150,-95.29010,0.06840,0.51150,175.93810,-7.65740,-7.66270,-6.51470,-7.65740,7.60250,-0.4103,-0.4627
2023-07-31,72.36200,31.81300,40.54900,50.86800,63.77400,114.64200,-74.09300,9.88300,-64.21000,0.14800,-64.35800,-64.35800,-64.35800,-71.03700,-74.09300,115.68100,115.68100,-0.56000,-0.56000,8.08230,56.03630,-102.39220,-102.39220,-88.73440,-88.93900,0.06640,0.59040,152.44360,-6.90210,-6.90670,-5.90760,-6.90210,7.90710,0.03400,-0.07700
2023-04-30,72.41000,24.90800,47.50200,49.68100,71.10100,120.78200,-73.28000,8.51400,-64.76600,0.19000,-64.95600,-64.95600,-64.95600,-70.44900,-73.28000,109.85100,109.85100,-0.58000,-0.58000,6.53400,65.60140,-101.20150,-101.20150,-89.44350,-89.70580,0.06560,0.53800,167.27990,-6.98700,-6.99170,-5.88890,-6.98700,8.15900,0.2359,0.1336
2023-01-31,66.66900,22.27100,44.39800,55.05100,61.38500,116.43600,-72.03800,9.01900,-63.01900,0.14300,-63.16200,-63.16200,-63.16200,-71.19400,-72.03800,110.73500,110.73500,-0.57000,-0.57000,7.65740,66.59470,-108.05320,-108.05320,-94.52520,-94.73970,0.06090,0.46400,193.95850,-6.66710,-6.67150,-5.76710,-6.66710,8.45800,-0.4547,-0.627
2022-10-31,62.40800,20.75200,41.65600,50.05100,63.57100,113.62200,-71.96600,3.27900,-68.68700,0.16300,-68.85000,-68.85000,-68.85000,-71.01400,-71.96600,108.87600,108.87600,-0.63000,-0.63000,8.09130,66.74790,-115.31530,-115.31530,-110.06120,-110.32240,0.05670,0.65860,136.65410,-7.22330,-7.22800,-6.25570,-7.22330,8.65730,-0.4763,-0.6979
2022-07-31,65.30800,18.40600,46.90200,55.87700,64.23400,120.11100,-73.20900,1.51700,-71.69200,0.17900,-71.87100,-71.87100,-71.87100,-71.74800,-73.20900,106.84200,106.84200,-0.67000,-0.67000,7.66950,71.81660,-112.09810,-112.09810,-109.77520,-110.04930,0.05740,0.80330,112.03560,-7.34140,-7.34610,-6.32020,-7.34140,9.03580,-0.35810,-0.51290
2022-04-30,72.31700,17.36300,54.95400,46.37800,65.09900,111.47700,-56.52300,-1.70200,-58.22500,0.19500,-58.42000,-58.42000,-58.42000,-55.09400,-56.52300,104.40400,104.40400,-0.54000,-0.54000,7.06160,75.99050,-78.16000,-78.16000,-80.51360,-80.78320,0.06180,0.90090,99.89890,-5.90410,-5.90790,-4.98940,-5.90410,9.31490,-0.1306,-0.1462
