Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6823.31900,6038.49100,784.82760,534.50800,,609.56600,175.26220,-59.16700,116.09500,15.19800,100.89700,100.89700,100.56700,224.34120,175.26220,53.01000,53.47500,1.90000,1.88000,1.46410,0.28140,0.54230,11.50210,2.56860,2.56860,1.70140,1.47390,0.32590,1.33310,0.58190,154.67460,1.67160,2.62300,0.48200,1.20130,114.78270,1.6827,1.3238
2024-06-30,6892.86800,6046.42400,846.44430,552.59500,,634.16900,212.27540,-72.88900,139.38600,29.76200,109.62400,109.62400,108.69800,261.56540,212.27540,53.64000,54.18100,2.03000,2.01000,1.48120,0.29900,0.57440,12.28000,3.07960,3.07960,2.02220,1.57700,0.34280,1.29900,0.63320,142.14480,1.88550,3.00430,0.54520,1.32180,109.81300,5.9956,5.5814
2024-03-31,6924.26000,6066.43400,857.82570,583.32600,,671.90900,185.91650,-80.78300,105.13400,22.03600,83.09800,83.09800,83.60100,241.09050,185.91650,54.25100,54.81500,1.54000,1.53000,1.48770,0.31330,0.62020,12.38870,2.68500,2.68500,1.51830,1.20740,0.34170,1.26460,0.62590,143.78930,1.44030,2.31110,0.41010,0.98910,108.38510,7.35580,6.81700
2023-12-31,7849.15800,6859.60700,989.55130,590.03890,,672.87200,316.67970,-66.65000,250.02900,53.82300,196.20600,196.20600,194.53700,366.54870,316.68070,56.35900,57.03500,3.63000,3.59000,1.38970,0.26820,0.64780,12.60710,4.03460,4.03460,3.18540,2.47840,0.36130,1.32240,0.64140,140.32420,3.33840,5.30370,0.90310,2.44320,109.22130,4.9314,4.4974
2023-09-30,8007.01900,7027.42200,979.59720,563.15000,,639.51400,340.08350,-87.80100,252.28200,52.24100,200.04100,200.04100,198.65900,391.60750,340.08350,55.59700,56.29800,3.57000,3.53000,1.44990,0.32010,0.75690,12.23420,4.24730,4.24730,3.15080,2.48110,0.38800,1.21050,0.75090,119.85540,3.60210,5.88930,0.96930,2.44890,102.54780,5.7461,5.3668
2023-06-30,8514.51600,7448.46700,1066.04900,617.20200,,673.79900,392.24950,-82.07900,310.17100,72.38000,237.79100,237.79100,236.55900,447.36550,392.24950,56.72000,57.35500,4.17000,4.12000,1.60570,0.39380,0.73590,12.52040,4.60680,4.60680,3.64290,2.77830,0.41460,1.36610,0.77150,116.65150,4.20540,6.85800,1.15790,2.54940,101.58590,-2.0715,-2.3803
2023-03-31,8736.42800,7622.60600,1113.82200,642.43100,,691.66900,422.15230,-70.28000,351.87200,76.54700,275.32500,275.32500,273.75000,488.32830,422.15230,58.73100,59.47900,4.66000,4.60000,1.62340,0.39910,0.68990,12.74920,4.83210,4.83210,4.02760,3.13340,0.43090,1.37950,0.81990,109.77340,4.91640,8.06720,1.35790,2.95440,98.25220,3.76270,3.42460
2022-12-31,9323.02300,8117.02800,1205.99500,635.09000,,683.40000,522.59570,-51.81600,470.78010,116.71900,354.06100,354.06100,349.40210,576.11170,522.59570,64.83800,65.45300,5.70000,5.68000,1.48030,0.36190,0.67240,12.93570,5.60540,5.60540,5.04970,3.74770,0.42840,1.52590,0.75660,118.95760,6.30970,10.33880,1.62690,4.02600,94.70800,1.6763,1.3149
2022-09-30,9266.43200,8079.52000,1186.91200,634.35300,,684.21800,502.69340,-53.58800,449.10600,105.50000,343.60600,343.60600,342.39900,552.69640,502.69340,64.22800,64.97900,5.33000,5.27000,1.50040,0.37540,0.71500,12.80870,5.42490,5.42490,4.84660,3.69500,0.45190,1.58940,0.82600,108.96050,6.47980,10.88370,1.67570,4.04730,85.38950,2.0491,1.7482
2022-06-30,9460.84200,8224.62800,1236.21400,653.64000,,703.38600,532.82810,-46.92000,485.90800,114.41300,371.49500,371.49500,370.33400,593.96510,532.82810,66.07800,66.85100,5.60000,5.54000,1.48870,0.34600,0.64510,13.06660,5.63190,5.63190,5.13600,3.91440,0.47560,1.68310,0.87180,103.22890,6.88170,11.60250,1.86730,4.50040,83.56090,-1.3181,-1.5799
2022-03-31,9074.12500,7866.62100,1207.50400,643.92500,,697.12900,510.37500,-32.02000,478.35600,112.36000,365.99600,365.99600,364.74900,576.03100,510.37500,67.84000,68.74900,5.38000,5.31000,1.49380,0.33950,0.57250,13.30710,5.62450,5.62450,5.27160,4.01970,0.46500,1.69350,0.85430,105.35170,6.74160,11.52420,1.87570,4.45270,81.71480,-2.91270,-3.19300
2021-12-31,9016.07900,7819.69900,1196.38000,632.49600,,684.44400,511.93650,-32.60600,479.32600,107.83800,371.48810,371.48810,371.20810,566.64360,511.93460,72.47200,73.38500,5.21000,5.15000,1.40320,0.29590,0.49190,13.26940,5.67800,5.67800,5.31630,4.11720,0.46150,1.86100,0.81050,111.04110,6.95560,12.11860,1.90160,4.89750,78.46570,0.3203,0.0435
2021-09-30,8512.39100,7436.61900,1075.77100,625.88300,,670.90700,404.86430,-31.38600,373.47900,82.92900,290.55000,290.55000,290.02700,460.55730,404.86430,71.67100,72.57100,4.05000,4.00000,1.44450,0.28030,0.45700,12.63770,4.75620,4.75620,4.38750,3.40710,0.48840,1.93920,0.91240,98.63840,5.54740,9.87280,1.66690,3.99250,74.76560,1.6786,1.3796
2021-06-30,8562.63100,7562.52600,1000.10500,602.08400,,659.58200,340.52250,-25.20700,315.31500,74.11300,241.20200,241.20200,240.64100,397.80550,340.52250,73.69300,74.61100,3.27000,3.23000,1.44200,0.26510,0.42900,11.67990,3.97680,3.97680,3.68250,2.81040,0.50840,2.07990,0.96790,92.98600,4.61680,8.30580,1.43210,3.39300,72.42320,3.7703,3.4903
2021-03-31,8385.91900,7455.80900,930.10990,574.56700,,630.60700,299.50290,-31.24900,268.25400,61.02600,207.22800,207.22800,206.32100,363.05690,299.50290,74.88200,75.79400,2.76000,2.72000,1.47350,0.26750,0.43440,11.09130,3.57150,3.57150,3.19890,2.46030,0.51850,2.27630,0.98620,91.25670,3.97410,7.17380,1.28130,2.91120,70.46740,-0.05980,-0.03360
2020-12-31,8454.19200,7530.50500,923.68700,547.53020,,602.27700,321.41060,-25.09400,296.31800,59.34200,236.97600,236.97600,236.07100,376.50060,321.41060,77.99200,78.63500,3.03000,3.01000,1.44050,0.28950,0.43830,10.92580,3.80180,3.80180,3.50500,2.79240,0.49570,2.29080,0.91840,97.99650,4.60240,8.46440,1.38960,3.27000,68.79670,2.4398,2.015
2020-09-30,7231.26000,6442.67000,788.58980,504.21100,-2.30500,550.40800,238.18160,-27.07900,211.10300,44.70700,166.39600,166.39600,166.06000,291.19870,238.18160,77.39000,78.08600,2.15000,2.13000,1.47320,0.30250,0.46800,10.90530,3.29380,3.29380,2.91930,2.29640,0.46660,1.99110,0.90860,99.05340,3.43950,6.59730,1.07380,2.39920,63.88350,3.6813,3.2861
2020-06-30,6606.49400,5856.03100,750.46340,501.47000,-4.91800,553.85000,196.61330,-22.42200,174.19100,40.85400,133.33700,133.33700,132.80400,251.82230,196.61330,78.67700,79.22600,1.69000,1.68000,1.45020,0.30640,0.49320,11.35950,2.97610,2.97610,2.63670,2.01020,0.42340,1.71180,0.83060,108.35750,2.80710,5.44610,0.85450,1.94700,61.19650,5.4159,5.0092
2020-03-31,6381.41700,5653.02600,728.39110,533.83900,,590.08700,138.30420,-60.65700,77.64700,27.89200,49.75500,49.75500,49.50300,199.33420,138.30420,80.40700,81.10800,0.62000,0.61000,1.46440,0.32340,0.55920,11.41430,2.16730,2.16730,1.21680,0.77570,0.41460,1.69540,0.81630,110.24690,1.07010,2.12290,0.32330,0.72400,59.10420,5.75610,5.41120
2019-12-31,7338.19100,6515.24800,822.94380,513.87810,-5.81300,584.83200,238.11130,-68.46000,169.64800,57.46000,112.18800,112.18800,112.01300,294.48330,238.10990,83.56800,83.56800,1.28000,1.31000,1.51680,0.35170,0.61060,11.21450,3.24480,3.24480,2.31190,1.52640,0.44740,1.87370,0.86510,104.03680,2.30540,4.42880,0.68400,1.49450,60.36210,5.912,5.5545
2019-09-30,7078.11800,6279.27700,798.84130,522.44600,-14.82600,625.62300,173.21830,-50.89700,122.32100,29.34000,92.98100,92.98100,92.13100,225.56930,173.21830,82.71100,83.39700,1.11000,1.10000,1.60610,0.38280,0.69540,11.28610,2.44720,2.44720,1.72820,1.30160,0.45110,1.79230,0.90260,99.71110,1.95990,3.83360,0.59260,1.20970,58.02370,3.4523,3.0607
2019-06-30,7344.54800,6529.63900,814.90870,599.21200,-697.99300,1364.09900,-549.19040,-50.93000,-600.12000,-52.36900,-547.75100,-547.75100,-548.96600,-493.66940,-549.19040,84.65200,84.65200,-6.48000,-6.48000,1.64140,0.39560,0.71260,11.09540,-7.47750,-7.47750,-8.17100,-7.47450,0.45830,1.81550,0.92080,97.74520,-11.35770,-22.22130,-3.41820,-6.86410,58.00650,4.7141,4.1416
