Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,22.54900,6.65000,15.89900,0.04300,17.96100,,29.12900,-13.23000,0.66700,-12.56300,0.02800,-12.59100,-12.59100,,-12.59100,0.39500,-13.23000,19.12000,19.12000,-0.66000,-0.66000,5.67890,0.47160,0.89560,70.50870,-58.67220,-58.67220,-55.71420,-55.83840,0.09190,2.19260,41.04660,-11.41870,-12.59880,-5.12970,-6.03320,6.07400,0.0698,-0.2106
2024-06-30,24.93800,6.88200,18.05600,0.28600,18.21400,,29.77700,-11.72100,2.57600,-9.14500,0.25200,-9.39700,-9.39700,,-9.39700,2.00000,-11.72100,18.14830,18.14830,-0.48000,-0.48000,4.18950,0.58590,1.41880,72.40360,-47.00060,-47.00060,-36.67100,-37.68150,0.11120,3.03460,29.65840,-12.27870,-14.22450,-4.18960,-5.08480,4.17830,-0.0959,-0.274
2024-03-31,24.23600,7.03300,17.20300,0.45600,18.81600,,30.45600,-13.25300,-2.48700,-15.74000,0.07000,-15.81000,-15.81000,,-15.81000,0.24300,-13.25300,17.90350,17.90350,-0.88000,-0.88000,4.01770,0.50900,1.04020,70.98120,-54.68310,-54.68310,-64.94470,-65.23350,0.11530,4.34180,20.72870,-19.34820,-22.23500,-7.52450,-9.50070,4.52600,-0.21280,-0.39700
2023-12-31,35.50800,12.01000,23.49800,0.11800,17.32800,,28.14200,-4.64400,1.26900,-3.37500,0.41300,-3.78800,-3.78800,,-3.78800,13.90000,-4.64400,16.93140,16.93140,-0.20000,-0.20000,2.88570,0.47270,0.89630,66.17660,-13.07880,-13.07880,-9.50490,-10.66800,0.15850,5.02160,17.92240,-4.06620,-4.59660,-1.69060,-2.14420,5.21750,-0.1455,-0.3599
2023-09-30,21.26000,6.76700,14.49300,0.13300,17.57200,,29.00900,-14.51600,15.32900,0.81300,0.13800,0.67500,0.67500,,0.67500,-3.01200,-14.51600,17.36000,17.88300,0.04000,0.04000,3.78700,0.46310,0.86260,68.17030,-68.27850,-68.27850,3.82410,3.17500,0.09990,5.50780,16.34050,0.73260,0.83080,0.31720,0.39330,5.24450,0.0276,-0.1676
2023-06-30,19.32700,8.52600,10.80100,0.17600,18.76800,,30.72000,-19.91900,-13.50300,-33.42200,0.00900,-33.43100,-33.43100,,-33.43100,-7.90000,-19.91900,17.15100,17.15100,-1.92000,-1.92000,4.56110,0.47280,0.89690,55.88560,-103.06310,-103.06310,-172.92910,-172.97560,0.08470,2.62060,34.34320,-37.75600,-43.12840,-14.65730,-19.90430,5.11790,0.1589,-0.1471
2023-03-31,18.39700,6.47800,11.91900,0.21600,18.94900,,28.82000,-16.90100,-0.30100,-17.20200,0.11300,-17.31500,-17.31500,,-17.31500,-6.68700,-16.90100,15.51800,15.51800,-1.12000,-1.12000,4.38220,0.39100,0.64200,64.78770,-91.86820,-91.86820,-93.50440,-94.11860,0.07630,2.03080,44.31760,-14.56210,-16.07200,-7.17720,-8.86870,6.95150,-1.06990,-1.25510
2022-12-31,19.41700,7.29900,12.11800,0.29000,20.63100,,30.41600,-18.29800,3.49300,-14.80500,,-14.80500,-14.80500,,-14.80500,-8.10400,-18.29800,14.72760,14.72760,-1.04000,-1.04000,3.28770,0.38480,0.62540,62.40920,-94.23690,-94.23690,-76.24760,-76.24760,0.08290,6.23940,14.42450,-12.14780,-13.39060,-6.32450,-7.47380,8.15840,-0.3583,-0.5505
2022-09-30,16.93500,7.78700,9.14800,0.19700,18.75800,,28.55300,-19.40500,5.60500,-13.80000,,-13.80000,-13.80000,0.70700,-13.09300,-8.86200,-19.40500,14.82280,14.82280,-0.88000,-0.88000,4.00220,0.35350,0.54680,54.01830,-114.58520,-114.58520,-81.48810,-77.31330,0.06930,3.31990,27.10900,-10.34380,-11.31500,-5.64800,-6.68710,8.97600,-0.778,-1.0204
2022-06-30,15.10200,9.78600,5.31600,0.10600,17.74300,,27.02600,-21.71000,-4.57200,-26.28200,,-26.28200,-26.28200,,-26.28200,-11.62300,-21.71000,14.76400,14.76400,-1.76000,-1.76000,5.36550,0.33530,0.50450,35.20060,-143.75580,-143.75580,-174.02990,-174.02990,0.05780,4.41970,20.36350,-18.30900,-19.91740,-10.06480,-12.16920,9.69480,-1.004,-1.2289
2022-03-31,13.89600,10.95500,2.94100,0.14600,22.54000,,30.07700,-27.13600,7.14400,-19.99200,,-19.99200,-19.99200,,-19.99200,-18.85400,-27.13600,14.43490,14.43490,-1.36000,-1.36000,4.79970,0.30110,0.43090,21.16440,-195.27920,-195.27920,-143.86870,-143.86870,0.04840,2.53070,35.56350,-11.97870,-12.88440,-6.95840,-8.37170,11.32200,-0.87820,-1.01160
2021-12-31,11.48900,10.17800,1.31100,0.02700,28.67600,,33.20500,-31.89400,37.91700,6.02300,,6.02300,6.02300,-0.62800,5.39500,-26.89600,-31.89400,9.05780,9.05780,-11.12000,-11.12000,5.85150,0.28450,0.39760,11.41090,-277.60470,-277.60460,52.42420,46.95790,0.03760,4.37010,20.59450,3.35320,3.59050,1.96980,2.39930,12.55510,-1.5184,-1.5973
2021-09-30,7.93700,12.65300,-4.71600,0.05700,40.67400,,44.23400,-48.95000,2.05300,-46.89700,,-46.89700,-46.89700,,-46.89700,-44.95900,-48.95000,8.74690,8.74690,-5.36000,-5.36000,7.67960,0.33800,0.51060,-59.41790,-616.73180,-616.73180,-590.86550,-590.86550,0.02450,1.61680,55.66460,-30.69240,-33.35800,-14.48910,-20.31770,10.78660,-1.4506,-1.4823
