,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-08,2024-09-30,$0.19,$0.21
1,2024-08-06,2024-06-30,$0.57,$0.51
2,2024-05-07,2024-03-31,$0.75,$0.70
3,2024-02-23,2023-12-31,$0.68,$0.75
4,2023-11-03,2023-09-30,$0.41,$0.44
5,2023-08-01,2023-06-30,$0.63,$0.74
6,2023-04-28,2023-03-31,$0.89,$0.98
7,2023-02-16,2022-12-31,$0.63,$0.68
8,2022-10-28,2022-09-30,$0.33,$0.35
9,2022-07-29,2022-06-30,$0.63,$0.68
10,2022-04-29,2022-03-31,$0.74,$0.80
11,2022-02-18,2021-12-31,$0.52,$0.60
12,2021-11-02,2021-09-30,$0.57,$0.57
13,2021-07-30,2021-06-30,$0.67,$0.81
14,2021-04-29,2021-03-31,$0.34,$0.72
15,2021-02-18,2020-12-31,$-0.07,$0.02
16,2020-10-23,2020-09-30,$-0.34,$-0.12
17,2020-07-24,2020-06-30,$-1.15,$-0.74
18,2020-05-08,2020-03-31,$0.14,$0.14
19,2020-02-18,2019-12-31,$0.35,$0.32
20,2019-11-06,2019-09-30,$0.10,$0.10
21,2019-07-31,2019-06-30,$0.35,$0.36
22,2019-04-26,2019-03-31,$0.73,$0.75
23,2019-02-14,2018-12-31,$0.27,$0.30
24,2018-10-29,2018-09-30,$0.08,$0.10
25,2018-07-30,2018-06-30,$0.30,$0.38
26,2018-04-26,2018-03-31,$0.58,$0.71
27,2018-02-22,2017-12-31,$0.39,$0.41
28,2017-11-03,2017-09-30,$0.15,$0.12
29,2017-07-26,2017-06-30,$0.28,$0.28
30,2017-04-26,2017-03-31,$0.52,$0.54
31,2017-02-17,2016-12-31,$0.31,$0.31
32,2016-10-28,2016-09-30,$0.20,$0.20
33,2016-07-29,2016-06-30,$0.29,$0.30
34,2016-04-26,2016-03-31,$0.50,$0.47
35,2016-02-17,2015-12-31,$0.29,$0.30
36,2015-11-03,2015-09-30,$0.13,$0.15
37,2015-08-04,2015-06-30,$0.27,$0.28
38,2015-05-05,2015-03-31,$0.54,$0.54
39,2015-02-19,2014-12-31,$0.27,$0.28
