Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-08-31,8.06670,2.12580,5.94090,0.19390,4.14980,-0.01270,4.55100,1.38990,-0.01000,1.37990,0.32820,1.05170,1.05170,1.05170,1.72770,1.38990,8.06190,8.17350,0.13000,0.13000,0.61190,-6.78210,-1.12230,73.64670,17.22990,17.22990,17.10570,13.03730,0.12820,2.90670,1.17360,76.68890,-11.00200,-8.45500,1.67110,-85.61890,-1.18570,0.2994,0.2747
2024-05-31,8.04280,2.02480,6.01810,0.24110,4.02140,-0.30430,4.62650,1.39150,0.08070,1.47220,0.81640,0.65580,0.65580,0.65580,1.58530,1.39150,8.11750,8.23230,0.08000,0.08000,0.52220,-3.50400,-1.18710,74.82540,17.30140,17.30140,18.30430,8.15370,0.12850,2.85900,1.17730,76.44470,-6.10540,-4.80860,1.04810,-27.49870,-1.33200,0.215,0.0015
2024-02-29,7.85220,2.16050,5.69180,0.50290,4.33960,0.00520,4.87050,0.82120,-0.02670,0.79450,0.23830,0.55620,0.55620,0.55620,0.98780,0.82120,8.27780,8.32500,0.07000,0.07000,0.48800,-4.31170,-1.01890,72.48600,10.45850,10.45850,10.11830,7.08390,0.12720,2.86090,1.16730,77.10170,-5.38050,-4.19750,0.90140,-28.57980,-1.25230,-0.04290,-0.09780
2023-11-30,7.87670,2.07560,5.80110,0.44380,5.39310,-15.85940,21.97730,-16.17620,0.18310,-15.99310,-4.80300,-11.19000,-11.19000,-11.19000,-15.76090,-16.17620,8.34100,8.34100,-1.34000,-1.34000,0.45310,-3.24080,-0.89010,73.64930,-205.36670,-205.36670,-203.04230,-142.06450,0.12870,2.69950,1.19780,75.14070,101.43940,80.14760,-18.27810,430.18760,-1.33110,0.401,0.1954
2023-08-31,7.86990,2.15620,5.71370,0.34410,3.80460,-0.12270,4.55260,1.16100,-0.09340,1.06760,0.38710,0.68060,0.68060,0.68060,1.58640,1.16100,8.28660,8.34210,0.08000,0.08000,0.53530,1.00190,-702.45000,72.60200,14.75300,14.75300,13.56590,8.64770,0.11280,2.02870,1.22250,73.62100,-4210.64400,-4.17030,0.97510,8.05190,-0.00200,0.2324,-0.1619
2023-05-31,7.77270,2.14320,5.62950,0.30470,4.03900,0.02310,4.60160,1.02790,-0.68150,0.34640,0.12540,0.22100,0.22100,0.22100,1.46450,1.02790,8.32510,8.33190,0.03000,0.03000,0.52330,1.11220,-12.15890,72.42670,13.22450,13.22450,4.45680,2.84300,0.11300,2.43740,1.16310,77.37640,-25.74350,-1.26810,0.32140,2.88960,-0.10360,0.242,0.0663
2023-02-28,7.82440,2.06740,5.75710,0.07880,3.87890,0.16470,4.07380,1.68320,-0.46860,1.21450,0.44770,0.76680,0.76680,0.76680,2.13790,1.68320,8.46710,8.47470,0.09000,0.09000,0.56250,1.08750,-15.24170,73.57800,21.51180,21.51180,15.52230,9.80020,0.11830,2.29690,1.19960,75.02430,-111.53320,-4.37700,1.15950,9.75560,-0.08140,0.19400,0.14970
2022-11-30,7.76400,2.13890,5.62520,0.07640,4.68830,-0.17560,5.21980,0.40540,0.21710,0.62250,-0.21530,0.83780,0.83780,0.83780,0.85850,0.40540,8.46600,8.48400,0.09000,0.10000,0.49330,1.21600,-7.21850,72.45170,5.22090,5.22100,8.01780,10.79110,0.11970,2.51270,1.28460,70.06080,-54.96440,-4.49960,1.29120,11.87460,-0.17930,0.2794,0.5166
2022-08-31,7.68100,2.34880,5.33220,0.08030,3.60340,-0.41230,4.37780,0.95430,-0.31330,0.64100,0.17410,0.46680,0.46680,0.46680,1.40190,0.95430,8.39000,8.40400,0.06000,0.06000,0.47160,1.38330,-3.67360,69.42110,12.42440,12.42440,8.34490,6.07760,0.11500,2.55500,1.43660,62.64850,-19.56870,-2.36420,0.69920,7.50070,-0.27980,0.3272,-1.0122
2022-05-31,7.63320,2.20150,5.43170,0.08090,3.91260,0.03610,4.23730,1.19440,-0.29460,0.89980,0.26510,0.63470,0.63470,0.63470,1.63970,1.19440,8.43800,8.55300,0.08000,0.07000,0.65590,,0.08120,71.15840,15.64710,15.64710,11.78770,8.31520,0.13780,2.52140,1.48210,60.72330,14.40260,-4.80220,1.14580,14.40260,0.52470,0.2316,0.194
2022-02-28,7.25850,2.10320,5.15530,0.14720,3.37600,0.11640,3.68490,1.47040,-0.31470,1.15570,0.32360,0.83200,0.83200,0.83200,1.94950,1.47040,8.52700,8.74800,0.10000,0.10000,0.59300,,0.26570,71.02440,20.25790,20.25790,15.92190,11.46300,0.13240,2.26740,1.40900,63.87530,19.57170,-6.10120,1.51810,19.57170,0.50070,0.17220,0.09820
