,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-06,2024-09-30,$0.07,$0.12
1,2024-08-07,2024-06-30,$-0.02,$-0.01
2,2024-05-01,2024-03-31,$-0.06,$-0.05
3,2024-02-21,2023-12-31,$0.00,$-0.02
4,2023-11-08,2023-09-30,$-0.02,$-0.05
5,2023-08-09,2023-06-30,$-0.05,$-0.06
6,2023-05-10,2023-03-31,$-0.09,$-0.11
7,2023-02-22,2022-12-31,$-0.07,$-0.06
8,2022-11-09,2022-09-30,$-0.05,$-0.16
9,2022-08-03,2022-06-30,$0.00,$-0.05
10,2022-05-04,2022-03-31,$-0.03,$-0.05
11,2022-02-16,2021-12-31,$0.04,$-0.05
12,2021-10-27,2021-09-30,$0.08,$-0.01
13,2021-07-28,2021-06-30,$0.09,$0.00
14,2021-04-28,2021-03-31,$0.07,$0.06
15,2021-02-17,2020-12-31,$0.13,$0.08
16,2020-10-28,2020-09-30,$0.09,$0.16
17,2020-07-29,2020-06-30,$-0.04,$0.01
18,2020-04-22,2020-03-31,$-0.03,$0.00
19,2020-02-19,2019-12-31,$0.00,$-0.01
20,2019-11-04,2019-09-30,$-0.03,$-0.02
21,2019-08-07,2019-06-30,$-0.10,$-0.11
22,2019-05-01,2019-03-31,$-0.05,$-0.11
23,2019-02-20,2018-12-31,$-0.12,$0.08
24,2018-10-31,2018-09-30,$-0.09,$-0.11
25,2018-07-25,2018-06-30,$-0.05,$0.01
26,2018-04-25,2018-03-31,$-0.04,$0.00
27,2018-02-07,2017-12-31,$0.05,$0.08
28,2017-10-25,2017-09-30,$0.03,$-0.10
29,2017-07-26,2017-06-30,$0.03,$-0.01
30,2017-04-26,2017-03-31,$-0.01,$0.10
31,2017-02-08,2016-12-31,$0.14,$-0.03
32,2016-10-26,2016-09-30,$0.10,$0.42
33,2016-07-27,2016-06-30,$-0.01,$0.09
34,2016-04-27,2016-03-31,$-0.16,$-0.14
35,2016-02-10,2015-12-31,$-0.18,$-2.28
36,2015-11-02,2015-09-30,$-0.23,$-0.11
37,2015-08-04,2015-06-30,$-0.20,$-0.12
38,2015-05-04,2015-03-31,$-0.31,$-0.32
39,2015-02-18,2014-12-31,$-0.43,$-0.39
