,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-31,2024-09-30,$0.25,$-0.11
1,2024-08-01,2024-06-30,$0.27,$-0.14
2,2024-05-03,2024-03-31,$0.28,$-0.06
3,2024-02-22,2023-12-31,$0.31,$-0.11
4,2023-11-09,2023-09-30,$0.30,$-0.05
5,2023-08-03,2023-06-30,$0.32,$-0.06
6,2023-05-05,2023-03-31,$0.34,$-0.03
7,2023-02-23,2022-12-31,$0.35,$-0.36
8,2022-11-07,2022-09-30,$0.35,$0.00
9,2022-08-04,2022-06-30,$0.37,$0.02
10,2022-05-05,2022-03-31,$0.36,$0.51
11,2022-02-25,2021-12-31,$0.30,$9.76
12,2021-11-03,2021-09-30,$0.34,$-0.02
13,2021-08-05,2021-06-30,$0.31,$0.00
14,2021-05-07,2021-03-31,$0.30,$1.07
15,2021-02-25,2020-12-31,$0.31,$-0.03
16,2020-11-05,2020-09-30,$0.30,$0.02
17,2020-08-06,2020-06-30,$0.26,$-0.03
18,2020-05-07,2020-03-31,$0.25,$-0.02
19,2020-02-26,2019-12-31,$0.25,$0.02
20,2019-11-01,2019-09-30,$0.30,$-0.07
21,2019-08-01,2019-06-30,$0.28,$-0.02
22,2019-05-03,2019-03-31,$0.28,$-0.07
23,2019-02-27,2018-12-31,$0.27,$-0.22
24,2018-11-01,2018-09-30,$0.28,$-0.08
25,2018-08-02,2018-06-30,$0.25,$-0.07
26,2018-05-04,2018-03-31,$0.25,$1.24
27,2018-03-01,2017-12-31,$0.27,$-0.09
28,2017-11-06,2017-09-30,$0.20,$-0.12
29,2017-08-03,2017-06-30,$0.24,$0.27
30,2017-05-05,2017-03-31,$0.22,$-0.11
31,2017-03-02,2016-12-31,$0.26,$-0.21
32,2016-11-07,2016-09-30,$0.22,$-0.08
33,2016-08-04,2016-06-30,$0.20,$0.48
34,2016-05-05,2016-03-31,$0.31,$-0.56
35,2016-03-03,2015-12-31,$0.35,$-0.12
36,2015-11-06,2015-09-30,$0.32,$-0.20
37,2015-08-06,2015-06-30,$0.26,$-0.15
38,2015-05-08,2015-03-31,$0.27,$-0.06
39,2015-03-05,2014-12-31,$0.27,$-0.14
