,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-04,2024-09-30,$1.05,$1.08
1,2024-07-29,2024-06-30,$1.21,$1.19
2,2024-05-06,2024-03-31,$1.37,$1.30
3,2024-02-05,2023-12-31,$1.04,$1.33
4,2023-10-30,2023-09-30,$0.92,$1.06
5,2023-07-31,2023-06-30,$1.12,$1.13
6,2023-05-01,2023-03-31,$1.20,$1.19
7,2023-02-06,2022-12-31,$0.83,$1.01
8,2022-10-31,2022-09-30,$0.61,$0.78
9,2022-08-01,2022-06-30,$0.99,$0.90
10,2022-05-02,2022-03-31,$1.17,$1.16
11,2022-02-07,2021-12-31,$0.95,$0.97
12,2021-11-01,2021-09-30,$0.58,$0.87
13,2021-08-02,2021-06-30,$1.12,$1.25
14,2021-05-03,2021-03-31,$0.95,$0.96
15,2021-02-08,2020-12-31,$1.06,$1.23
16,2020-11-02,2020-09-30,$0.62,$0.71
17,2020-08-03,2020-06-30,$0.36,$0.36
18,2020-05-04,2020-03-31,$0.56,$0.40
19,2020-02-10,2019-12-31,$0.91,$0.97
20,2019-10-28,2019-09-30,$1.04,$1.16
21,2019-08-05,2019-06-30,$1.01,$1.08
22,2019-04-29,2019-03-31,$1.04,$1.17
23,2019-02-11,2018-12-31,$0.81,$-0.08
24,2018-11-05,2018-09-30,$1.13,$1.17
25,2018-07-30,2018-06-30,$0.96,$0.99
26,2018-04-30,2018-03-31,$0.90,$1.03
27,2018-02-12,2017-12-31,$0.82,$1.05
28,2017-10-30,2017-09-30,$0.25,$0.58
29,2017-07-31,2017-06-30,$0.75,$0.88
30,2017-05-01,2017-03-31,$0.79,$0.87
31,2017-02-06,2016-12-31,$0.82,$0.82
32,2016-10-31,2016-09-30,$0.84,$1.15
33,2016-08-01,2016-06-30,$0.72,$0.74
34,2016-05-02,2016-03-31,$0.60,$0.64
35,2016-02-08,2015-12-31,$0.90,$-0.19
36,2015-11-02,2015-09-30,$0.68,$0.77
37,2015-08-03,2015-06-30,$0.76,$0.49
38,2015-05-04,2015-03-31,$0.82,$0.83
39,2015-02-09,2014-12-31,$0.78,$0.76
