,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-12-04,2024-10-31,$0.02,$0.04
1,2024-09-04,2024-07-31,$0.01,$0.01
2,2024-06-05,2024-04-30,$0.02,$0.04
3,2024-03-27,2024-01-31,$0.03,$0.07
4,2023-12-06,2023-10-31,$0.02,$0.06
5,2023-09-06,2023-07-31,$0.00,$0.04
6,2023-06-05,2023-04-30,$-0.03,$0.01
7,2023-03-29,2023-01-31,$-0.04,$0.00
8,2022-12-06,2022-10-31,$-0.08,$-0.02
9,2022-09-08,2022-07-31,$-0.11,$-0.09
10,2022-06-14,2022-04-30,$-0.11,$-0.10
11,2022-04-06,2022-01-31,$-0.14,$-0.10
12,2021-12-09,2021-10-31,$-0.14,$-0.11
13,2021-09-09,2021-07-31,$-0.21,$-0.20
