Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,35.28300,5.06800,30.21500,4.77600,19.15900,,29.58800,0.62700,-0.73200,-0.10500,0.09500,-0.20000,-0.20000,,-0.20000,5.20600,0.62700,44.87300,44.87300,-0.00450,-0.00450,0.41520,0.22330,0.28750,85.63610,1.77710,1.77710,-0.29760,-0.56680,0.16080,1.76680,50.93950,-0.17970,0.49280,-0.09120,-0.13960,2.30260,0.124,0.0513
2024-06-30,35.83300,5.20000,30.63300,4.72900,19.31500,,28.63000,2.00300,-0.67700,1.32600,0.38300,0.94300,0.94300,,0.94300,6.62500,2.00300,44.56900,45.03700,0.02000,0.02000,0.44690,0.24170,0.31870,85.48820,5.58980,5.58980,3.70050,2.63170,0.15970,1.58350,56.83620,0.85870,-2.24110,0.42030,0.65110,2.27150,0.2004,0.1252
2024-03-31,36.02500,4.87700,31.14800,4.79800,19.92500,,29.17900,1.96900,-1.21200,0.75700,2.26900,-1.51200,-1.51200,,-1.51200,6.46100,1.96900,44.21000,44.21000,-0.03000,-0.03000,0.52200,0.27780,0.38470,86.46220,5.46570,5.46570,2.10130,-4.19710,0.15530,1.13430,79.34490,-1.41860,3.33660,-0.65200,-1.02450,2.21920,0.04720,-0.05330
2023-12-31,37.28700,4.94800,32.33900,4.49300,20.00400,,28.83600,3.50300,-0.79200,2.71100,0.56300,2.14800,2.14800,,2.14800,7.87800,3.50300,43.57100,44.49600,0.05290,0.05290,0.44850,0.26110,0.35340,86.73000,9.39470,9.39470,7.27060,5.76070,0.16560,1.66120,54.17810,1.99740,-4.84240,0.95380,1.47590,2.29420,0.1701,0.0531
2023-09-30,37.43300,4.97100,32.46200,4.43200,21.24600,,30.22100,2.24100,-0.47200,1.76900,0.75900,1.01000,1.01000,,1.01000,6.51900,2.24100,43.40500,44.32400,0.02000,0.02000,0.41610,0.27950,0.38800,86.72030,5.98670,5.98670,4.72580,2.69820,0.17040,2.01350,44.69830,0.97970,-2.06920,0.45960,0.70590,2.20800,0.1238,-0.0022
2023-06-30,38.53800,4.95600,33.58200,4.15800,23.17600,,33.61100,-0.02900,-0.77500,-0.80400,-0.67700,-0.12700,-0.12700,,-0.12700,4.16900,-0.02900,43.46000,43.46000,-0.00290,-0.00290,0.39550,0.29970,0.42800,87.14000,-0.07530,-0.07530,-2.08630,-0.32950,0.17230,1.90910,47.14390,-0.12640,0.24700,-0.05680,-0.08850,2.13320,0.1856,0.0803
2023-03-31,38.62000,4.91200,33.70800,4.69400,24.26800,,33.13500,0.57300,-0.62700,-0.05400,-0.51400,0.46000,0.46000,,0.46000,4.78200,0.57300,43.88600,45.24000,0.01000,0.01000,0.48280,0.31240,0.45430,87.28120,1.48370,1.48370,-0.13980,1.19110,0.16570,1.54600,58.21340,0.45430,-0.90820,0.19740,0.31240,2.10430,0.00020,-0.10660
2022-12-31,39.76200,4.76600,34.99600,4.69200,24.66300,,32.18700,2.80900,-0.10000,2.70900,0.35800,2.35100,2.35100,,2.35100,7.73800,2.80900,44.27400,46.53300,0.05000,0.05000,0.37520,0.22020,0.28240,88.01370,7.06450,7.06450,6.81300,5.91270,0.17540,1.94020,46.38750,2.21290,-5.14880,1.03700,1.72560,2.24290,0.1252,0.042
2022-09-30,38.52700,4.56100,33.96600,4.68000,23.66000,,32.74800,1.21800,-2.15600,-0.93800,-0.01200,-0.92600,-0.92600,,-0.92600,5.66300,1.21800,44.19000,44.19000,-0.02000,-0.02000,0.36020,0.22170,0.28480,88.16150,3.16140,3.16140,-2.43470,-2.40350,0.17290,2.04270,44.05980,-0.87910,1.98860,-0.41560,-0.68420,2.19430,0.2351,0.1136
2022-06-30,37.05700,4.18100,32.87600,4.36000,23.38300,,31.97100,0.90500,0.38300,1.28800,-0.16200,1.45000,1.45000,,1.45000,5.16900,0.90500,44.68200,46.96100,0.03000,0.03000,0.37720,0.21720,0.27750,88.71740,2.44220,2.44220,3.47570,3.91290,0.16380,2.02030,44.54710,1.34130,-3.31090,0.64100,1.04990,2.22780,0.2187,0.1238
2022-03-31,34.33400,4.09900,30.23500,3.94200,21.70700,,29.60700,0.62800,-0.09000,0.53800,-0.76300,1.30100,1.30100,,1.30100,4.62300,0.62800,44.70200,47.17000,0.03000,0.03000,0.43450,0.23240,0.30280,88.06140,1.82910,1.82910,1.56700,3.78920,0.15030,1.54620,58.20620,1.20230,-2.97750,0.56960,0.92290,2.19880,0.19540,0.10870
2021-12-31,33.74800,4.00200,29.74600,4.85200,20.42100,,29.58700,0.15900,-0.04500,0.11400,-0.11800,0.23200,0.23200,0.00000,0.23200,4.51000,0.15900,46.33300,46.33300,-0.01000,0.00000,0.38540,0.16340,0.19530,88.14150,0.47120,0.47120,0.33780,0.68740,0.15230,1.80100,49.97360,0.19940,-0.65280,0.10470,0.16680,2.38660,0.0575,-0.0175
2021-09-30,30.75800,3.79100,26.96700,4.05600,18.84800,-1.91900,29.18200,-2.21500,-0.79100,-3.00600,-0.57200,-2.43400,-2.43400,,-2.43400,2.18000,-2.21500,45.80700,45.80700,-0.05000,-0.05000,0.38680,0.12830,0.14720,87.67480,-7.20140,-7.20140,-9.77310,-7.91340,0.14030,1.99200,45.18140,-2.02560,7.66830,-1.11050,-1.76570,2.40950,0.1508,0.0614
2021-06-30,28.72100,3.59300,25.12800,3.51000,17.09000,,24.64000,0.48800,-0.76100,-0.27300,-0.06100,-0.21200,-0.21200,-29.99900,-30.21100,4.87400,0.48800,47.22700,47.22700,-0.64000,-0.64000,0.46720,0.10940,0.12280,87.49000,1.69910,1.69910,-0.95050,-105.18780,0.12880,2.09230,43.01490,-0.16630,0.86880,-0.09510,-0.14810,2.47860,0.2764,0.2082
