,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-06,2024-09-30,$1.33,$1.44
1,2024-08-07,2024-06-30,$1.65,$1.71
2,2024-05-08,2024-03-31,$1.59,$1.33
3,2024-02-28,2023-12-31,$1.12,$1.40
4,2023-11-01,2023-09-30,$1.32,$1.46
5,2023-08-03,2023-06-30,$1.53,$1.82
6,2023-05-03,2023-03-31,$1.70,$1.97
7,2023-03-01,2022-12-31,$1.21,$1.34
8,2022-11-02,2022-09-30,$1.30,$1.66
9,2022-08-09,2022-06-30,$1.58,$1.65
10,2022-05-04,2022-03-31,$1.44,$1.54
11,2022-03-02,2021-12-31,$1.28,$1.32
12,2021-11-04,2021-09-30,$1.38,$1.55
13,2021-08-05,2021-06-30,$1.74,$1.94
14,2021-05-05,2021-03-31,$0.86,$1.75
15,2021-03-02,2020-12-31,$0.59,$0.39
16,2020-10-28,2020-09-30,$0.43,$0.80
17,2020-07-29,2020-06-30,$-0.92,$-0.87
18,2020-04-29,2020-03-31,$1.08,$1.45
19,2020-02-24,2019-12-31,$1.68,$1.78
20,2019-10-30,2019-09-30,$1.49,$1.55
21,2019-07-31,2019-06-30,$1.85,$1.71
22,2019-05-01,2019-03-31,$1.86,$1.90
23,2019-02-21,2018-12-31,$1.59,$1.70
24,2018-10-31,2018-09-30,$1.54,$1.53
25,2018-08-01,2018-06-30,$0.94,$1.03
26,2018-05-02,2018-03-31,$1.07,$1.11
27,2018-02-20,2017-12-31,$0.64,$0.74
28,2017-11-09,2017-09-30,$0.88,$0.91
29,2017-08-10,2017-06-30,$1.20,$1.30
30,2017-05-02,2017-03-31,$1.20,$1.22
31,2017-03-01,2016-12-31,$1.37,$1.37
32,2016-11-01,2016-09-30,$1.39,$1.46
33,2016-08-03,2016-06-30,$1.59,$1.59
34,2016-05-05,2016-03-31,$1.68,$1.58
35,2016-02-24,2015-12-31,$1.34,$1.59
36,2015-10-29,2015-09-30,$1.42,$1.43
37,2015-07-29,2015-06-30,$1.47,$1.53
38,2015-04-30,2015-03-31,$1.59,$1.64
39,2015-02-25,2014-12-31,$1.14,$1.16
