Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,17.49400,0.15000,17.34400,16.45200,0.26500,16.25400,1.09000,30.74500,31.83500,8.48000,23.35500,23.35500,23.35500,1.15700,1.09000,1.37700,1.37700,16.96000,16.96000,8.58200,0.10160,0.11380,99.14260,6.23070,6.23070,181.97670,133.50290,0.04730,4.28570,0.79190,113.64470,9.27320,9.27320,6.31450,8.33060,182.90050,1.1627,1.1714
2024-03-31,16.57100,0.16000,16.41100,15.82200,0.11100,15.77800,0.63300,19.98700,20.62000,5.20500,15.41500,15.41500,15.41500,0.70000,0.63300,1.37700,1.37700,11.19000,11.19000,8.96850,0.11760,0.13400,99.03450,3.81990,3.81990,124.43430,93.02400,0.04940,2.50000,1.06060,84.85670,6.74620,6.74620,4.59130,5.95270,165.93970,-2.6514,-2.6645
2023-12-31,15.99300,0.20500,15.78800,15.27600,0.17700,15.16500,0.62300,15.11700,15.74000,3.12500,12.61500,12.61500,12.61500,0.68900,0.62300,1.37700,1.37700,9.16000,9.16000,10.02570,0.25010,0.33430,98.71820,3.89550,3.89550,98.41810,78.87830,0.04480,3.53450,1.25310,71.82330,5.92020,5.92020,3.53000,4.43940,154.74510,-0.84390,-0.84750
2023-09-30,21.55000,0.18500,21.36500,17.03600,-0.83300,17.93500,3.43000,-12.90500,-9.47500,-2.99000,-6.48500,-6.48500,-6.48500,3.49600,3.43000,1.37700,1.37700,-4.71000,-4.71000,8.18530,0.27520,0.38050,99.14160,15.91650,15.91650,-43.96750,-30.09280,0.06070,2.56940,1.15320,78.04320,-3.23490,-3.23490,-1.82750,-2.34460,145.58390,4.8367,4.8366
2023-06-30,17.70400,0.21800,17.48600,14.93900,-0.16600,15.17300,2.31300,-1.93100,0.38200,-0.29500,0.67700,0.67700,0.67700,2.38100,2.31300,1.37700,1.37700,0.49000,0.49000,9.23850,0.28420,0.39780,98.76860,13.06480,13.06480,2.15770,3.82400,0.04840,3.82460,1.02090,88.15970,0.32710,0.32710,0.18500,0.23420,150.29340,4.8612,4.8526
2023-03-31,16.15400,0.19300,15.96100,14.23300,-0.03300,14.33600,1.62500,11.64300,13.26800,3.83500,9.43300,9.43300,9.43300,1.69500,1.62500,1.37700,1.37700,6.85000,6.85000,11.18250,0.28490,0.39920,98.80530,10.05940,10.05940,82.13450,58.39420,0.04500,1.96940,1.13240,79.47570,4.57300,4.57300,2.62740,3.26990,149.80170,-0.4851,-0.5127
2022-12-31,12.30100,0.19900,12.10200,13.05200,0.30900,12.81800,-0.71600,24.64300,23.92700,6.10000,17.82700,17.82700,17.82700,-0.64100,-0.71600,1.37700,1.37700,12.95000,12.95000,10.75660,0.29470,0.41870,98.38220,-5.82070,-5.82070,194.51260,144.92320,0.03550,2.45680,0.99240,90.68780,9.05640,9.05640,5.14830,6.38710,142.95130,1.74150,1.71530
2022-09-30,18.50700,0.21000,18.29700,13.04500,-1.51000,14.63400,3.66300,-65.68000,-62.01700,-17.19000,-44.82700,-44.82700,-44.82700,3.74100,3.66300,1.38000,1.38000,-32.50000,-32.50000,9.20470,0.29880,0.42690,98.86530,19.79250,19.79250,-335.10030,-242.21650,0.05800,3.75000,1.03100,87.29130,-25.04060,-25.04060,-14.04750,-17.55840,130.00510,3.3363,3.3203
2022-06-30,12.81700,0.17400,12.64300,12.42300,-2.25000,14.74600,-2.10300,-11.42400,-13.52700,-3.66500,-9.86200,-9.86200,-9.86200,-2.02900,-2.10300,1.38000,1.38000,-7.15000,-7.15000,12.17040,0.25430,0.34160,98.64240,-16.40790,-16.40790,-105.53950,-76.94470,0.03330,2.48570,0.87520,102.82910,-4.40570,-4.40570,-2.56440,-3.28560,162.55920,2.3579,2.626
2022-03-31,10.94900,0.19600,10.75300,11.94500,1.68800,10.38000,0.37300,-38.81600,-38.44300,-10.63000,-27.81300,-27.81300,-27.81300,0.49600,0.37300,1.38070,1.38070,-20.14000,-20.14000,15.31250,0.24630,0.32740,98.20990,3.40670,3.40670,-351.10970,-254.02320,0.02810,3.84310,1.01060,89.05470,-11.90090,-11.90090,-7.12990,-8.97020,169.22950,-9.7418,-9.7439
