Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,5.59900,6.60300,-1.00400,,3.66700,,3.66700,-4.67100,-1.03000,-5.70100,,-5.70100,-5.70100,,-5.28300,-4.11500,-4.67100,7.06700,7.06700,-0.75000,-0.75000,1.16460,0.09650,0.82260,-17.93180,-83.42560,-83.42560,-101.82180,-94.35610,0.03920,1.99670,2.11040,42.64510,-8.18180,-24.15370,-3.99630,-7.39220,9.85980,-0.5104,-0.5104
2024-06-30,4.21100,5.67300,-1.46200,,3.47300,,3.47300,-4.93500,-0.20700,-5.14200,-0.18800,-4.95400,-4.95400,,-4.68300,-4.38100,-4.93500,7.06700,7.06700,-0.66000,-0.66000,1.17400,0.08770,0.76770,-34.71860,-117.19310,-117.19310,-122.10880,-111.20870,0.02920,1.58820,1.66380,54.09400,-6.77240,-18.51820,-3.42960,-6.17870,10.35090,-0.4845,0.2392
2024-03-31,3.87100,4.99000,-1.11900,,3.56100,,3.56100,-4.68000,-0.40400,-5.08400,0.02500,-5.10900,-5.10900,,-4.07200,-4.09800,-4.68000,7.06700,7.06700,-0.58000,-0.58000,1.28380,0.08700,0.70470,-28.90730,-120.89900,-120.89900,-131.33560,-105.19250,0.02610,1.37580,1.35210,66.56420,-6.55300,-16.35250,-3.44040,-5.98280,11.03210,-0.30420,-0.30470
2023-12-31,2.59200,5.95300,-3.36100,,-0.69400,,-0.69400,-2.66700,-18.33500,-21.00200,,-21.00600,-21.00600,,-10.32700,-1.61100,-2.66700,6.99600,6.99600,-1.48000,-1.48000,1.34210,0.08220,0.66370,-129.66820,-102.89360,-102.89350,-810.26250,-398.41820,0.01690,2.11170,0.64900,138.68060,-25.24330,-58.09340,-13.71220,-23.16880,11.77500,0.2558,0.2406
2023-09-30,4.18200,6.07200,-1.89000,,3.21300,,3.21300,-5.10300,-1.57800,-6.68100,,-6.68100,-6.68100,,-4.34200,-3.60000,-5.10300,7.01300,7.01300,-0.62000,-0.62000,0.45640,0.10370,0.48080,-45.19370,-122.02290,-122.02290,-159.75610,-103.82590,0.02130,1.54500,1.33350,67.48920,-5.22990,-16.04200,-3.39910,-4.68730,18.21520,-0.1858,-0.2119
2023-06-30,7.23300,4.83200,2.40100,,8.85100,,8.85100,-6.45000,-31.27300,-37.72300,,-37.72300,-37.72300,,-37.92300,-5.13600,-6.45000,7.00700,7.00700,-5.41000,-5.41000,0.53690,0.09640,0.46250,33.19510,-89.17460,-89.17460,-521.54020,-524.30530,0.03530,0.91170,2.93070,30.70930,-28.06170,-78.52250,-18.41400,-25.35710,19.16800,-0.7709,-0.7301
2023-03-31,11.92600,8.53300,3.39300,,8.97300,,8.97300,-5.58000,-3.05300,-8.63300,,-8.63300,-8.63300,,-8.03500,-4.24700,-5.58000,6.95100,6.95100,-1.16000,-1.16000,0.64160,0.03760,0.36850,28.45040,-46.78850,-46.78850,-72.38810,-67.37380,0.05260,1.17500,1.70490,52.78800,-5.83120,-15.11940,-3.80730,-5.61220,21.29930,-2.04270,-2.12360
2022-12-31,-7.55400,4.51100,-12.06500,,-15.33600,,-15.33600,3.27100,-6.84500,-3.57400,,-3.74600,-3.74600,,-26.92500,6.09300,3.27100,5.58100,5.58100,-4.72000,-4.72000,0.65130,0.10090,0.41320,159.71670,-43.30160,-43.30160,47.31270,356.43370,-0.03030,0.90350,-1.30850,-68.78080,-2.39080,-5.71010,-1.50490,-2.14960,22.54080,-1.3821,-1.5382
2022-09-30,11.86200,11.93300,-0.07100,,14.67700,,14.67700,-14.74800,-10.05400,-24.80200,,-24.80200,-24.80200,,-20.21500,-11.82200,-14.74800,6.74470,6.74470,-3.00000,-3.00000,2.36180,0.21550,0.31120,-0.59850,-124.32980,-124.32980,-209.08780,-170.41810,0.04480,1.37750,1.31960,68.20180,-13.57910,-26.34310,-9.36350,-10.65320,26.27720,4.548,4.1135
2022-06-30,11.77100,7.67000,4.10100,,15.28300,,15.28300,-11.18200,5.77200,-5.41000,,-5.41000,-5.41000,,-4.65200,-8.02300,-11.18200,1.74440,1.74440,-1.00000,-1.00000,1.21230,0.09270,0.34600,34.83990,-94.99620,-94.99620,-45.96040,-39.52090,0.04160,0.83990,1.91930,46.89240,-2.82410,-5.35250,-1.91200,-2.56240,38.28200,-6.5608,-6.3353
2022-03-31,12.30400,8.87800,3.42600,,10.74500,,10.74500,-7.31900,-1.63200,-8.95100,,-8.95100,-8.95100,,-8.04800,-4.05300,-7.31900,4.23140,4.23140,-2.00000,-2.00000,2.92780,0.23440,0.34130,27.84460,-59.48470,-59.48470,-72.74870,-65.40960,0.04370,0.90800,2.01610,44.64160,-4.61260,-8.84660,-3.17570,-3.53160,45.86130,-1.43450,-1.14860
2021-12-31,7.05500,6.90000,0.15500,,8.20500,,7.69100,-7.53600,-6.88400,-14.42300,0.28400,-14.70700,-14.70700,0.00000,-14.12200,-5.28900,-7.53600,2.57630,2.57630,1.20000,1.20000,2.88750,0.21940,0.30280,2.19700,-106.81790,-106.81790,-204.43660,-200.17010,0.02500,0.83530,1.24360,72.37000,-7.42080,-14.28570,-5.20220,-5.79250,49.70410,3.638,-18.573
2021-09-30,4.56600,3.40600,1.16000,,6.70500,,6.70500,-5.54500,-2.75400,-8.29900,-1.62400,-6.67500,-6.67500,,-6.59800,-3.10700,-5.54500,1.74440,1.74440,-3.80000,-3.80000,7.73500,0.03240,0.03590,25.40520,-121.44110,-121.44110,-181.75650,-144.50290,0.02080,0.96350,1.64600,54.67810,-3.34940,-5.05250,-3.04690,-3.24100,49.98170,-1.2612,-2.1515
2021-06-30,4.18500,3.23100,0.95400,,8.00900,,8.00900,-7.05500,-5.52400,-12.57900,-1.85400,-10.72500,-10.72500,2.07900,-8.41800,-7.93200,-7.05500,1.74440,1.74440,-6.00000,-6.00000,7.93020,0.04190,0.04780,22.79570,-168.57830,-168.57830,-300.57350,-201.14700,0.02190,1.00340,1.29850,69.31180,-6.28340,-8.89730,-5.61050,-6.02000,50.50690,2.3905,1.3014
2021-03-31,4.46900,3.28700,1.18200,,4.06000,,4.57400,-3.39200,-1.50800,-4.90000,-0.83800,-4.06200,-4.06200,0.05000,-3.98100,-2.87800,-3.39200,0.97170,0.97170,-4.20000,-4.20000,13.79590,0.01230,0.01620,26.44890,-75.90070,-75.90070,-109.64420,-89.08030,0.03130,1.28600,1.17420,76.64800,-3.04010,-4.85440,-2.84450,-3.00270,96.57820,-8.26530,-11.66370
2020-12-31,4.68100,4.07300,0.60800,,7.03500,,7.28300,-6.67500,3.39700,-3.27800,,-1.50400,-1.50400,0.85300,-0.47800,-6.41900,-6.67500,0.17740,0.30100,20.78000,25.52000,1.40330,0.02520,0.02940,12.98870,-142.59770,-142.59770,-70.02780,-10.21150,0.05090,2.08340,1.30430,69.00450,-1.96490,-5.73460,-1.63620,-1.91540,262.32010,-15.4059,-16.2189
2020-09-30,3.68600,2.56600,1.12000,,3.44900,,3.69300,-2.57300,7.75500,5.18200,,5.18200,5.18200,-0.24000,5.06800,-2.33400,-2.57300,0.22910,0.39030,22.12000,12.98000,3.97450,0.03990,0.04510,30.38520,-69.80470,-69.80470,140.58600,137.49320,0.04500,1.07100,1.42370,63.21490,7.06820,16.15790,6.32010,6.78630,283.39780,6.7354,7.2426
2020-06-30,2.77800,1.72900,1.04900,,2.03900,,2.31200,-1.26300,0.56500,-0.69800,,-0.69800,-0.69800,-0.20800,-0.79200,-0.99300,-1.26300,0.10520,0.10520,-7.60000,-7.60000,4.29010,0.14510,0.19100,37.76100,-45.46440,-45.46440,-25.12600,-28.50970,0.10130,0.97460,1.13620,79.21170,-3.49630,-4.14290,-2.54620,-2.98900,133.31550,-6.4772,-6.3544
2020-03-31,4.22100,2.64100,1.58000,,2.19400,,2.49700,-0.91700,-0.00300,-0.92000,,-0.92000,-0.92000,-1.04600,-1.89900,-0.61400,-0.91700,0.07700,0.07700,-24.60000,-24.60000,2.31920,0.14410,0.25180,37.43190,-21.72470,-21.72470,-21.79580,-44.98930,0.18930,1.51520,1.17840,76.37530,-6.38090,-7.77490,-4.12500,-5.46160,139.37170,-7.55040,-8.43400
2019-12-31,4.64000,3.01200,1.62800,,1.67400,,1.94000,-0.31200,-0.00300,-0.31500,,-0.19000,-0.19000,0.03400,-0.15600,-0.00300,-0.31200,0.04250,0.04250,6.86000,6.86000,1.79880,0.15810,0.26420,35.08620,-6.72410,-6.72410,-6.78880,-3.36210,0.23030,2.20500,1.10160,81.69830,-1.54430,-2.13150,-0.94310,-1.30020,204.02990,-53.8033,-61.0544
2019-09-30,2.61700,1.78600,0.83100,,1.71300,,2.01100,-1.18000,-0.04200,-1.22200,,-1.22200,-1.22200,-0.02900,-1.25100,-0.88300,-1.18000,0.04010,0.04010,-31.24000,-31.24000,2.10190,0.17920,0.26160,31.75390,-45.08980,-45.08980,-46.69470,-47.80280,0.14110,1.08120,1.23000,73.17370,-11.29910,-16.71020,-6.58760,-9.27390,215.21840,-24.5856,-37.015
2019-06-30,3.48400,2.38400,1.10000,,1.51000,,1.80300,-0.70300,-0.02900,-0.73200,,-0.73200,-0.73200,-0.29900,-1.03100,-0.45100,-0.70300,0.03650,0.03650,-28.20000,-28.20000,2.08580,0.14430,0.19850,31.57290,-20.17800,-20.17800,-21.01030,-29.59240,0.17710,1.87410,1.35870,66.23880,-6.27740,-9.10340,-3.72190,-5.37180,239.82210,-19.8031,-15.1684
2019-03-31,4.80900,3.16000,1.64900,,1.77700,,2.07100,-0.42200,-0.02900,-0.45100,,-0.45100,-0.45100,,-0.45100,-0.12700,-0.42200,0.02920,0.02920,-15.40000,-15.40000,1.09370,0.17740,0.30530,34.28990,-8.77520,-8.77520,-9.37820,-9.37820,0.29740,2.34830,1.92680,46.70920,-5.78810,-11.14590,-2.78920,-4.76140,259.94320,-30.04330,-37.27980
2018-12-31,5.95620,3.96370,1.99250,,1.89310,,2.17190,-0.17940,-0.19830,-0.37770,,-0.39430,-0.39430,,-0.39430,0.10560,-0.17940,0.02780,0.02820,-18.01800,-18.01800,1.20130,0.18520,0.32150,33.45300,-3.01230,-3.01220,-6.34200,-6.62050,0.38980,2.53500,2.68550,33.51290,-5.20610,-9.30170,-2.58070,-4.24180,261.05520,5.5498,-11.1952
2018-09-30,4.09430,2.55180,1.54250,,1.61080,,1.92110,-0.37870,-0.03340,-0.41210,,-0.41210,-0.41210,,-0.41210,-0.06220,-0.37870,0.02790,0.02790,-12.01200,-12.01200,1.15010,0.15550,0.29240,37.67460,-9.24830,-9.24830,-10.06440,-10.06440,0.27600,1.31360,2.13510,42.15180,-5.60090,-10.14650,-2.77760,-4.73020,262.80010,-38.565,-46.3095
2018-06-30,4.08710,2.75640,1.33060,,1.80210,,2.14900,-0.81830,3.49580,2.67750,,2.67750,2.67750,,2.67750,-0.46530,-0.81830,0.02760,0.02800,96.09610,96.09610,1.31350,0.18040,0.30390,32.55670,-20.02170,-20.02170,65.51060,65.51060,0.26990,2.02420,2.14340,41.98900,35.92340,60.93580,17.68180,29.44240,269.68050,-12.6604,-18.9553
2018-03-31,4.37760,2.58160,1.79590,,1.78260,,2.12830,-0.33230,-0.07380,-0.40610,,-0.40610,-0.40610,,-0.40610,0.04110,-0.33230,0.02760,0.02760,-12.01200,-12.01200,0.86730,0.26160,1.31930,41.02610,-7.59090,-7.59090,-9.27670,-9.27670,0.25780,1.61400,2.18920,41.11050,-8.66990,-34.90480,-2.39120,-6.40200,169.47750,-3.38140,-8.19140
2017-12-31,5.83240,3.62870,2.20370,,1.62990,,2.00200,0.20170,-0.08940,0.11230,-0.03520,0.14750,0.14750,,0.14750,0.61460,0.20170,0.02400,0.02400,6.00600,6.00600,0.90290,0.26600,1.32610,37.78320,3.45820,3.45820,1.92530,2.52830,0.33460,2.19760,2.87980,31.25210,3.08120,13.26670,0.84600,2.26170,173.16640,-1.7697,-23.0063
2017-09-30,4.19870,2.40090,1.79780,,1.61910,,1.97110,-0.17330,-0.09900,-0.27230,0.00470,-0.27710,-0.27710,,-0.27710,0.21960,-0.17330,0.02350,0.02350,-12.01200,-12.01200,0.85450,0.28150,1.45540,42.81830,-4.12750,-4.12750,-6.48580,-6.59850,0.24080,1.25500,2.33390,38.56210,-6.75240,-105.59580,-1.58900,-4.85140,154.60620,-16.7134,-19.3056
2017-06-30,3.86020,2.19090,1.66930,,1.49010,,1.83710,-0.16780,-0.09190,-0.25980,0.00470,-0.26450,-0.26450,,-0.26450,0.21630,-0.16780,0.02270,0.02270,-12.01200,-12.01200,0.81050,0.36120,1.99880,43.24330,-4.34810,-4.34810,-6.73000,-6.85270,0.22950,1.43770,2.05950,43.70100,-8.64320,27.85210,-1.57290,-5.52150,134.27950,-13.7364,-26.9135
2017-03-31,4.77060,2.78840,1.98220,,1.72590,,2.06860,-0.08640,-0.09290,-0.17930,0.00470,-0.18400,-0.18400,,-0.18400,0.29160,-0.08640,0.02270,0.02270,-6.00600,-6.00600,0.83800,0.33750,1.94450,41.55130,-1.81140,-1.81140,-3.75850,-3.85780,0.27120,2.31680,2.35590,38.20230,-5.67890,19.50540,-1.04620,-3.76220,142.56260,-21.45870,-24.37710
