Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2025.00000,456.00000,1569.00000,648.00000,469.00000,1185.00000,384.00000,15.00000,399.00000,105.00000,294.00000,294.00000,294.00000,506.00000,384.00000,264.00000,266.00000,1.11000,1.11000,1.42520,0.20270,0.25420,77.48150,18.96300,18.96300,19.70370,14.51850,0.15420,,2.00100,44.97780,3.96870,17.48960,2.23810,3.16440,28.16730,0.883,0.6932
2024-06-30,1660.00000,263.00000,1397.00000,629.00000,385.00000,1033.00000,364.00000,30.00000,394.00000,114.00000,280.00000,280.00000,280.00000,444.00000,364.00000,266.00000,268.00000,1.05000,1.04000,1.45340,0.20280,0.25430,84.15660,21.92770,21.92770,23.73490,16.86750,0.13060,,3.83370,23.47590,3.78380,16.99030,2.20330,3.01660,27.92450,0.44780,0.19780
2024-03-31,1779.00000,357.00000,1422.00000,638.00000,419.00000,1188.00000,234.00000,26.00000,260.00000,78.00000,182.00000,182.00000,182.00000,383.00000,234.00000,270.00000,272.00000,0.68000,0.67000,1.37440,0.20030,0.25050,79.93260,13.15350,13.15350,14.61500,10.23050,0.13260,,3.14870,28.58350,2.42250,10.49600,1.35620,1.93720,28.24440,2.1088,1.9233
2023-12-31,1945.00000,529.00000,1416.00000,584.00000,446.00000,1051.00000,365.00000,17.00000,382.00000,92.00000,290.00000,290.00000,290.00000,447.00000,365.00000,269.00000,271.00000,1.08000,1.07000,1.32590,0.19980,0.24970,72.80210,18.76610,18.76610,19.64010,14.91000,0.14280,,2.24340,40.11830,3.84970,17.57580,2.12970,3.08050,28.10820,4.6706,4.4774
2023-09-30,1914.00000,456.00000,1458.00000,602.00000,453.00000,1081.00000,377.00000,14.00000,391.00000,-8.00000,399.00000,399.00000,399.00000,462.00000,377.00000,271.00000,272.00000,1.47000,1.47000,1.37880,0.19890,0.24830,76.17550,19.69700,19.69700,20.42840,20.84640,0.14570,,1.82810,49.23200,5.26730,24.05060,3.03680,4.21950,28.05560,0.4214,0.2327
2023-06-30,1924.00000,368.00000,1556.00000,596.00000,392.00000,1014.00000,542.00000,14.00000,556.00000,154.00000,402.00000,402.00000,402.00000,630.00000,542.00000,272.00000,274.00000,1.48000,1.47000,1.27640,0.20400,0.25630,80.87320,28.17050,28.17050,28.89810,20.89400,0.14710,,3.72150,24.18400,5.48130,29.21510,3.07270,4.36290,26.96320,1.31020,1.14600
2023-03-31,1874.00000,448.00000,1426.00000,635.00000,479.00000,1251.00000,175.00000,6.00000,181.00000,193.00000,-12.00000,-12.00000,-12.00000,348.00000,175.00000,277.00000,278.00000,-0.03000,-0.03000,1.20820,0.20490,0.25780,76.09390,9.33830,9.33830,9.65850,-0.64030,0.13920,,2.73980,32.84950,-0.16450,-0.92660,-0.08920,-0.13080,26.71430,2.2194,2.0503
2022-12-31,1881.00000,568.00000,1313.00000,556.00000,418.00000,1024.00000,289.00000,-7.00000,282.00000,78.00000,204.00000,204.00000,204.00000,411.00000,289.00000,276.00000,278.00000,0.74000,0.73000,1.23420,0.19930,0.24880,69.80330,15.36420,15.36420,14.99200,10.84530,0.13960,,2.25000,40.00000,2.70160,14.20610,1.51450,2.16330,27.45820,4.0371,3.863
2022-09-30,1904.00000,462.00000,1442.00000,565.00000,407.00000,1015.00000,427.00000,,427.00000,128.00000,299.00000,299.00000,299.00000,554.00000,427.00000,278.00000,279.00000,1.08000,1.07000,1.34400,0.19420,0.24100,75.73530,22.42650,22.42650,22.42650,15.70380,0.14560,,2.07180,43.44010,3.83430,18.54840,2.28610,3.08980,28.15160,-0.4034,-0.5949
2022-06-30,1767.00000,314.00000,1453.00000,572.00000,401.00000,1012.00000,441.00000,-5.00000,436.00000,125.00000,311.00000,311.00000,311.00000,555.00000,441.00000,279.00000,281.00000,1.11000,1.11000,1.24140,0.19730,0.24580,82.22980,24.95760,24.95760,24.67460,17.60050,0.13390,,3.05180,29.49070,4.07010,22.76720,2.35750,3.26720,27.38710,-0.27760,-0.48750
2022-03-31,1825.00000,419.00000,1406.00000,579.00000,410.00000,1041.00000,365.00000,-9.00000,356.00000,131.00000,225.00000,225.00000,225.00000,506.00000,365.00000,284.00000,286.00000,0.81000,0.80000,1.18160,0.19760,0.24630,77.04110,20.00000,20.00000,19.50690,12.32880,0.13220,,2.80770,32.05480,2.95080,17.63320,1.63040,2.36770,27.23210,1.5346,1.3509
2021-12-31,1789.00000,631.00000,1158.00000,539.00000,456.00000,1056.00000,102.00000,-11.00000,91.00000,25.00000,66.00000,66.00000,66.00000,248.00000,102.00000,283.00000,285.00000,0.23000,0.23000,1.20060,0.19780,0.24660,64.72890,5.70150,5.70150,5.08660,3.68920,0.12840,,1.85390,48.54670,0.86650,5.61220,0.47380,0.69510,27.01060,5.3806,5.21
2021-09-30,1826.00000,494.00000,1332.00000,553.00000,409.00000,992.00000,340.00000,-14.00000,326.00000,32.00000,294.00000,294.00000,294.00000,434.00000,340.00000,285.00000,287.00000,1.03000,1.02000,1.31550,0.19280,0.23890,72.94630,18.61990,18.61990,17.85320,16.10080,0.14030,,1.77110,50.81600,3.74240,22.32350,2.25820,3.02070,27.66200,0.2195,0.0687
2021-06-30,1551.00000,315.00000,1236.00000,515.00000,359.00000,914.00000,322.00000,-14.00000,308.00000,104.00000,204.00000,204.00000,204.00000,427.00000,322.00000,286.00000,289.00000,0.71000,0.71000,1.89280,0.19540,0.24290,79.69050,20.76080,20.76080,19.85820,13.15280,0.12180,,2.78460,32.32110,2.63980,7.95940,1.60200,2.12390,27.11580,-0.49480,-0.64710
2021-03-31,1346.00000,319.00000,1027.00000,468.00000,370.00000,852.00000,175.00000,-10.00000,165.00000,89.00000,76.00000,76.00000,76.00000,233.00000,175.00000,289.00000,292.00000,0.26000,0.27000,2.43350,0.19310,0.23930,76.30020,13.00150,13.00150,12.25850,5.64640,0.10130,,2.58350,34.83660,0.96940,1.62990,0.57190,0.78220,27.41260,1.2706,1.1644
2020-12-31,1673.00000,601.00000,1072.00000,451.00000,365.00000,821.00000,251.00000,-6.00000,245.00000,34.00000,211.00000,211.00000,211.00000,297.00000,251.00000,290.00000,292.00000,0.73000,0.72000,2.21110,0.04750,0.12520,64.07650,15.00300,15.00300,14.64440,12.61210,0.13470,,2.15040,41.85300,2.64980,3.49920,1.69890,2.52390,27.64930,3.8544,3.7509
2020-09-30,1151.00000,286.00000,865.00000,421.00000,289.00000,716.00000,149.00000,-10.00000,139.00000,-46.00000,185.00000,185.00000,185.00000,189.00000,149.00000,289.00000,293.00000,0.64000,0.63000,2.74850,0.04690,0.12330,75.15200,12.94530,12.94530,12.07650,16.07300,0.10030,,2.72100,33.07560,2.29100,3.01200,1.61290,2.18370,27.84480,0.2038,0.1189
2020-06-30,1459.00000,288.00000,1171.00000,438.00000,257.00000,700.00000,471.00000,-3.00000,468.00000,103.00000,365.00000,365.00000,365.00000,508.00000,471.00000,288.00000,292.00000,1.27000,1.25000,2.60510,0.04850,0.12800,80.26050,32.28240,32.28240,32.07680,25.01710,0.12930,,2.87770,31.27490,4.69030,6.24470,3.23470,4.46260,26.92730,1.29450,1.16440
2020-03-31,1387.00000,269.00000,1118.00000,402.00000,309.00000,717.00000,401.00000,13.00000,414.00000,-4.00000,418.00000,418.00000,418.00000,440.00000,401.00000,293.00000,295.00000,1.52000,1.48000,2.44630,0.05050,0.13350,80.60560,28.91130,28.91130,29.84860,30.13700,0.12480,,3.00870,29.91350,5.60250,7.56840,3.76170,5.31940,25.90630,1.6731,1.5387
2019-12-31,1593.00000,508.00000,1085.00000,389.00000,328.00000,724.00000,361.00000,13.00000,374.00000,28.00000,346.00000,346.00000,346.00000,400.00000,361.00000,292.00000,294.00000,1.18000,1.18000,2.83530,0.12090,0.13750,68.11050,22.66160,22.66160,23.47770,21.72000,0.14270,,1.99620,45.08480,4.78100,6.54930,3.10010,4.20310,24.86940,3.7596,3.6627
