Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,5.46410,3.17420,,-8.63830,1.40460,-7.23370,,-7.23370,-7.23370,-7.23370,-8.61570,-8.63830,44.36600,44.36600,-0.16000,-0.16000,36.94800,,,-5.61360,-5.61360,-5.45260,-5.61360,2.90430,-0.1286,-0.1286
2024-03-31,6.17800,4.31550,,-10.49350,1.50400,-8.98950,,-8.98950,-8.98950,-8.98950,-10.47130,-10.49350,44.23700,44.23700,-0.20000,-0.20000,32.89120,,,-6.73530,-6.73530,-6.51910,-6.73530,3.00860,-0.1537,-0.1537
2023-12-31,5.37680,2.21790,,-7.59460,1.63030,-5.96430,,-5.96430,-5.96430,-5.96430,-7.57160,-7.59460,44.12900,44.12900,-0.14000,-0.14000,40.74570,,,-4.23950,-4.23950,-4.12790,-4.23950,3.18550,-0.15380,-0.15380
2023-09-30,5.22620,1.92240,-0.00890,-7.15750,1.66840,-5.48140,,-5.48130,-5.48130,-5.48130,-7.13030,-7.15750,44.09000,44.09000,-0.12000,-0.12000,42.57340,,,-3.76400,-3.76400,-3.67570,-3.76400,3.30210,-0.1019,-0.1019
2023-06-30,6.27120,2.63940,0.00150,-8.90900,1.61320,-7.29890,,-7.29890,-7.29890,-7.29890,-8.87860,-8.90900,44.09200,44.09200,-0.17000,-0.17000,44.98420,,,-4.85810,-4.85810,-4.75030,-4.85810,3.40750,-0.1112,-0.1112
2023-03-31,4.48090,3.73070,-0.00190,-8.21350,1.15490,-7.05860,0.00160,-7.06020,-7.06020,-7.06020,-8.18310,-8.21350,44.09200,44.09200,-0.16000,-0.16000,73.65770,,,-4.51600,-4.51600,-4.45430,-4.51600,3.54570,-0.1363,-0.1363
2022-12-31,5.34430,2.51910,0.00240,-7.86100,1.12380,-6.74190,,-6.74190,-6.74190,-6.74190,-7.83060,-7.86100,44.07300,44.07300,-0.15000,-0.15000,56.07490,,,-4.16110,-4.16110,-4.08590,-4.16110,3.67460,-0.09930,-0.09930
2022-09-30,4.35150,2.76970,-0.01770,-7.13890,0.73380,-6.39010,-0.06620,-6.32400,-6.32400,-6.32400,-7.10840,-7.13890,44.03800,44.03800,-0.14000,-0.14000,73.17320,,,-3.78410,-3.78410,-3.73080,-3.78410,3.79190,-0.17,-0.17
2022-06-30,6.39450,2.89550,0.00310,-9.28690,0.42070,-8.87250,-0.04580,-8.82670,-8.82670,-8.82670,-9.25650,-9.28690,44.06000,44.06000,-0.20000,-0.20000,43.42950,,,-5.14630,-5.14630,-5.02490,-5.14630,3.89160,-0.1432,-0.1432
2022-03-31,7.64950,3.81740,-0.00350,-11.47040,0.61580,-10.85460,,-10.85460,-10.85460,-10.85460,-11.43990,-11.47040,44.03000,44.03000,-0.25000,-0.25000,48.57610,,,-6.07370,-6.07370,-5.94420,-6.07370,4.05620,-0.1903,-0.1903
2021-12-31,6.01980,3.06220,0.00430,-9.07760,-0.01160,-9.09780,0.00010,-9.09790,-9.09790,-9.09790,-9.04720,-9.07760,43.99000,43.99000,-0.21000,-0.21000,52.20360,,,-4.85120,-4.85120,-4.75120,-4.85120,4.26070,-0.13230,-0.13230
2021-09-30,6.27310,2.94240,-0.00410,-9.21960,0.66010,-8.55950,0.00000,-8.55950,-8.55950,-8.55950,-9.19080,-9.21960,38.48000,38.48000,-0.19000,-0.19000,50.28370,,,-4.41200,-4.41200,-4.31940,-4.41200,4.41080,-0.2209,-0.2209
2021-06-30,6.23190,3.11790,-0.01670,-9.36650,0.61530,-8.75120,0.00080,-8.75200,-8.75200,-8.75200,-9.34100,-9.36650,41.01800,41.01800,-0.21000,-0.21000,67.45640,,,-4.38260,-4.38260,-4.30020,-4.38260,4.77120,-0.124,-0.124
2021-03-31,7.26830,4.61530,-0.00030,-11.88390,-1.08140,-12.96530,,-12.96530,-12.96530,-12.96530,-11.85630,-11.88390,36.48400,36.48400,-0.36000,-0.36000,65.84990,,,-6.31190,-6.31190,-6.17390,-6.31190,5.08210,-0.1974,-0.1974
2020-12-31,4.48580,2.20890,-0.00120,-6.69590,0.13200,-6.56390,-0.03510,-6.52870,-6.52870,-6.52870,-6.66830,-6.69590,33.34300,33.34300,-0.20000,-0.20000,37.28910,,,-8.81050,-8.81050,-8.57070,-8.81050,2.20510,-0.11820,-0.11820
2020-09-30,2.23670,2.20020,-0.11710,-4.55400,-0.01400,-4.56800,-0.01460,-4.55330,-4.55330,-4.55330,-4.52640,-4.55400,22.44390,22.44390,-0.13000,-0.13000,66.72930,,,-5.74600,-5.74600,-5.65110,-5.74600,2.47140,-0.1405,-0.1405
2020-06-30,2.70370,2.17100,-0.19710,-5.07180,0.14700,-4.92480,,-4.92480,-4.92480,-4.92480,-5.04420,-5.07180,20.82500,20.82500,-0.24000,-0.24000,29.76980,,,-13.33350,-13.40130,-12.86280,-13.33350,1.77230,-0.1674,-0.1674
