,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-31,2024-09-30,--,$0.77
1,2024-08-01,2024-06-30,--,$1.06
2,2024-05-02,2024-03-31,--,$0.34
3,2024-02-26,2023-12-31,--,$0.25
4,2023-11-01,2023-09-30,--,$0.35
5,2023-08-02,2023-06-30,--,$0.96
6,2023-05-03,2023-03-31,--,$0.55
7,2023-02-22,2022-12-31,--,$0.45
8,2022-11-02,2022-09-30,--,$0.54
9,2022-08-03,2022-06-30,--,$0.43
10,2022-05-04,2022-03-31,--,$0.55
11,2022-02-23,2021-12-31,--,$-0.18
12,2021-11-03,2021-09-30,--,$0.01
13,2021-08-04,2021-06-30,--,$0.98
14,2021-05-05,2021-03-31,--,$0.88
15,2021-02-24,2020-12-31,--,$-0.08
16,2020-10-28,2020-09-30,--,$0.35
17,2020-07-29,2020-06-30,--,$0.54
18,2020-04-29,2020-03-31,--,$0.34
19,2020-02-19,2019-12-31,--,$-0.45
20,2019-10-29,2019-09-30,--,$0.35
21,2019-07-30,2019-06-30,--,$0.69
22,2019-04-30,2019-03-31,--,$0.48
23,2019-02-19,2018-12-31,--,$-0.43
24,2018-10-30,2018-09-30,--,$-0.14
25,2018-07-31,2018-06-30,--,$0.14
26,2018-05-01,2018-03-31,--,$0.88
27,2018-02-20,2017-12-31,--,$-0.08
28,2017-10-31,2017-09-30,--,$0.24
29,2017-08-01,2017-06-30,--,$1.40
30,2017-05-02,2017-03-31,$1.17,$0.84
31,2017-02-21,2016-12-31,$0.05,$0.26
32,2016-11-01,2016-09-30,$0.54,$1.17
33,2016-08-02,2016-06-30,$1.24,$1.75
34,2016-05-03,2016-03-31,$0.83,$1.57
35,2016-02-23,2015-12-31,$0.05,$-0.11
36,2015-10-27,2015-09-30,--,$0.54
37,2015-07-28,2015-06-30,--,$1.20
38,2015-04-28,2015-03-31,--,$0.83
39,2015-02-17,2014-12-31,--,$0.20
