Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-10-31,843.71000,585.66800,258.04200,215.36700,258.64800,-0.60600,2.80800,2.20200,0.51500,1.68700,1.68700,1.68700,,-0.60600,55.00700,55.11000,0.03000,0.03000,,,,,,,,,,,,,,,,,,,
2024-07-31,830.06900,558.28300,271.78590,188.80900,230.27710,41.50890,3.05400,44.56300,11.56300,33.00000,33.00000,33.00000,82.97690,41.50890,55.02800,55.04300,0.60000,0.60000,1.63260,,,32.74260,5.00070,5.00070,5.36860,3.97560,0.20680,0.87250,,,2.05260,2.05260,0.82230,2.05260,29.22850,1.2964,-0.592
2024-04-30,811.86300,548.34300,263.52000,190.18600,227.37000,36.15000,4.99000,41.14000,9.67300,31.46700,31.46700,31.46700,73.33400,36.15000,55.16900,55.25600,0.57000,0.57000,1.55130,,,32.45870,4.45270,4.45270,5.06740,3.87590,0.20570,0.87040,,,1.98570,1.98570,0.79720,1.98570,28.77440,0.47850,-1.11170
2024-01-31,1337.73600,786.12190,551.61390,212.49300,283.17210,268.44170,4.10700,272.54900,70.35000,202.19900,202.19900,202.19900,305.53670,268.44170,55.48700,55.62200,3.66000,3.64000,1.68110,,,41.23490,20.06690,20.06690,20.37390,15.11500,0.34550,1.34470,,,12.75740,12.75740,5.22200,12.75740,28.71400,7.329,5.4784
2023-10-31,736.40500,513.57700,222.82800,206.70500,206.70500,16.12300,3.43400,19.55700,4.96300,14.59400,14.59400,14.59400,49.70700,16.12300,55.45300,55.57600,0.26000,0.26000,1.43900,,,30.25890,2.18940,2.18940,2.65570,1.98180,0.20130,0.67280,,,1.05910,1.05910,0.39900,1.05910,24.96560,-1.38,-3.4667
2023-07-31,758.98100,494.40200,264.57900,175.10300,205.98500,58.59410,4.34200,62.93600,16.10100,46.83500,46.83500,46.83500,89.47610,58.59410,55.67500,55.80200,0.84000,0.84000,1.71210,,,34.85980,7.72010,7.72010,8.29220,6.17080,0.21380,0.90950,,,3.25210,3.25210,1.31950,3.25210,25.86140,1.5043,0.2263
2023-04-30,726.24700,491.44300,234.80400,163.20600,192.39200,42.41210,3.64700,46.05900,8.58100,37.47800,37.47800,37.47800,71.59810,42.41210,55.65000,55.77700,0.67000,0.67000,1.75170,,,32.33120,5.83990,5.83990,6.34210,5.16050,0.21480,0.91960,,,2.70150,2.70150,1.10860,2.70150,24.92230,1.52910,0.72070
2023-01-31,1122.75100,670.35410,452.39710,121.01100,226.62800,225.76920,2.15000,227.91900,56.59900,171.32000,171.32000,171.32000,254.68820,225.76890,55.54700,55.74500,3.09000,3.07000,1.76970,,,40.29360,20.10860,20.10850,20.30010,15.25900,0.33770,1.27030,,,12.57920,12.57920,5.15260,12.57920,24.52290,6.4572,5.0548
2022-10-31,645.03400,437.22600,207.80800,186.87400,186.87400,20.93400,0.48300,21.41700,5.27100,16.14600,16.14600,16.14600,48.51200,20.93400,55.51000,55.68400,0.29000,0.29000,1.49570,,,32.21660,3.24540,3.24540,3.32030,2.50310,0.20390,0.62320,,,1.36310,1.36310,0.51030,1.36310,21.33750,-1.6373,-2.7831
2022-07-31,668.92700,440.41800,228.50900,172.49800,172.49800,56.01100,0.09500,56.10600,14.76200,41.34400,41.34400,41.34400,81.15400,56.01100,55.49800,55.64600,0.74000,0.74000,1.52850,,,34.16050,8.37330,8.37330,8.38750,6.18060,0.21670,0.77370,,,3.55620,3.55620,1.33960,3.55620,20.94440,0.0752,-0.856
