,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-12-04,2024-10-31,$0.39,$0.33
1,2024-08-28,2024-07-31,$-0.08,$-0.05
2,2024-05-30,2024-04-30,$0.12,$0.22
3,2024-03-06,2024-01-31,$0.34,$0.38
4,2023-11-29,2023-10-31,$0.23,$0.30
5,2023-08-23,2023-07-31,$0.05,$0.04
6,2023-05-19,2023-04-30,$0.78,$0.70
7,2023-03-20,2023-01-31,$0.52,$0.97
8,2022-11-18,2022-10-31,$1.09,$1.27
9,2022-08-19,2022-07-31,$0.75,$1.10
10,2022-05-20,2022-04-30,$1.47,$1.60
11,2022-02-25,2022-01-31,$1.43,$1.67
12,2021-11-19,2021-10-31,$1.36,$1.93
13,2021-08-20,2021-07-31,$1.08,$2.21
14,2021-05-21,2021-04-30,$1.14,$1.96
15,2021-02-26,2021-01-31,$1.36,$1.55
16,2020-11-20,2020-10-31,$0.60,$1.21
17,2020-08-21,2020-07-31,$0.69,$0.71
18,2020-05-22,2020-04-30,$-0.17,$-0.67
19,2020-02-28,2020-01-31,$1.58,$1.63
20,2019-11-22,2019-10-31,$1.07,$1.13
21,2019-08-23,2019-07-31,$0.66,$0.66
22,2019-05-24,2019-04-30,$1.61,$1.53
23,2019-03-01,2019-01-31,$1.39,$1.56
24,2018-11-20,2018-10-31,$0.92,$0.95
25,2018-08-24,2018-07-31,$0.70,$0.75
26,2018-05-25,2018-04-30,$1.25,$1.45
27,2018-03-02,2018-01-31,$1.25,$1.26
28,2017-11-17,2017-10-31,$0.80,$0.87
29,2017-08-18,2017-07-31,$0.90,$0.62
30,2017-05-19,2017-04-30,$1.38,$1.36
31,2017-02-24,2017-01-31,$1.31,$1.37
32,2016-11-18,2016-10-31,$1.11,$1.13
33,2016-08-19,2016-07-31,$0.91,$0.94
34,2016-05-20,2016-04-30,$1.40,$1.39
35,2016-02-26,2016-01-31,$1.12,$1.16
36,2015-11-20,2015-10-31,$0.94,$1.00
37,2015-08-21,2015-07-31,$0.69,$0.84
38,2015-05-22,2015-04-30,$1.22,$1.29
39,2015-03-06,2015-01-31,$0.90,$1.00
