Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,3713.00000,887.00000,2826.00000,148.00000,-86.00000,62.00000,2764.00000,-352.00000,2414.00000,321.00000,2093.00000,2091.00000,-198.00000,1901.00000,3062.00000,2764.00000,1085.00000,1094.00000,1.76000,1.75000,1.09430,0.46830,0.98510,76.11100,74.44120,74.44120,65.01480,51.19850,0.03020,0.09090,0.39810,226.07860,10.68750,30.89080,1.69810,5.68240,18.22120,1.1827,0.9502
2024-09-30,9842.00000,6226.00000,3616.00000,331.00000,1330.00000,1912.00000,1704.00000,189.00000,1893.00000,198.00000,1695.00000,1695.00000,147.00000,1852.00000,2017.00000,1704.00000,1083.00000,1093.00000,1.71000,1.70000,1.13360,0.48850,1.04290,36.74050,17.31360,17.31360,19.23390,18.81730,0.07770,0.64070,1.10140,81.71510,8.87300,28.35400,1.33780,4.53910,17.64960,1.3908,1.1587
2024-06-30,9094.00000,5575.00000,3519.00000,300.00000,924.00000,1224.00000,2295.00000,-849.00000,1447.00000,125.00000,1322.00000,1322.00000,-54.00000,1266.00000,2345.00000,2295.00000,1089.00000,1100.00000,1.16000,1.15000,1.14050,0.48820,1.04400,38.69580,25.23640,25.23640,15.91160,13.92130,0.07380,0.58880,1.08650,82.83480,7.01590,23.64940,1.07310,3.59080,17.37790,0.8324,0.8024
2024-03-31,16053.00000,11620.00000,4433.00000,507.00000,2269.00000,2776.00000,1657.00000,211.00000,1866.00000,318.00000,1548.00000,1549.00000,14.00000,1537.00000,2180.00000,1657.00000,1091.00000,1103.00000,1.41000,1.39000,1.16640,0.38530,0.65990,27.61480,10.32210,10.32210,11.62400,9.57450,0.09790,0.66010,1.06310,84.65710,4.98010,12.64180,0.94480,3.06140,28.41570,0.89940,0.55490
2023-12-31,2805.00000,526.00000,2279.00000,94.00000,-11.00000,83.00000,2196.00000,-89.00000,2107.00000,444.00000,1663.00000,1664.00000,-73.00000,1592.00000,2505.00000,2196.00000,1089.00000,1099.00000,1.46000,1.43000,1.32560,0.40430,0.71750,81.24780,78.28880,78.28880,75.11590,56.75580,0.01620,0.06350,0.32230,279.24070,5.81700,11.08230,0.96020,3.46510,26.28130,2.8572,2.6351
2023-09-30,9302.00000,5992.00000,3310.00000,247.00000,1001.00000,1248.00000,2062.00000,-1728.00000,333.00000,26.00000,307.00000,307.00000,31.00000,261.00000,2354.00000,2062.00000,1088.00000,1099.00000,0.24000,0.24000,1.17170,0.39510,0.69800,35.58380,22.16730,22.16730,3.57990,2.80580,0.05940,0.35210,0.63950,140.73750,1.02910,2.82560,0.19600,0.62250,27.40940,1.6586,1.4623
2023-06-30,8755.00000,5692.00000,3063.00000,239.00000,913.00000,1152.00000,1911.00000,-402.00000,1509.00000,253.00000,1256.00000,1256.00000,-1218.00000,-25.00000,1982.00000,1911.00000,1089.00000,1098.00000,-0.02000,-0.02000,1.25160,0.38070,0.67290,34.98570,21.82750,21.82750,17.23590,-0.28560,0.05370,0.33900,0.59290,151.80240,3.88060,9.61050,0.77050,2.40300,29.73970,0.4419,0.3958
2023-03-31,14486.00000,10729.00000,3757.00000,431.00000,2142.00000,2573.00000,1184.00000,5308.00000,6492.00000,271.00000,6221.00000,6221.00000,1257.00000,7360.00000,1691.00000,1184.00000,1089.00000,1097.00000,6.76000,6.71000,1.25130,0.38050,0.68310,25.93540,8.17340,8.17340,44.81570,50.80770,0.08810,0.66240,1.01930,88.29770,18.95550,45.32280,3.78240,11.74170,30.14160,-0.23610,-0.50140
2022-12-31,-12133.00000,-12846.00000,713.00000,-460.00000,-2836.00000,-3296.00000,4009.00000,130.00000,3900.00000,-34.00000,3934.00000,3934.00000,-1723.00000,2097.00000,2870.00000,4009.00000,1096.00000,1101.00000,1.91000,1.91000,1.18120,0.36790,0.68910,-5.87650,-33.04210,-33.04210,-32.14370,-17.28340,-0.06420,-0.86270,-0.81810,-110.01320,11.27030,24.88460,2.08310,7.12270,32.05560,4.0801,4.206
2022-09-30,14470.00000,11534.00000,2936.00000,426.00000,1966.00000,2392.00000,544.00000,-775.00000,-232.00000,13.00000,-245.00000,-245.00000,409.00000,88.00000,1026.00000,544.00000,1095.00000,1095.00000,0.08000,0.08000,1.09930,0.44370,0.92830,20.29030,3.75950,3.75950,-1.60330,0.60820,0.08000,0.65770,0.84140,106.96130,-0.74810,99.19030,-0.13550,-0.41610,29.97530,1.2996,1.1481
2022-06-30,14127.00000,10525.00000,3602.00000,439.00000,1817.00000,2256.00000,1346.00000,-2311.00000,-966.00000,161.00000,-1127.00000,-1127.00000,264.00000,-949.00000,1862.00000,1346.00000,1099.00000,1099.00000,-0.86000,-0.86000,1.12570,0.43410,0.90470,25.49730,9.52790,9.52790,-6.83800,-6.71760,0.07610,0.59960,0.86760,103.73540,-3.13610,-52.98540,-0.60740,-1.77440,32.77730,0.5,0.2551
2022-03-31,12675.00000,9774.00000,2901.00000,403.00000,2725.00000,3128.00000,-227.00000,-1194.00000,-1180.00000,29.00000,-1209.00000,-1209.00000,101.00000,-1188.00000,1098.00000,-227.00000,1100.00000,1100.00000,-1.08000,-1.08000,1.18660,0.41560,0.83490,22.88760,-1.79090,-1.79090,-9.30970,-9.37280,0.06600,0.58990,0.78970,113.96450,-3.00160,-20.33300,-0.62980,-1.75390,36.58770,-0.50550,-0.69730
