Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.24240,5.80800,-3.56560,,1.01600,,1.01600,-4.58160,-0.01500,-4.59660,-1.10370,-3.49290,-3.49290,-3.49290,0.20810,-4.58160,10.72690,10.72690,-0.33000,-0.33000,1.10610,0.00660,0.00780,-159.01050,-204.32040,-204.32040,-204.98810,-155.76780,0.01160,13.57510,1.74890,51.45960,-2.09750,-2.09750,-1.80150,-2.08370,15.52390,0.0483,0.0483
2024-06-30,2.38320,6.82660,-4.44340,,0.70360,,0.70360,-5.14700,-29.15900,-34.30600,-1.20810,-33.09790,-33.09790,-33.09790,-0.19050,-5.14700,10.72700,10.72700,-3.09000,-3.09000,1.09320,0.00650,0.00760,-186.44890,-215.97280,-215.97280,-1439.51300,-1388.82000,0.01230,16.49880,1.37050,65.66900,-19.82920,-19.82920,-17.06730,-19.70110,15.56030,0.0483,-5.5941
2024-03-31,1.30710,5.85450,-4.54750,,0.72190,,0.72200,-5.26940,0.00720,-5.26220,-1.27010,-3.99210,-3.99210,-3.99210,-0.31860,-5.26940,10.72700,10.72700,-0.37000,-0.37000,6.93920,0.00660,0.00750,-347.91560,-403.14980,-403.14980,-402.59700,-305.42790,0.00590,9.23240,0.24810,362.75770,-1.98750,-1.98750,-1.79970,-1.97440,18.72490,-0.12400,-0.12400
2023-12-31,6.87040,12.69830,-5.82790,,1.99080,,2.05090,-7.87880,-46.48570,-54.36450,4.41540,-58.77990,-58.77990,-58.77990,4.76280,-7.87880,10.43600,10.43600,-5.63000,-5.63000,6.83890,0.00640,0.00720,-84.82590,-114.67740,-114.67740,-791.28760,-855.55470,0.03030,21.99860,1.40980,63.83720,-28.63840,-28.63840,-25.93170,-28.45640,19.13380,-4.0845,-2.6277
2023-09-30,5.86560,7.38160,-1.51600,,0.77730,,0.77730,-2.29330,0.03400,-2.25930,-0.48350,-1.77580,-1.77580,-1.77580,2.49560,-2.29330,10.43190,10.43190,-0.17000,-0.17000,11.64440,0.00480,0.00550,-25.84510,-39.09720,-39.09720,-38.51810,-30.27470,0.02100,8.43780,2.72480,33.03010,-0.68110,-0.68110,-0.63670,-0.67780,24.99270,-0.1095,-1.5616
2023-06-30,8.00580,8.37700,-0.37120,,0.60800,0.06010,0.54790,-0.91910,0.04460,-0.87450,-0.19270,-0.68180,-0.68180,-0.68180,4.31740,-0.91910,10.43200,10.43200,-0.07000,-0.07000,12.58650,0.00480,0.00540,-4.63650,-11.48040,-11.48040,-10.92350,-8.51650,0.02880,10.51570,3.77950,23.81270,-0.26200,-0.26200,-0.24500,-0.26070,24.94740,0.5925,0.5909
2023-03-31,9.30200,9.17780,0.12420,,0.92380,,0.92380,-0.79960,0.04130,-0.75830,-0.20060,-0.55770,-0.55770,-0.55770,4.56070,-0.79960,10.43200,10.43200,-0.05000,-0.05000,11.02510,0.00540,0.03220,1.33520,-8.59550,-8.59550,-8.15200,-5.99600,0.03150,15.60830,1.78010,50.56030,-0.20290,-0.20290,-0.18860,-0.20180,26.34590,0.46310,0.46000
2022-12-31,18.58920,13.59280,4.99640,,2.65980,-2.84160,5.50140,-0.50500,0.04590,-0.45910,2.23070,-2.68980,-2.68980,-2.68980,10.01140,-0.50500,10.03900,10.03900,-0.22000,-0.22000,10.14160,0.00540,0.00620,26.87820,-2.71650,-2.71650,-2.46960,-14.46950,0.06360,8.50310,3.46570,25.96890,-0.99030,-0.99030,-0.91980,-0.98500,26.03700,1.5521,0.9827
2022-09-30,22.86280,10.31600,12.54680,,0.60420,0.00000,0.60420,11.94260,0.03580,11.97840,3.01100,8.96740,8.96740,8.96740,17.92600,11.94260,10.47200,10.47200,0.86000,0.86000,8.21440,0.00530,0.00600,54.87860,52.23590,52.23590,52.39230,39.22260,0.07870,17.08060,2.28710,39.35070,3.33840,3.33840,3.08640,3.32070,25.65070,1.777,1.777
2022-06-30,15.71170,10.02840,5.68330,,0.57410,,0.57420,5.10920,0.04230,5.15140,1.24960,3.90180,3.90180,3.90180,10.38200,5.10920,10.47200,10.47200,0.37000,0.37000,7.02240,0.00550,0.00610,36.17240,32.51820,32.51820,32.78710,24.83370,0.05260,17.54120,1.68890,53.28980,1.41590,1.41590,1.30660,1.40810,26.31560,0.9594,-2.175
