Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,22.64800,21.48200,1.16600,5.61500,-0.16600,21.91900,-20.75300,13.40800,-7.34500,0.31800,-7.66300,-7.66300,-7.66300,-4.61500,-20.75300,118.59400,118.59400,-0.06000,-0.06000,5.55620,0.05680,0.09980,5.14840,-91.63280,-91.63280,-32.43110,-33.83520,0.06770,3.40370,26.44210,-2.74140,-2.74140,-2.28960,-2.58560,2.35450,-0.0103,-0.1338
2024-06-30,32.24100,20.80100,11.44000,3.93200,-1.24000,18.98700,-7.54700,11.81300,4.26600,1.00800,3.25800,3.25800,3.25800,6.26800,-7.54700,110.69100,114.05100,0.03000,0.03000,7.35040,0.05930,0.08500,35.48280,-23.40810,-23.40810,13.23160,10.10510,0.10090,7.33080,12.27690,1.19260,1.19260,1.01940,1.12180,2.32930,-0.03200,-0.10650
2024-03-31,36.88100,20.49000,16.39100,3.77500,1.56000,19.11200,-2.72100,0.28400,-2.43700,1.01700,-3.45400,-3.45400,-3.45400,13.75400,-2.72100,90.00500,90.00500,-0.01000,-0.01000,6.77190,0.06520,0.11830,44.44290,-7.37780,-7.37780,-6.60770,-9.36530,0.11990,5.32270,16.90870,-1.33000,-1.33000,-1.12300,-1.24330,2.44810,-0.227,-0.3644
2023-12-31,31.25200,19.96300,11.28900,4.33100,6.24000,14.51400,-3.22500,-1.97700,-5.20200,1.74900,-6.95100,-6.95100,-6.95100,13.19800,-3.22500,88.25300,88.25300,-0.08000,-0.08000,3.51080,0.10060,0.18450,36.12250,-10.31940,-10.31940,-16.64530,-22.24180,0.13520,3.81400,23.59720,-3.86050,-3.86050,-3.00600,-3.47200,1.94560,0.1251,-0.2936
2023-09-30,22.76700,18.09600,4.67100,7.60700,-2.67600,26.85000,-22.17900,-0.76400,-22.94300,1.60500,-24.54800,-24.54800,-24.54800,-5.61200,-22.17900,85.05200,85.05200,-0.29000,-0.29000,2.51740,0.14640,0.26520,20.51650,-97.41730,-97.41730,-100.77300,-107.82270,0.13400,2.27030,39.64160,-19.97350,-19.97350,-14.44370,-17.05030,1.42540,0.0603,-0.0535
2023-06-30,23.56500,15.52600,8.03900,4.74000,-0.57500,21.79800,-13.75900,-0.67900,-14.43800,1.81400,-16.25200,-16.25200,-16.25200,2.72400,-13.75900,84.22400,84.22400,-0.19000,-0.19000,3.12040,0.13800,0.19510,34.11420,-58.38740,-58.38740,-61.26880,-68.96670,0.12510,2.62790,34.24830,-11.47900,-11.47900,-8.62770,-9.89470,1.67110,0.19190,0.00210
2023-03-31,18.22450,13.94230,4.28220,6.31230,28.69030,-11.06310,15.34530,-7.79450,7.55080,0.83100,6.71980,6.71980,6.71980,26.66030,15.34530,82.87100,82.87100,0.10000,0.10000,3.57600,0.13900,0.24120,23.49710,84.20170,84.20170,41.43210,36.87230,0.09290,1.94830,46.19390,4.51550,4.51760,3.42640,3.88780,1.76800,-0.0259,-0.0266
2022-12-31,14.31800,10.70300,3.61500,5.80600,-9.44500,35.59100,-31.97600,-61.89400,-93.87000,-0.41100,-93.45900,-93.45900,-93.45900,-11.63600,-31.97600,82.70500,82.70500,-1.13000,-1.13000,2.86130,0.15680,0.26310,25.24790,-223.32730,-223.32730,-655.60840,-652.73780,0.07560,1.33100,67.62060,-66.34240,-66.40570,-49.34580,-55.93740,1.68180,0.1426,-0.1827
2022-09-30,29.59700,13.65600,15.94100,5.18400,1.03900,28.46800,-12.52700,-21.26100,-33.78800,-0.13100,-33.65700,-33.65700,-33.65700,11.79580,-12.52700,82.25300,82.25300,-0.41000,-0.41000,3.74890,0.10290,0.16300,53.86020,-42.32520,-42.32520,-114.16020,-113.71760,0.10630,3.23190,27.84740,-14.73000,-14.74300,-12.09070,-13.21410,2.77140,0.242,0.2421
2022-06-30,44.17850,17.16180,27.01680,4.31870,-93.00020,123.07100,-96.05430,-19.97250,-116.02680,,-116.02680,-116.02680,-116.02680,-70.30210,-96.05430,82.24200,82.24200,-1.41000,-1.41000,3.11180,0.09870,0.15580,61.15360,-217.42310,-217.42310,-262.63170,-262.63170,0.13840,5.73690,15.68790,-44.63110,-44.67720,-36.34900,-40.22660,3.16100,0.18170,0.01420
2022-03-31,49.78350,26.91090,22.87270,5.59290,1.05110,40.04550,-17.17290,-14.38280,-31.55570,,-33.97170,-33.97170,-33.97170,18.33080,-17.17290,77.71600,84.80800,-0.46000,-0.47000,7.61160,0.08370,0.12420,45.94430,-34.49510,-34.49510,-63.38580,-68.23880,0.11010,7.36660,12.21730,-8.73190,-8.73940,-7.51130,-8.00100,4.73060,0.1434,-0.5801
2021-12-31,68.84480,6.52630,62.31850,4.53460,-1.09070,20.61770,41.70080,9.49180,51.19260,,51.19260,51.19260,51.19260,56.69310,41.70080,77.68700,82.41200,0.66000,0.62000,17.46920,0.08430,0.10220,90.52030,60.57220,60.57220,74.35940,74.35940,0.14130,6.86080,13.11810,11.84940,12.26450,10.50840,10.85070,5.52990,0.3467,-0.4402
2021-09-30,53.57310,7.59330,45.97970,3.52870,1.71000,11.44530,34.53440,4.39320,38.92760,,38.92760,38.92760,38.92760,44.16090,34.53440,76.39640,80.14400,0.51000,0.49000,14.90570,0.13440,0.17200,85.82620,64.46230,64.46230,72.66260,72.66260,0.16820,5.68500,15.83120,14.58290,15.44020,12.21870,12.62220,3.46850,0.2231,-0.4326
2021-06-30,38.98270,6.22070,32.76200,4.04990,-1.59450,12.54350,20.21840,3.25520,23.47370,,23.47370,23.47370,23.47370,27.11760,20.21840,75.32200,79.20000,0.31000,0.30000,13.23010,0.18140,0.24730,84.04240,51.86520,51.86520,60.21560,60.21560,0.15760,4.37490,20.57190,12.05540,13.05830,9.48720,9.86890,2.56470,0.06830,-0.24020
2021-03-31,34.41620,5.72610,28.69010,3.63700,7.27060,1.40170,27.28840,-31.21290,-3.92460,,-4.07590,-4.07590,-4.07590,32.05510,27.28840,69.41200,73.28900,-0.05000,-0.07000,10.90880,0.23930,0.36380,83.36210,79.28930,79.28930,-11.40330,-11.84310,0.19300,3.92520,22.92900,-3.18050,-3.19560,-2.28560,-2.41930,1.74260,0.0647,-0.5429
2020-12-31,13.70790,3.07890,10.62900,1.12080,8.38870,-4.79130,15.42030,1.79030,17.21050,,17.21050,17.21050,17.21050,17.89680,15.42030,69.20270,72.66540,0.25000,0.25000,2.91520,0.02220,0.12810,77.53900,112.49190,112.49190,125.55200,125.55200,0.20490,0.72370,124.36210,32.10640,32.63760,25.72080,31.39480,0.77330,0.1754,-0.067
2020-09-30,12.98960,3.78070,9.20890,0.69810,2.91550,-0.42060,9.62950,-0.41860,9.21100,,9.21100,9.21100,9.21100,11.42630,9.62950,69.07540,71.05820,0.15000,0.15000,3.20690,0.04140,0.19290,70.89430,74.13260,74.13260,70.91040,70.91040,0.27820,0.94220,95.51950,25.81130,26.45820,19.72950,24.74320,0.51620,0.0763,0.0687
2020-06-30,6.58030,3.98730,2.59300,1.34050,2.07330,0.89710,1.69590,0.10280,1.79870,,1.79870,1.79870,1.79870,3.32580,1.69590,73.43020,75.24640,0.00000,0.00000,2.11880,0.09030,0.28200,39.40580,25.77280,25.77280,27.33460,27.33460,0.17400,0.52700,170.79060,6.99540,7.24110,4.75520,6.36360,0.37330,0.00690,-0.02570
