,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-17,2024-09-30,$0.24,$0.24
1,2024-07-18,2024-06-30,$0.38,$0.34
2,2024-04-25,2024-03-31,$0.22,$0.35
3,2024-01-18,2023-12-31,$0.05,$0.06
4,2023-10-19,2023-09-30,$0.62,$0.29
5,2023-07-20,2023-06-30,--,$0.54
6,2023-04-20,2023-03-31,--,$0.26
7,2023-01-19,2022-12-31,--,$0.44
8,2022-10-20,2022-09-30,--,$1.24
9,2022-07-21,2022-06-30,--,$1.96
10,2022-04-21,2022-03-31,--,$1.99
11,2022-01-20,2021-12-31,--,$1.18
12,2021-10-21,2021-09-30,--,$1.28
13,2021-07-22,2021-06-30,--,$0.94
14,2021-04-22,2021-03-31,--,$0.76
15,2021-01-21,2020-12-31,--,$0.45
16,2020-10-22,2020-09-30,--,$0.39
17,2020-07-16,2020-06-30,--,$0.37
18,2020-04-16,2020-03-31,--,$0.23
19,2020-01-16,2019-12-31,--,$0.03
20,2019-10-17,2019-09-30,--,$-0.09
21,2019-07-18,2019-06-30,--,$0.11
22,2019-04-18,2019-03-31,--,$0.05
23,2019-01-17,2018-12-31,--,$0.19
24,2018-10-18,2018-09-30,--,$0.49
25,2018-07-19,2018-06-30,--,$0.67
26,2018-04-23,2018-03-31,--,$0.31
27,2018-01-18,2017-12-31,--,$0.20
28,2017-10-19,2017-09-30,--,$0.20
29,2017-07-20,2017-06-30,--,$0.36
30,2017-04-20,2017-03-31,--,$0.39
31,2017-01-19,2016-12-31,--,$0.23
32,2016-10-20,2016-09-30,--,$0.51
33,2016-07-21,2016-06-30,--,$0.71
34,2016-04-21,2016-03-31,--,$0.38
35,2016-01-21,2015-12-31,--,$0.36
36,2015-10-22,2015-09-30,--,$0.50
37,2015-07-16,2015-06-30,--,$0.32
38,2015-04-16,2015-03-31,--,$0.10
39,2015-01-15,2014-12-31,--,$0.22
