,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-06,2024-09-30,$-0.19,$-0.15
1,2024-08-08,2024-06-30,$-0.18,$-0.17
2,2024-05-09,2024-03-31,$-0.22,$-0.17
3,2024-02-22,2023-12-31,$-0.20,$-0.09
4,2023-11-09,2023-09-30,$-0.23,$-0.02
5,2023-08-09,2023-06-30,$-0.30,$-0.22
6,2023-05-10,2023-03-31,$-0.35,$-0.32
7,2023-02-23,2022-12-31,$-0.38,$-0.31
8,2022-11-10,2022-09-30,$-0.37,$-0.33
9,2022-08-11,2022-06-30,$-0.33,$-0.33
10,2022-05-12,2022-03-31,$-0.25,$-0.20
11,2022-02-24,2021-12-31,$-0.18,$-0.16
12,2021-11-09,2021-09-30,$-0.22,$-0.19
13,2021-09-02,2021-06-30,$-0.25,$-0.23
