,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-05,2024-09-30,$-2.37,$-1.85
1,2024-08-01,2024-06-30,$-1.60,$-1.20
2,2024-05-08,2024-03-31,--,$-1.20
3,2024-02-29,2023-12-31,--,$-2.40
4,2023-11-07,2023-09-30,--,$-2.40
5,2023-08-02,2023-06-30,--,$-2.40
6,2023-05-04,2023-03-31,--,$-2.40
7,2023-02-28,2022-12-31,--,$-8.00
8,2022-11-08,2022-09-30,--,$1.20
9,2022-08-04,2022-06-30,--,$0.80
10,2022-05-10,2022-03-31,--,$2.80
11,2022-02-17,2021-12-31,--,$1.60
12,2021-11-03,2021-09-30,--,$4.80
13,2021-08-05,2021-06-30,$0.80,$1.20
14,2021-05-13,2021-03-31,$0.00,$0.80
15,2021-03-16,2020-12-31,--,$-10.80
16,2020-11-13,2020-09-30,--,$-11.20
