Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,15.69500,15.69500,3.69700,6.48100,-1.51500,4.96600,4.96600,,4.96600,4.96600,11.99800,11.99800,21.66600,21.66600,0.23000,0.23000,4.36780,0.59870,1.49200,100.00000,41.29340,76.44470,31.64070,31.64070,0.03130,0.68510,131.37300,2.49680,2.49680,0.98950,1.00190,9.18000,0.6654,0.6654
2024-06-30,15.62700,15.62700,3.28800,6.55900,-3.30100,3.25800,3.25800,,3.25800,3.25800,12.33900,12.33900,21.66600,21.66600,0.15000,0.15000,3.38240,0.60490,1.53110,100.00000,41.97220,78.95950,20.84850,20.84850,0.03050,0.72140,124.75140,1.63440,1.63440,0.63620,0.64570,9.20080,0.8463,0.8463
2024-03-31,15.18200,15.18200,4.20500,5.47000,-2.27500,3.19500,3.19500,,3.19500,3.19500,10.97700,10.97700,21.66600,21.66600,0.15000,0.15000,3.61630,0.61270,1.58210,100.00000,36.02950,72.30270,21.04470,21.04470,0.02880,0.72690,123.80780,1.58560,1.58560,0.60570,0.61410,9.30040,-0.56700,-0.56700
2023-12-31,15.50300,15.50300,4.55600,5.27800,-3.69400,1.58400,1.58400,,1.58400,1.58400,10.94700,10.94700,21.66600,21.66600,0.07000,0.07000,2.82740,0.59630,1.47680,100.00000,34.04500,70.61210,10.21740,10.21740,0.03020,0.80120,112.32730,0.77750,0.77750,0.30870,0.31390,9.40290,1.473,1.473
2023-09-30,15.64300,15.64300,4.34900,5.42000,-5.65600,-0.23600,-0.23600,,-0.23600,-0.23600,11.29400,11.29400,21.66600,21.66600,-0.01000,-0.01000,3.23270,0.61210,1.57810,100.00000,34.64810,72.19840,-1.50870,-1.50870,0.02880,0.83980,107.16810,-0.11370,-0.11370,-0.04350,-0.04410,9.57980,-0.2426,-0.2426
2023-06-30,16.34700,16.34700,4.63300,5.92400,-10.26000,-4.33600,-4.33600,,-4.33600,-4.33600,11.71400,11.71400,21.66600,21.66600,-0.20000,-0.20000,3.25890,0.60280,1.51730,100.00000,36.23910,71.65840,-26.52480,-26.52470,0.02990,0.92800,96.98660,-2.03370,-2.03370,-0.79430,-0.80790,9.84070,0.7546,0.7546
2023-03-31,16.80400,16.80400,4.66300,6.62700,-3.26800,3.35900,3.35900,,3.35900,3.35900,12.14100,12.14100,21.66600,21.66600,0.16000,0.16000,3.39800,0.59580,1.47380,100.00000,39.43700,72.25070,19.98930,19.98930,0.03000,0.92900,96.88230,1.50650,1.50650,0.60040,0.60900,10.29080,0.40270,0.40270
2022-12-31,15.16400,15.16400,4.52500,5.52000,-1.04000,4.48000,4.48000,,4.48000,4.48000,10.63900,10.63900,21.66600,21.66600,0.20000,0.20000,2.37420,0.59470,1.46700,100.00000,36.40200,70.15960,29.54370,29.54370,0.02680,0.92140,97.67410,1.99090,1.99090,0.79290,0.80700,10.38580,-1.2872,-1.2872
2022-09-30,15.91600,15.91600,5.39300,6.26000,-7.00900,-0.74900,-0.74900,,-0.74900,-0.74900,10.52300,10.52300,21.66600,21.66600,-0.03000,-0.03000,2.80540,0.56870,1.31870,100.00000,39.33150,66.11590,-4.70600,-4.70600,0.02990,1.08420,83.01080,-0.33150,-0.33150,-0.14060,-0.14300,10.42910,1.1714,1.1714
2022-06-30,12.99500,12.99500,4.20500,5.01400,-12.37800,-7.36400,-7.36400,,-7.36400,-7.36400,8.79000,8.79000,21.66600,21.66600,-0.34000,-0.34000,2.47600,0.57670,1.36250,100.00000,38.58410,67.64140,-56.66800,-56.66800,0.02340,1.05630,85.20050,-3.17250,-3.17250,-1.32370,-1.34290,10.71360,0.1133,0.1133
