Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1596.51900,1195.20400,401.31510,157.09600,-4.96900,162.06500,239.25000,10.68200,249.93200,53.96600,195.96600,195.96600,195.96600,245.79600,239.25000,36.22600,36.66900,5.41000,5.34000,1.74600,0.20720,0.26130,25.13690,14.98570,14.98570,15.65480,12.27460,0.22480,5.56400,16.17550,3.89610,3.89610,2.75870,3.08900,139.02130,-2.5101,-2.7279
2024-06-30,1702.04900,1254.23200,447.81690,157.84900,-3.47400,161.32300,286.49390,10.86700,297.36100,65.80600,231.55500,231.55500,231.55500,293.26790,286.49390,36.32200,36.71800,6.38000,6.31000,1.93340,0.21200,0.26900,26.31050,16.83230,16.83230,17.47080,13.60450,0.24580,6.59360,13.64960,4.74250,4.74250,3.34420,3.73730,134.40510,-3.2085,-3.3953
2024-03-31,1474.75400,1090.43600,384.31810,152.28200,-7.04300,159.32500,224.99320,9.02200,234.01500,47.99900,186.01600,186.01600,186.01600,231.03120,224.99320,36.31100,36.77900,5.12000,5.06000,1.65730,0.17500,0.21220,26.05980,15.25630,15.25630,15.86810,12.61340,0.22730,6.06090,14.84920,3.94050,3.94050,2.86650,3.25080,129.97530,2.22760,2.05960
2023-12-31,1660.40500,1237.53000,422.87540,176.11700,-0.80000,176.91700,245.95830,12.91100,258.86900,60.01800,198.85100,198.85100,198.85100,253.71620,245.95830,36.61900,37.06900,5.45000,5.39000,1.77290,0.17940,0.21860,25.46820,14.81310,14.81310,15.59070,11.97610,0.26140,6.21940,14.47090,4.31170,4.31170,3.13000,3.53820,126.61360,-2.8166,-3.0024
2023-09-30,1619.20900,1183.27700,435.93200,162.21300,-0.40900,162.62200,273.30990,12.42400,285.73400,63.97400,221.76000,221.76000,221.76000,279.68990,273.30990,36.60300,37.07800,6.06000,5.98000,1.81510,0.18530,0.22740,26.92250,16.87920,16.87920,17.64650,13.69560,0.26190,7.07540,12.72020,5.01600,5.01600,3.58730,4.08660,121.29060,2.8397,2.5687
2023-06-30,1573.61000,1190.24300,383.36690,147.93800,-8.76700,156.70500,226.66200,12.86200,239.52400,52.68800,186.83600,186.83600,186.83600,232.65000,226.66200,36.76500,37.19100,5.08000,5.02000,2.18170,0.21380,0.27200,24.36230,14.40400,14.40400,15.22130,11.87310,0.25940,7.49100,12.01450,4.39790,4.39790,3.08020,3.45760,115.55270,6.216,5.8901
2023-03-31,1285.03900,995.40700,289.63200,130.36500,-2.80800,133.17300,156.45900,8.84400,165.30300,34.00200,131.30100,131.30100,131.30100,161.66700,156.45900,36.66400,37.12100,3.58000,3.54000,1.88670,0.22050,0.28290,22.53880,12.17540,12.17540,12.86370,10.21770,0.21890,6.13930,14.65980,3.22830,3.22830,2.23640,2.51630,110.62720,3.35310,3.11690
2022-12-31,1998.74800,1491.67100,507.07710,167.07300,-1.31800,168.39100,338.68630,3.56300,342.24900,79.88400,262.36500,262.36500,262.36500,345.88930,338.68620,36.69400,37.10100,7.17000,7.08000,1.71660,0.22560,0.29130,25.36970,16.94490,16.94490,17.12320,13.12650,0.34630,9.29570,9.68190,6.64280,6.64280,4.54540,5.14420,107.99840,15.5195,15.3255
2022-09-30,1584.32900,1126.97100,457.35790,126.32700,-1.46600,127.79300,329.56490,-0.07400,329.49100,67.00200,262.48900,262.48900,262.48900,335.38690,329.56490,36.56900,36.94600,7.18000,7.10000,0.79230,0.23890,0.31390,28.86760,20.80160,20.80160,20.79690,16.56780,0.28440,8.19590,10.98110,7.12930,7.12930,4.71160,5.42600,100.67570,0.9996,0.8206
2022-06-30,1417.52000,966.99200,450.52800,117.31500,-1.06000,118.37500,332.15300,-0.45800,331.69500,81.61100,250.08400,250.08400,250.08400,338.11690,332.15300,36.64700,36.96200,6.82000,6.77000,0.74240,0.25350,0.33950,31.78280,23.43200,23.43200,23.39970,17.64240,0.26710,8.26990,10.88290,7.32850,7.32850,4.71170,5.47100,93.32100,-5.9205,-6.0951
