,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-31,2024-09-30,$1.15,$1.56
1,2024-08-01,2024-06-30,$0.79,$0.89
2,2024-05-02,2024-03-31,$-0.56,$-0.23
3,2024-02-29,2023-12-31,$0.37,$0.57
4,2023-10-31,2023-09-30,$1.84,$0.88
5,2023-08-03,2023-06-30,$0.75,$0.81
6,2023-05-04,2023-03-31,$-0.65,$-0.64
7,2023-02-23,2022-12-31,$0.92,$0.94
8,2022-11-03,2022-09-30,$1.22,$1.28
9,2022-08-04,2022-06-30,$0.65,$0.66
10,2022-05-05,2022-03-31,$-0.20,$-0.10
11,2022-02-24,2021-12-31,--,$1.25
12,2021-11-04,2021-09-30,$1.63,$1.75
13,2021-08-05,2021-06-30,$1.19,$1.23
14,2021-05-06,2021-03-31,$0.71,$1.04
15,2021-02-25,2020-12-31,$1.62,$1.67
16,2020-10-29,2020-09-30,$1.62,$1.77
17,2020-07-30,2020-06-30,$0.76,$0.88
18,2020-04-30,2020-03-31,$0.40,$0.55
19,2020-02-27,2019-12-31,$1.22,$1.27
20,2019-10-31,2019-09-30,$1.59,$1.68
21,2019-08-01,2019-06-30,$1.09,$1.56
22,2019-05-02,2019-03-31,$0.39,$0.57
23,2019-02-28,2018-12-31,$1.02,$1.03
24,2018-11-01,2018-09-30,$1.20,$1.29
25,2018-08-02,2018-06-30,$1.00,$1.01
26,2018-04-30,2018-03-31,$0.19,$0.32
27,2018-02-27,2017-12-31,$0.33,$0.41
28,2017-11-02,2017-09-30,$0.70,$0.78
29,2017-08-03,2017-06-30,$0.62,$0.99
30,2017-05-04,2017-03-31,$0.47,$0.56
31,2017-02-23,2016-12-31,$0.50,$0.68
32,2016-11-03,2016-09-30,$0.67,$0.78
33,2016-08-04,2016-06-30,$0.20,$0.33
34,2016-05-05,2016-03-31,$-0.04,$0.00
35,2016-02-25,2015-12-31,$0.11,$0.18
36,2015-11-03,2015-09-30,$0.31,$0.24
37,2015-08-17,2015-06-30,$0.08,$0.08
38,2015-05-11,2015-03-31,$0.14,$0.05
39,2015-02-26,2014-12-31,$0.35,$0.37
