Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,205.06700,139.93700,65.13000,47.68600,-22.20800,69.89400,-4.76400,-8.09100,-12.85500,-1.97700,-10.87800,-10.87800,,-10.87800,5.97500,-4.76400,37.22000,37.22000,-0.29000,-0.29000,1.79510,0.57700,1.43750,31.76040,-2.32310,-2.32310,-6.26870,-5.30460,0.22660,1.33140,1.56280,57.58910,-3.94650,6.20440,-1.20200,-1.66930,7.40310,0.4678,0.275
2024-06-30,220.23600,144.71900,75.51700,51.66100,-0.12800,51.78900,23.72800,-9.00600,14.72200,4.44300,10.27900,10.27900,,10.27900,35.68100,23.72800,37.18000,37.31200,0.28000,0.28000,1.80570,0.56890,1.38840,34.28910,10.77390,10.77390,6.68460,4.66730,0.23140,1.36790,1.58040,56.94860,3.48970,-5.70630,1.08010,1.50430,7.91890,0.3818,0.2644
2024-03-31,207.10200,142.83300,64.26900,53.45700,0.06700,53.39000,10.87900,-6.07900,4.80000,1.29700,3.50300,3.50300,,3.50300,22.72200,10.87900,36.90800,37.12300,0.09000,0.09000,1.74910,0.57180,1.40470,31.03250,5.25300,5.25300,2.31770,1.69140,0.21870,1.35990,1.48730,60.51320,1.20110,-1.86910,0.36990,0.51430,7.85510,0.54600,0.39430
2023-12-31,191.07700,133.84500,57.23200,38.74600,0.11700,38.62900,18.60300,-1.37400,17.22900,4.69000,12.53900,12.53900,,12.53900,24.56400,18.60300,36.74500,37.09600,0.34000,0.34000,1.55430,0.12180,0.22950,29.95230,9.73590,9.73580,9.01680,6.56230,0.35280,1.47340,1.48540,60.58800,4.28240,8.23420,2.31500,3.76090,7.94620,0.4091,0.3179
2023-09-30,197.79800,135.41900,62.37900,43.69800,0.02200,43.67600,18.70300,-1.53900,17.16400,4.41700,12.74700,12.74700,,12.74700,24.39000,18.70300,36.81100,36.98000,0.35000,0.34000,1.50970,0.13160,0.24570,31.53670,9.45560,9.45560,8.67750,6.44450,0.37240,1.40720,1.68540,53.40080,4.51670,9.08510,2.40000,3.92250,7.66490,0.5954,0.4861
2023-06-30,208.45300,140.04300,68.41000,52.35100,0.08300,52.26800,16.14200,-1.79000,14.35200,3.74700,10.60500,10.60500,,10.60500,21.89700,16.14200,36.76200,36.89200,0.29000,0.29000,1.56180,0.18340,0.32120,32.81800,7.74370,7.74370,6.88500,5.08750,0.38410,1.42550,1.78390,50.45070,3.86450,8.12070,1.95410,3.15580,7.45870,0.618,0.4554
2023-03-31,215.73900,144.67400,71.06500,52.08100,-0.02700,52.10800,18.95700,-1.64600,17.31100,4.33500,12.97600,12.97600,,12.97600,24.65300,18.95700,36.56500,36.81600,0.35000,0.35000,1.52260,0.21250,0.36980,32.94030,8.78700,8.78700,8.02400,6.01470,0.38790,1.41640,1.65170,54.48920,4.89200,10.81470,2.33300,3.85250,7.22410,0.70040,0.45440
2022-12-31,212.84000,147.76600,65.07400,47.42300,-0.62900,48.05200,17.02200,-1.65400,15.36800,1.94000,13.42800,13.42800,,13.42800,22.71600,17.02200,36.41100,36.79100,0.38000,0.37000,1.86700,0.28630,0.40320,30.57410,7.99760,7.99760,7.22040,6.30900,0.39220,1.58290,1.59170,56.54220,5.23660,12.26100,2.47460,3.73720,7.02540,0.5915,0.4112
2022-09-30,228.06500,156.41700,71.64800,51.75600,0.00500,51.75100,19.89700,-1.71900,18.17800,4.50700,13.67100,13.67100,,13.67100,25.17700,19.89700,36.47200,36.71700,0.37000,0.37000,1.74730,0.30400,0.43890,31.41560,8.72430,8.72430,7.97050,5.99430,0.41490,1.44620,1.77020,50.84300,5.58050,14.19830,2.48690,3.88390,6.71500,0.4459,0.2655
2022-06-30,233.15600,158.44000,74.71600,52.32000,0.22100,52.09900,22.61700,-1.21100,21.40600,5.57500,15.83100,15.83100,,15.83100,27.97900,22.61700,36.39800,36.62300,0.43000,0.43000,1.71590,0.32290,0.47900,32.04550,9.70040,9.70040,9.18100,6.78990,0.42090,1.45490,1.76630,50.95380,6.67250,18.39020,2.85750,4.51810,6.50770,0.7368,0.5881
