Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.03100,5.84300,-2.81200,4.74900,6.59800,0.02000,11.32700,-14.13900,0.40600,-13.73300,-0.09400,-13.63900,-13.63900,-13.63900,-11.24500,-14.13900,58.62400,58.62400,-0.23000,-0.23000,4.63920,,0.02080,-92.77470,-466.47970,-466.47970,-453.08480,-449.98350,0.01650,5.66180,2.03150,44.30220,-8.32220,-14.94870,-7.41490,-8.32220,2.80040,-0.1354,-0.1477
2024-06-30,2.69900,5.55200,-2.85300,4.81200,6.75000,-0.09200,11.65400,-14.50700,0.85600,-13.65100,-0.07600,-13.57500,-13.57500,-13.57500,-11.72800,-14.50700,58.00500,58.00500,-0.23000,-0.23000,5.15820,,0.01850,-105.70580,-537.49540,-537.49540,-505.77990,-502.96410,0.01380,5.80150,1.78980,50.28530,-7.75120,-13.59760,-6.93590,-7.75120,2.99390,-0.1461,-0.1608
2024-03-31,2.55300,4.60700,-2.05400,5.22000,5.84200,-0.00900,11.07100,-13.12500,0.79000,-12.33500,-0.09400,-12.24100,-12.24100,-12.24100,-10.11300,-13.12500,57.90100,57.90100,-0.21000,-0.21000,5.80740,,0.01810,-80.45440,-514.10110,-514.10110,-483.15710,-479.47510,0.01240,1.56060,1.77050,50.83430,-6.61820,-11.43940,-5.94580,-6.61820,3.20120,-0.16310,-0.16560
2023-12-31,2.39700,4.11300,-1.71600,6.81200,4.82500,2.66600,8.97100,-10.68700,0.36000,-10.32700,-0.07900,-10.24800,-10.24800,-10.24800,-7.57100,-10.68700,56.36800,56.36800,-0.19000,-0.19000,5.70950,,0.01790,-71.58950,-445.84880,-445.84890,-430.83040,-427.53450,0.01100,1.74580,1.61520,55.71970,-5.24160,-8.91850,-4.68700,-5.24160,3.38380,-0.2298,-0.2399
2023-09-30,2.47900,4.14100,-1.66200,6.03800,6.19300,-0.68000,20.33100,-21.99300,0.51100,-21.48200,-0.07900,-21.40300,-21.40300,-21.40300,-11.48600,-21.99300,57.14800,57.14800,-0.37000,-0.37000,4.87130,0.01630,0.01660,-67.04320,-887.17220,-887.17220,-866.55910,-863.37230,0.01070,,2.13160,42.22270,-10.59390,-18.02040,-9.25290,-10.42130,3.50040,-0.1892,-0.2045
2023-06-30,2.58200,4.27300,-1.69100,6.91300,8.46100,-0.76600,16.14000,-17.83100,0.38000,-17.45100,-0.08700,-17.36400,-17.36400,-17.36400,-14.72100,-17.83100,55.37500,55.37500,-0.31000,-0.31000,3.30810,0.01740,0.01770,-65.49190,-690.58870,-690.58870,-675.87140,-672.50200,0.01150,,1.80430,49.87990,-8.97200,-17.32900,-7.72130,-8.81590,3.48340,-0.1819,-0.188
2023-03-31,2.44700,3.97000,-1.52300,6.28600,8.96100,4.69200,10.55500,-12.07800,0.22300,-11.85500,-0.09400,-11.76100,-11.76100,-11.76100,-8.84600,-12.07800,55.15700,55.15700,-0.21000,-0.21000,3.38710,0.01640,0.01670,-62.23950,-493.58390,-493.58390,-484.47080,-480.62930,0.01020,,1.87080,48.10790,-5.68910,-10.62000,-4.92160,-5.59570,3.74850,-0.19350,-0.22060
2022-12-31,2.13200,3.87900,-1.74700,7.09500,9.67900,1.30500,52.00900,-53.75600,-0.11300,-53.86900,-1.03200,-52.83700,-52.83700,-52.83700,-13.98300,-53.75600,52.23500,52.23500,-1.01000,-1.01000,3.28870,0.01580,0.01610,-81.94180,-2521.38900,-2521.38800,-2526.68800,-2478.28300,0.00840,,2.18220,41.24300,-24.38480,-44.76160,-20.80750,-23.99930,3.93290,-0.2805,-0.2765
2022-09-30,2.43800,3.89700,-1.45900,6.08900,11.32800,-0.95300,18.37000,-19.82900,0.30500,-19.52400,-0.39800,-19.12600,-19.12600,-19.12600,-16.64900,-19.82900,52.27600,52.27600,-0.37000,-0.37000,2.07860,0.01390,0.01460,-59.84410,-813.33060,-813.33060,-800.82040,-784.49550,0.00800,,2.17480,41.38230,-7.71730,-17.38660,-6.25670,-7.61040,4.74170,-0.1457,-0.1767
2022-06-30,2.20000,3.95500,-1.75500,6.49300,12.22800,12.63100,20.42800,-22.18300,0.47100,-21.71200,-2.09800,-19.61400,-19.61400,-19.61400,-4.63200,-22.18300,52.19200,52.19200,-0.38000,-0.38000,2.21030,0.01310,0.01380,-79.77270,-1008.31800,-1008.31800,-986.90910,-891.54550,0.00690,,1.82880,49.21360,-7.47840,-16.10410,-6.17330,-7.38040,5.02300,-0.1942,-0.2313
2022-03-31,1.80800,3.72700,-1.91900,6.83000,12.39500,-0.79800,20.02300,-21.94200,0.12600,-21.81600,-0.15000,-21.66600,-21.66600,-21.66600,-18.65800,-21.94200,52.12400,52.12400,-0.41000,-0.41000,1.53020,0.01320,0.01390,-106.13940,-1213.60600,-1213.60600,-1206.63700,-1198.34100,0.00520,,1.65870,54.25890,-7.82170,-18.12660,-6.24010,-7.71810,5.31870,-0.21020,-0.28340
