,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-14,2024-09-30,--,$-0.23
1,2024-09-27,2024-06-30,--,$-0.19
2,2024-05-15,2024-03-31,--,$-0.16
3,2024-02-14,2023-12-31,--,$-0.18
4,2023-11-14,2023-09-30,--,$-0.17
5,2023-10-13,2023-06-30,--,$-0.31
6,2023-05-15,2023-03-31,--,$-0.15
7,2023-02-14,2022-12-31,--,$-0.15
8,2022-11-14,2022-09-30,--,$-0.14
9,2022-10-13,2022-06-30,--,$-0.15
10,2022-05-17,2022-03-31,--,$-0.16
11,2022-02-14,2021-12-31,--,$-0.17
12,2021-11-15,2021-09-30,--,$-0.23
13,2021-10-12,2021-06-30,--,$-0.18
14,2021-05-14,2021-03-31,--,$-0.19
15,2021-02-16,2020-12-31,--,$-0.22
16,2020-11-16,2020-09-30,--,$-0.22
17,2020-06-22,2020-03-31,--,$-0.30
18,2020-02-14,2019-12-31,--,$-0.50
19,2019-11-15,2019-09-30,--,$-0.41
20,2019-08-23,2019-06-30,--,$-0.60
21,2019-05-15,2019-03-31,$-0.60,$-0.60
22,2019-02-19,2018-12-31,$-0.60,$-0.60
23,2018-11-26,2018-09-30,--,$-0.60
24,2018-10-12,2018-06-30,--,$-0.40
25,2018-05-21,2018-03-31,--,$-0.60
26,2018-02-21,2017-12-31,--,$-0.40
27,2017-11-14,2017-09-30,--,$-0.60
28,2017-05-15,2017-03-31,--,$-1.00
29,2017-02-14,2016-12-31,--,$-0.80
30,2016-11-15,2016-09-30,--,$-1.00
31,2016-09-16,2016-06-30,--,$-0.60
32,2016-05-11,2016-03-31,--,$-1.80
33,2016-02-09,2015-12-31,--,$-1.00
34,2015-11-09,2015-09-30,--,$-0.40
35,2015-09-14,2015-06-30,--,$-1.00
36,2015-05-18,2015-03-31,--,$-0.40
37,2015-02-25,2014-12-31,--,$-0.80
