Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,97.42400,,97.42400,63.86500,0.75600,,34.31500,0.16700,34.48200,12.68800,21.79400,,19.63000,19.15200,34.31500,34.31500,70.33500,70.39700,0.27000,0.27000,4.43480,,,100.00000,35.22230,35.22230,35.39370,19.65840,0.05930,,1.48600,60.56410,,1.40520,1.19570,1.40520,21.22180,0.2582,0.3259
2024-06-30,84.74400,,84.74400,60.38200,-5.92200,,18.44000,8.48100,26.92100,5.54000,21.38100,,14.26700,13.73000,18.44000,18.44000,70.23000,70.42900,0.20000,0.20000,2.98820,,,100.00000,21.75970,21.75970,31.76740,16.20170,0.04940,,1.43420,62.75490,1.06550,1.06550,0.83160,1.06550,20.34680,-0.2582,-0.3259
2024-03-31,89.96000,,89.96000,72.32900,-0.80600,,16.82500,7.66000,24.48500,5.91200,18.57300,,18.26200,18.21000,16.82500,16.82500,69.78200,69.78900,0.26000,0.26000,4.11680,,,100.00000,18.70280,18.70280,27.21770,20.24230,0.05100,,1.49280,60.28980,,1.24020,1.03470,1.24020,22.41680,0.00000,
2023-12-31,114.39200,,114.39200,79.85600,-2.80500,,31.73100,-3.46000,28.27100,4.99100,23.28000,,30.68900,31.14800,31.73100,31.73100,694.74000,694.84600,-1.39500,-1.39500,3.76320,,,100.00000,27.73880,27.73880,24.71420,27.22920,0.06400,,1.61150,55.84800,2.08950,2.08950,1.71760,2.08950,2.25050,0.2672,0.2352
2023-09-30,102.79000,,102.79000,80.58000,11.90200,,34.11200,7.61300,41.72500,9.38900,32.33600,,31.80200,31.97800,34.11200,34.11200,69.47200,69.48500,0.46000,0.46000,3.48460,,,100.00000,33.18610,33.18610,40.59250,31.11000,0.05940,,1.68380,53.44930,,2.25200,1.83730,2.25200,22.36050,-1.432,-1.2265
2023-06-30,129.87300,,129.87300,77.37800,-4.30900,,48.18600,7.10700,55.29300,12.44100,42.85200,,43.06700,43.49900,48.18600,48.18600,69.46900,69.49300,0.63000,0.63000,3.21020,,,100.00000,37.10240,37.10240,42.57470,33.49350,0.07500,,1.76070,51.11730,3.10130,3.10130,2.48570,3.10130,21.99420,1.432,1.2265
2023-03-31,116.99400,,116.99400,74.62100,-1.76300,,40.61000,4.42100,45.03100,10.13200,34.89900,,35.43300,35.56000,40.61000,40.61000,69.46700,69.51700,0.51000,0.51000,3.16800,,,100.00000,34.71120,34.71120,38.49000,30.39470,0.06600,,2.20800,40.76060,,2.50320,1.99770,2.50320,22.60960,0.00000,
2022-12-31,117.57100,,117.57100,82.45600,-7.63100,,27.48400,-5.04000,22.44400,7.67800,14.76600,,15.77300,15.69000,27.48400,27.48400,68.33200,68.39600,0.21000,0.22000,3.31620,,,100.00000,23.37650,23.37650,19.08980,13.34510,0.06870,,1.62800,55.28330,1.14510,1.14510,0.92210,1.14510,22.00240,1.3417,1.2087
2022-09-30,96.22100,,96.22100,66.99000,3.35100,,32.58200,2.76600,35.34800,7.18000,28.16800,,25.01800,25.64300,32.58200,32.58200,69.21300,69.25600,0.37000,0.37000,3.68270,,,100.00000,33.86160,33.86160,36.73630,26.65010,0.05980,,1.60330,56.13300,,1.89300,1.55480,1.89300,21.12600,0,0
2022-06-30,110.20100,,110.20100,69.23800,7.28000,,48.24300,5.18100,53.42400,11.67000,41.75400,,52.08600,52.10300,48.24300,48.24300,67.24600,67.31100,0.77000,0.77000,3.24920,,,100.00000,43.77730,43.77730,48.47870,47.28000,0.06700,,1.43230,62.83690,,3.92960,3.16730,3.92960,22.00980,-1.1716,-1.1619
2022-03-31,125.51800,,125.51800,75.09000,-0.92800,,49.50000,5.95100,55.45100,12.19900,43.25200,,47.98800,48.15100,55.86600,49.50000,67.23500,67.48100,0.72000,0.71000,2.62890,,,100.00000,39.43660,39.43660,44.17770,38.36180,0.07220,,2.00690,44.84580,,3.60270,2.75850,3.60270,22.13610,1.17160,1.16190
2021-12-31,206.38700,,206.38700,165.40900,-16.98600,,23.99200,2.86500,26.85700,6.34600,20.51100,,46.01900,47.18300,23.99200,23.99200,67.17160,67.56360,0.70000,0.69000,2.41640,,,100.00000,11.62480,11.62480,13.01290,22.86140,0.12080,,1.62770,55.29290,3.60200,3.60200,2.69300,3.60200,21.23710,3.5346,-1.6503
2021-09-30,141.06300,,141.06300,101.07200,-4.47100,,35.52000,5.89800,41.41800,9.31900,32.09900,,42.11500,42.40100,35.52000,35.52000,67.25400,67.64100,0.63000,0.63000,2.87740,,,100.00000,25.18020,25.18020,29.36140,30.05820,0.09000,,1.80300,49.91620,,3.43650,2.68600,3.43650,20.38070,0,0
2021-06-30,139.29900,,139.29900,88.76800,1.41100,,51.94200,-1.87500,50.06700,10.64300,39.42400,,47.69800,47.32300,51.94200,51.94200,66.99310,67.44920,0.71000,0.70000,2.76250,,,100.00000,37.28810,37.28810,35.94210,33.97230,0.09180,,1.91250,47.05810,,4.05740,3.14340,4.05740,19.56700,0,0
2021-03-31,186.93100,,186.93100,113.84200,3.59000,,76.67900,8.67000,85.34900,19.81800,65.53100,,69.12000,69.30800,76.67900,76.67900,67.09180,67.57200,1.03000,1.03000,3.16970,,,100.00000,41.02000,41.02000,45.65800,37.07680,0.12760,,2.75580,32.65850,,6.27650,4.71890,6.27650,17.97650,0.00000,
