,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-31,2024-09-30,$2.33,$2.19
1,2024-08-01,2024-06-30,$2.85,$2.46
2,2024-05-02,2024-03-31,$1.82,$2.37
3,2024-02-15,2023-12-31,$3.04,$2.98
4,2023-11-02,2023-09-30,$2.33,$2.37
5,2023-08-03,2023-06-30,$2.58,$2.56
6,2023-05-02,2023-03-31,$1.84,$1.78
7,2023-02-09,2022-12-31,$2.13,$2.53
8,2022-11-03,2022-09-30,$1.91,$1.99
9,2022-08-04,2022-06-30,$2.02,$2.78
10,2022-05-05,2022-03-31,$1.60,$1.81
11,2022-02-10,2021-12-31,$1.98,$2.03
12,2021-11-04,2021-09-30,$1.68,$1.87
13,2021-08-05,2021-06-30,$1.88,$1.91
14,2021-05-06,2021-03-31,$1.44,$1.30
15,2021-02-11,2020-12-31,$1.50,$1.76
16,2020-11-03,2020-09-30,$1.13,$1.38
17,2020-08-06,2020-06-30,$1.00,$1.75
18,2020-05-07,2020-03-31,$1.14,$1.30
19,2020-02-12,2019-12-31,$1.61,$1.57
20,2019-11-06,2019-09-30,$1.07,$1.10
21,2019-08-06,2019-06-30,$1.39,$1.49
22,2019-05-01,2019-03-31,$0.90,$1.10
23,2019-02-14,2018-12-31,$1.12,$1.32
24,2018-11-07,2018-09-30,$1.00,$0.91
25,2018-08-01,2018-06-30,$1.26,$1.45
26,2018-05-02,2018-03-31,$0.60,$0.94
27,2018-02-14,2017-12-31,$0.79,$0.81
28,2017-11-07,2017-09-30,$0.68,$0.73
29,2017-08-02,2017-06-30,$0.95,$1.14
30,2017-05-03,2017-03-31,$0.29,$0.56
31,2017-02-08,2016-12-31,$0.68,$0.72
32,2016-10-27,2016-09-30,$0.53,$0.62
33,2016-08-03,2016-06-30,$0.75,$0.97
34,2016-04-28,2016-03-31,$0.28,$0.21
35,2016-02-10,2015-12-31,$0.60,$0.57
36,2015-10-28,2015-09-30,$0.46,$0.59
37,2015-07-29,2015-06-30,$0.72,$0.68
38,2015-05-06,2015-03-31,$0.27,$0.29
39,2015-02-11,2014-12-31,$0.58,$0.55
