Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,80.86400,29.39300,51.47100,5.11400,-11.49200,16.60600,34.86500,-8.33100,26.53400,-14.87300,41.40700,41.40700,30.95200,42.50100,34.86500,86.86100,86.86100,0.36000,0.36000,0.52940,5.55410,43.11560,43.11560,32.81310,38.27660,0.00620,2.96760,-2.21160,0.31720,1.00620,22.29750,-11.3261,-11.3206
2024-06-30,71.19800,27.39700,43.80100,4.69600,-4.42700,9.12300,34.67800,-6.06900,28.60900,3.17500,25.43400,25.43400,14.98000,39.60000,34.67800,86.84900,86.84900,0.17000,0.17000,0.52170,5.02590,48.70640,48.70640,40.18230,21.03990,0.00590,1.81880,-1.27040,0.21050,0.62720,22.33300,1.949,1.956
2024-03-31,74.20500,27.45000,46.75500,4.60600,-4.01600,8.62200,38.13300,-5.75200,32.38100,-15.22700,47.60800,47.60800,37.15300,42.31700,38.13300,86.68900,111.01700,0.43000,0.39000,0.49700,5.07100,51.38870,51.38870,43.63720,50.06810,0.00600,3.35880,-2.38900,0.38730,1.22250,22.55640,-3.08400,-3.08350
2023-12-31,820.74100,27.57600,793.16500,5.47000,-4.93100,10.40100,782.76400,-742.44310,40.32100,-12.59000,52.91100,52.91100,42.45600,786.75800,782.76400,87.37200,111.70000,0.49000,0.46000,0.49740,5.35100,95.37280,95.37280,4.91280,5.17290,0.06260,3.73770,-2.69680,0.40350,1.35870,22.59290,4.732,4.7396
2023-09-30,163.42900,27.43200,135.99700,4.56100,-5.53100,10.09200,125.90500,-7.48500,118.42000,56.99800,61.42200,61.42200,50.96700,129.58900,125.90500,86.76000,111.08800,0.59000,0.51000,0.49400,5.51500,77.03960,77.03960,72.45960,31.18600,0.01240,4.36360,-2.84420,0.46450,1.59460,21.95900,-1.2539,-1.2496
2023-06-30,90.45200,27.39500,63.05700,4.28400,-5.44100,9.72500,53.33200,-6.47900,46.85300,22.22900,24.62400,24.62400,14.17000,57.03300,53.33200,87.26900,87.26900,0.16000,0.16000,0.50160,5.70370,58.96170,58.96170,51.79870,15.66580,0.00680,1.77150,-1.20330,0.18400,0.63540,22.26250,19.7752,19.7984
2023-03-31,90.36600,27.70600,62.66000,4.17800,-11.92300,16.10100,46.55900,-7.75800,38.80100,-21.89600,60.69700,60.69700,50.24200,50.32100,46.55900,88.83100,113.38800,0.56000,0.50000,0.49900,6.52930,51.52270,51.52270,42.93760,55.59840,0.00590,4.24680,-3.02830,0.39520,1.54320,22.29690,-11.25530,-11.24860
2022-12-31,459.78700,27.55200,432.23500,5.28400,-12.18400,17.46800,414.76700,-420.24900,-5.48200,-10.14500,4.66300,4.66300,-6.19900,419.47500,414.76700,91.43400,91.43400,-0.07000,-0.07000,0.49980,5.79870,90.20850,90.20850,-1.19230,-1.34820,0.03300,0.32810,-0.22750,0.03350,0.11880,22.08160,5.4372,5.4406
2022-09-30,151.06500,27.97800,123.08700,6.74800,-18.40700,25.15500,97.93200,-7.55300,90.37900,78.46600,11.91300,11.91300,1.45800,101.67200,97.93200,90.59400,90.59400,0.01000,0.01000,0.49620,5.56480,64.82770,64.82770,59.82790,0.96510,0.01080,0.80720,-0.61940,0.08540,0.29750,22.39140,-4.1623,-4.1202
2022-06-30,21.50000,28.24500,-6.74500,3.82200,-20.64600,24.46800,-31.21300,-8.65500,-39.86800,30.86600,-70.73400,-70.73400,-81.18900,-27.23800,-31.21300,91.96300,91.96300,-0.88000,-0.88000,0.51200,5.10030,-145.17670,-145.17670,-185.43260,-377.62330,0.00160,-4.62570,4.35290,-0.53520,-1.66690,22.73410,-0.315,-0.3037
2022-03-31,81.83900,29.20500,52.63400,7.85700,-16.75400,24.61100,28.02300,-9.96500,18.05800,37.18700,-19.12900,-19.12900,-29.58400,32.16300,28.02300,94.14600,94.14600,-0.32000,-0.32000,0.51110,4.40490,34.24160,34.24160,22.06530,-36.14900,0.00660,-1.13830,1.63600,-0.15440,-0.42090,23.89000,18.55660,18.58730
2021-12-31,123.21800,29.76600,93.45200,9.19600,-20.15000,29.34600,64.10600,-83.61400,-19.50800,-2.62200,-16.88600,-16.88600,-27.45700,70.03400,64.10600,97.40200,97.40200,-0.28000,-0.28000,0.46070,4.71650,52.02650,52.02650,-15.83210,-22.28330,0.00890,-0.92470,3.21430,-0.12260,-0.38470,24.94830,-1.1046,-1.13
2021-09-30,123.34300,29.22300,94.12000,2.87200,-43.92200,46.79400,47.32600,-87.98200,-40.65600,-4.70100,-35.95500,-35.95500,-44.00400,53.23600,47.32600,97.50100,97.50100,-0.45000,-0.45000,0.35890,4.45530,38.36940,38.36940,-32.96170,-35.67610,0.00890,-1.85540,10.38640,-0.25930,-0.92980,25.55820,1.4149,1.4647
2021-06-30,200.76800,31.92800,168.84000,5.81700,-54.02000,59.83700,109.00300,-95.20600,13.79700,-24.29500,38.09200,38.09200,31.85700,116.93700,109.00300,97.92700,98.03400,0.32000,0.32000,0.25890,4.63840,54.29300,54.29300,6.87210,15.86760,0.01480,1.86390,-18.31500,0.28010,1.20460,23.93390,-10.2055,-10.1778
2021-03-31,277.70500,27.54200,250.16300,6.35000,-60.83500,67.18500,182.97800,-91.95000,91.02800,19.42500,71.60300,71.60300,65.24900,190.36200,182.97800,97.89200,98.10300,0.67000,0.67000,0.20160,4.09530,65.88930,65.88930,32.77870,23.49580,0.02220,3.48020,-85.16910,0.57180,2.42520,24.06770,-19.05400,-18.93060
2020-12-31,266.17100,27.06200,239.10900,5.44700,-72.60600,78.05300,161.05600,-87.16100,73.89500,-8.98400,82.87900,82.87900,76.53900,167.80900,161.05600,99.37300,99.37300,0.73000,0.81000,0.13170,3.77200,60.50850,60.50850,27.76220,28.75560,0.02320,4.14990,15.30200,0.72120,3.13310,23.47020,0.1947,-0.1694
2020-09-30,280.03000,27.26000,252.77000,3.66800,-54.83900,58.50700,194.26300,-72.06600,122.19700,22.65000,99.54700,99.54700,93.13100,199.47200,194.26300,99.22700,99.42400,0.94000,0.94000,0.16530,3.32310,69.37220,69.37220,43.63710,33.25750,0.02680,5.02370,11.14920,0.95210,3.64250,23.09230,-19.1065,-18.9991
2020-06-30,619.36900,23.82100,595.54800,4.59700,-52.81500,57.41200,538.13600,-70.07300,468.06300,3.44300,464.62000,464.62000,458.38500,542.03400,538.13600,99.68900,101.59200,4.59000,4.51000,0.18300,2.85570,86.88460,86.88460,75.57090,74.00840,0.06820,24.00430,44.43270,5.11490,16.98240,22.51600,8.6599,8.7575
2020-03-31,-425.44900,23.57600,-449.02500,3.67300,-41.94000,45.61300,-494.63800,-89.78700,-584.42500,10.24800,-594.67300,-594.67300,-600.90700,-491.51100,-494.63800,100.24500,100.24500,-5.99000,-5.99000,0.27080,4.98670,116.26260,116.26260,137.36660,141.24070,-0.03570,-39.02920,-89.28460,-4.98950,-23.78260,18.26270,17.01080,17.16990
2019-12-31,247.61800,24.00900,223.60900,4.30700,-58.29700,62.60400,161.00500,-101.73400,59.27100,0.67400,58.59700,58.59700,51.79500,164.04300,161.00510,78.99000,87.71100,0.54000,0.53000,0.21890,3.72900,65.02150,65.02160,23.93650,20.91730,0.02100,2.72390,6.40260,0.49780,1.86750,24.46460,-8.9173,-8.7246
2019-09-30,214.98900,23.06200,191.92700,4.70700,-45.14900,49.85600,142.07100,-93.93800,48.13300,-21.86700,70.00000,70.00000,63.76600,143.66300,142.07100,84.36700,92.83400,0.75000,0.71000,0.18700,3.75510,66.08290,66.08290,22.38860,29.66010,0.02000,3.64600,6.62320,0.65150,2.56400,24.56820,-13.942,-13.6605
2019-06-30,162.29700,20.40000,141.89700,4.50400,-29.59000,34.09400,107.80300,-74.43300,33.37000,-10.86300,44.23300,44.23300,37.99900,108.10600,107.80300,73.42500,81.89200,0.52000,0.50000,0.21070,3.79250,66.42330,66.42330,20.56110,23.41330,0.01710,2.69020,5.41070,0.46730,1.79590,24.72980,-13.1487,-12.9985
2019-03-31,161.35700,17.81800,143.53900,4.03200,-27.57400,31.60600,111.93300,-62.06600,49.86700,-3.66000,53.52700,53.52700,47.29300,107.03400,111.93300,64.62900,73.37100,0.73000,0.68000,0.25690,3.26600,69.36980,69.36980,30.90480,29.30950,0.02140,3.74870,9.37950,0.70840,2.30230,25.25270,1.97490,2.20530
2018-12-31,137.58300,18.08300,119.50000,3.86200,-28.59100,32.45300,87.04700,-60.84500,26.20200,-15.42300,41.62500,41.62500,35.24800,80.91700,87.04700,60.89800,69.36500,0.58000,0.55000,0.31000,3.86760,63.26870,63.26870,19.04450,25.61940,0.01760,3.28680,10.30930,0.53270,1.83400,25.69490,3.2738,3.4844
2018-09-30,155.11000,16.55300,138.55700,4.54000,-26.25600,30.79600,107.76100,-56.09900,51.66200,5.10000,46.56200,46.56200,40.09100,105.29500,107.76100,60.95000,69.41700,0.66000,0.62000,0.26350,3.54860,69.47390,69.47390,33.30670,25.84680,0.02130,3.69880,10.37430,0.64070,2.20020,25.57080,-3.0218,-2.7205
2018-06-30,123.05600,15.15900,107.89700,3.97700,-14.55900,18.53600,89.36100,-47.07500,42.28600,5.86100,36.42500,36.42500,30.02100,88.39800,89.36100,60.90300,69.37000,0.49000,0.47000,0.28740,3.22690,72.61820,72.61820,34.36320,24.39620,0.01840,2.92390,6.80870,0.54550,1.67960,25.35620,-10.2764,-9.8226
2018-03-31,110.48900,16.71500,93.77400,2.58700,-11.94400,14.53100,79.24300,-41.40500,37.83800,9.65200,28.18600,28.18600,21.75000,79.47900,79.24300,60.76100,69.87500,0.36000,0.35000,0.26090,2.65560,71.72030,71.72030,34.24590,19.68520,0.01910,2.26840,4.81610,0.48680,1.35070,25.33150,1.75290,2.21720
2017-12-31,129.19200,16.97700,112.21500,5.69600,-19.17500,24.87100,87.34400,-41.39800,45.94600,5.10900,40.83700,40.83700,33.61100,194.35700,87.34400,66.14400,74.61100,0.52000,0.50000,0.27950,2.54060,67.60790,67.60790,35.56410,26.01630,0.02300,3.28040,5.83550,0.72860,1.90500,25.18320,-1.2575,-1.1343
2017-09-30,116.08100,17.44000,98.64100,2.39800,-23.50700,25.90500,72.73600,-48.57000,24.16600,4.77100,19.39500,19.39500,13.27000,75.97500,72.73600,66.63600,66.63600,0.20000,0.20000,0.27450,2.50900,62.65970,62.65970,20.81820,11.43170,0.02010,1.47960,2.36460,0.33530,0.87370,24.44840,0.4305,1.1938
2017-06-30,122.38500,15.73700,106.64800,4.70600,-21.10700,25.81300,80.83500,-49.00900,31.82600,3.04600,28.78000,28.78000,26.44400,84.24300,80.83500,66.76100,75.22800,0.39000,0.38000,0.29690,3.03980,66.04980,66.04980,26.00480,21.60720,0.02040,1.97830,3.99700,0.47880,1.39080,21.76520,-1.4412,-0.9314
2017-03-31,101.65300,15.49400,86.15900,3.34500,-16.57000,19.91500,66.24400,-43.63600,22.60800,-6.12900,28.73700,28.73700,28.16600,69.84000,66.24400,66.71900,75.18600,0.42000,0.40000,0.31140,3.02350,65.16680,65.16680,22.24040,27.70800,0.01690,1.97030,3.77310,0.47870,1.35660,21.86430,5.25870,6.09960
2016-12-31,109.76900,16.77700,92.99200,3.36000,-27.16400,30.52400,62.46800,-48.60400,13.86400,-17.30900,31.17300,31.17300,31.17300,65.82200,62.46800,68.64200,77.10900,0.45000,0.47000,0.31660,3.57850,56.90860,56.90860,12.63020,28.39870,0.01730,2.30720,4.48830,0.49030,1.57680,20.25750,2.3117,2.9916
2016-09-30,143.65600,16.06400,127.59200,2.64200,-27.25500,29.89700,97.69500,-52.68100,45.01400,9.60600,35.40800,35.40800,35.40800,101.02100,97.69500,67.55400,76.32900,0.52000,0.49000,0.34660,3.76840,68.00620,68.00620,31.33460,24.64780,0.02170,2.61330,4.26400,0.53500,1.70760,20.21180,-7.7665,-7.3835
2016-06-30,84.21100,21.62600,62.58500,4.23500,-19.11100,23.34600,39.23900,-47.39800,-8.15900,-2.89200,-5.26700,-5.26700,-5.26700,42.51000,39.23900,68.44600,68.44600,-0.08000,-0.08000,0.32920,3.12860,46.59610,46.59610,-9.68880,-6.25450,0.01460,-0.38700,-0.59220,-0.09130,-0.25960,20.09400,-2.0553,-0.9776
2016-03-31,84.22000,16.80500,67.41500,3.58200,-12.93500,16.51700,50.89800,-39.85400,11.04400,-3.45200,14.49600,14.49600,14.49600,54.09900,50.89800,71.88400,71.88400,0.20000,0.20000,0.31560,3.00710,60.43460,60.43460,13.11330,17.21210,0.01450,1.02480,1.51090,0.24910,0.70130,20.59350,-0.55050,0.35250
2015-12-31,82.03200,17.55100,64.48100,3.67600,-12.85500,16.53100,47.95000,-41.02100,6.92900,-8.78000,15.70900,15.70900,14.02000,51.04600,47.95000,74.44600,83.33600,0.22000,0.22000,0.31110,2.80100,58.45280,58.45280,8.44670,17.09090,0.01410,1.05000,1.51580,0.26960,0.72330,20.28160,-4.0494,-3.2549
2015-09-30,128.53400,17.47800,111.05600,3.30900,-17.55300,20.86200,90.19400,-45.08700,45.10700,6.29500,38.81200,38.81200,38.81200,93.28400,90.19400,74.68100,83.41100,0.51000,0.49000,0.24400,2.59470,70.17130,70.17130,35.09340,30.19590,0.02300,2.56280,3.55640,0.69400,1.93740,20.52300,13.5815,14.1424
2015-06-30,99.50400,17.91500,81.58900,3.05100,-15.33300,18.38400,63.20500,-38.11700,25.08800,-2.98300,28.07100,28.07100,28.07100,66.02500,63.20500,74.68300,83.48000,0.37000,0.36000,0.28400,2.85220,63.52010,63.52010,25.21310,28.21090,0.01490,1.84040,2.48290,0.42040,1.31770,20.38840,-9.8424,-9.1881
2015-03-31,63.40300,17.67300,45.73000,4.63600,-12.86600,17.50200,28.22800,-32.04800,-3.82000,-11.32800,7.50800,7.50800,7.50800,30.80900,28.22800,74.52800,74.95600,0.09000,0.09000,0.23890,2.62450,44.52160,44.52160,-6.02500,11.84170,0.01110,0.48690,0.63470,0.13090,0.37050,20.67650,-10.04760,-9.16740
2014-12-31,74.98900,19.85200,55.13700,3.69200,-11.88700,15.57900,39.55800,-27.61800,11.94000,-14.57100,26.51100,26.51100,25.41900,42.02300,39.55800,73.49500,82.21100,0.35000,0.35000,0.21420,2.00180,52.75170,52.75170,15.92240,33.89700,0.01530,1.67990,2.17230,0.54130,1.32000,21.18070,0.1762,0.9136
2014-09-30,128.55000,21.94800,106.60200,3.77000,-15.49700,19.26700,87.33500,-29.40400,57.93100,2.98200,54.94900,54.94900,54.64400,89.75400,87.33500,74.14000,82.83200,0.74000,0.69000,0.20790,1.78430,67.93860,67.93860,45.06500,42.50800,0.02790,3.46020,4.42350,1.19330,2.74080,21.41950,2.2087,2.786
2014-06-30,142.42100,23.09200,119.32900,4.57300,-12.43300,17.00600,102.32300,-29.01900,73.30400,-1.90700,75.21100,75.21100,74.77800,104.84200,102.32300,74.06500,82.75000,1.01000,0.93000,0.21040,1.97950,71.84550,71.84550,51.46990,52.50490,0.02920,4.76880,5.96120,1.54450,3.76550,21.27300,-8.2485,-7.6691
2014-03-31,96.37000,22.66500,73.70500,4.67300,-8.90200,13.57500,60.13000,-23.84100,36.28900,-1.58400,37.87300,37.87300,37.87300,62.49000,60.13000,71.52700,80.28900,0.52000,0.50000,0.21250,1.63350,62.39490,62.39490,37.65590,39.29960,0.02280,2.45410,5.31790,0.89590,1.93250,20.87490,1.41120,1.78910
