,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-21,2024-09-30,$0.38,$0.39
1,2024-07-22,2024-06-30,$0.34,$0.39
2,2024-04-22,2024-03-31,$0.35,$0.43
3,2024-01-22,2023-12-31,$0.35,$0.43
4,2023-10-23,2023-09-30,$0.47,$0.63
5,2023-07-24,2023-06-30,$0.55,$0.58
6,2023-04-24,2023-03-31,$0.72,$0.58
7,2023-01-23,2022-12-31,$0.93,$0.92
8,2022-10-24,2022-09-30,$0.85,$0.87
9,2022-07-25,2022-06-30,$0.73,$0.80
10,2022-04-25,2022-03-31,$0.72,$0.74
11,2022-01-24,2021-12-31,$0.74,$0.79
12,2021-10-25,2021-09-30,$0.69,$0.77
13,2021-07-26,2021-06-30,$0.68,$0.67
14,2021-04-26,2021-03-31,$0.56,$0.63
15,2021-01-25,2020-12-31,$0.48,$0.56
16,2020-10-26,2020-09-30,$0.32,$0.43
17,2020-07-27,2020-06-30,$0.28,$0.33
18,2020-04-20,2020-03-31,$0.46,$0.35
19,2020-01-27,2019-12-31,$0.56,$0.53
20,2019-10-21,2019-09-30,$0.38,$0.40
21,2019-07-22,2019-06-30,$0.57,$0.50
22,2019-04-22,2019-03-31,$0.55,$0.51
23,2019-01-28,2018-12-31,--,$0.47
24,2018-10-22,2018-09-30,--,$0.50
25,2018-07-23,2018-06-30,--,$0.54
26,2018-04-23,2018-03-31,--,$0.52
27,2018-01-22,2017-12-31,--,$0.43
28,2017-10-23,2017-09-30,--,$0.39
29,2017-08-04,2017-06-30,--,$0.62
