Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,16.83600,11.87500,4.96100,0.65300,4.72700,5.38000,-0.41900,-0.33800,-0.75700,-0.05200,-0.70500,-0.70500,,-0.70500,0.26200,-0.41900,10.49510,10.49510,-0.07000,-0.07000,1.59880,,0.25500,29.46660,-2.48870,-2.48870,-4.49630,-4.18750,0.23430,0.78910,1.57700,57.07060,-2.06530,-5.61840,-0.98110,-2.06530,3.25320,0.226,0.202
2024-04-30,16.11000,11.28600,4.82400,0.63700,4.60200,5.23900,-0.41500,-0.23000,-0.64500,3.64900,-4.29400,-4.29400,,-4.29400,0.24100,-0.41500,10.49560,10.49560,-0.41000,-0.41000,1.56950,,0.30220,29.94410,-2.57600,-2.57600,-4.00370,-26.65430,0.22120,0.68910,1.52670,58.94970,-12.40720,-34.08210,-5.89650,-12.40720,3.29740,0.0181,0.0021
2024-01-31,13.45800,10.15500,3.30300,0.76900,4.61900,5.38800,-2.08500,-0.10800,-2.19300,-0.83100,-1.36200,-1.36200,,-1.36200,-1.45000,-2.08500,10.41000,10.41060,-0.13000,-0.13000,2.90600,0.20740,0.33740,24.54300,-15.49260,-15.49260,-16.29510,-10.12040,0.17010,0.56510,1.62010,55.55280,-3.52350,-8.39550,-1.72120,-2.79260,3.68280,0.08070,0.06700
2023-10-31,15.87500,11.36800,4.50700,0.61800,4.99600,5.61400,-1.10700,-0.11100,-1.21800,-0.36600,-0.85200,-0.85200,,-0.85200,-0.46700,-1.10700,10.28350,10.28350,-0.09000,-0.09000,2.88070,0.21240,0.35570,28.39060,-6.97330,-6.97330,-7.67240,-5.36690,0.19290,0.60690,1.54470,58.26330,-2.14270,-5.03900,-1.03550,-1.68770,3.84430,0.1569,0.1399
2023-07-31,15.65200,11.82800,3.82400,0.69000,5.14400,5.83400,-2.01000,-0.11700,-2.12700,-0.48200,-1.64500,-1.64500,,-1.64500,-1.37700,-2.01000,10.29030,10.29030,-0.16000,-0.16000,2.89100,0.21890,0.36500,24.43140,-12.84180,-12.84180,-13.58930,-10.50980,0.20050,0.58540,1.68430,53.43530,-4.07140,-9.60420,-2.10750,-3.18000,3.92650,0.0347,-0.0636
2023-04-30,22.29800,16.17800,6.12000,0.88200,4.74900,5.63100,0.48900,-0.07200,0.41700,-0.16400,0.58100,0.58100,,0.58100,1.11500,0.48900,10.29090,10.32730,0.06000,0.06000,2.58170,0.22200,0.34330,27.44640,2.19300,2.19300,1.87010,2.60560,0.26510,0.79360,1.53850,58.49720,1.38980,3.20870,0.69070,1.08130,4.06270,0.1284,0.1128
2023-01-31,18.34300,13.25700,5.08600,0.96100,5.29400,6.25500,-1.16900,-0.15300,-1.32200,-0.16000,-1.16200,-1.16200,,-1.16200,-0.62600,-1.16900,10.22250,10.22250,-0.11000,-0.11000,2.49620,0.23410,0.36480,27.72720,-6.37300,-6.37300,-7.20710,-6.33480,0.21540,0.63320,1.31920,68.22490,-2.83430,-6.88630,-1.36480,-2.17070,3.98390,0.08700,-0.02360
2022-10-31,22.98900,15.85200,7.13700,0.81100,5.61000,6.42100,0.71600,-0.32200,0.39400,-0.05700,0.45100,0.45100,,0.45100,1.25700,0.71600,10.12030,10.24240,0.04000,0.04000,2.36730,0.23880,0.37160,31.04530,3.11450,3.11450,1.71390,1.96180,0.25670,0.75290,1.55210,57.98770,1.07720,2.60480,0.50350,0.81990,4.10760,0.2242,0.005
2022-07-31,23.84200,16.59400,7.24800,0.79100,5.36900,6.16000,1.08800,-0.17700,0.91100,0.14000,0.77100,0.77100,,0.77100,1.62400,1.08800,10.12720,10.23890,0.08000,0.08000,2.77400,0.25000,0.39210,30.40010,4.56340,4.56340,3.82100,3.23380,0.27340,0.86600,1.47530,61.00540,1.87000,4.63200,0.88420,1.40260,4.05960,0.2182,0.2024
2022-04-30,21.50500,15.42500,6.08000,0.85700,4.47700,5.33400,0.74600,-0.10700,0.63900,0.13600,0.50300,0.50300,,0.50300,1.18500,0.74600,10.10770,10.24360,0.05000,0.05000,2.84560,0.26310,0.41740,28.27250,3.46900,3.46900,2.97140,2.33900,0.30880,0.80470,1.46230,61.54570,1.25200,3.26840,0.72220,0.92260,3.97050,-0.2153,-0.2313
