,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-30,2024-09-30,$-0.04,$0.00
1,2024-07-31,2024-06-30,$-0.08,$-0.15
2,2024-04-29,2024-03-31,$-0.13,$-0.03
3,2024-02-19,2023-12-31,$-0.22,$-0.09
4,2023-10-30,2023-09-30,$-0.22,$-0.36
5,2023-07-31,2023-06-30,$-0.12,$-0.15
6,2023-05-01,2023-03-31,$-0.20,$-0.38
7,2023-02-21,2022-12-31,$-0.19,$-0.49
8,2022-11-02,2022-09-30,$-0.15,$-0.06
9,2022-08-01,2022-06-30,$-0.11,$-0.10
10,2022-05-02,2022-03-31,$-0.22,$-0.28
11,2022-02-22,2021-12-31,$-0.10,$-0.19
12,2021-11-01,2021-09-30,$-0.16,$-0.19
13,2021-08-02,2021-06-30,$-0.15,$-0.18
14,2021-05-03,2021-03-31,$-0.16,$-0.19
15,2021-02-22,2020-12-31,$-0.16,$-0.34
16,2020-11-02,2020-09-30,$-0.17,$-0.11
17,2020-07-29,2020-06-30,$-0.27,$0.00
18,2020-04-29,2020-03-31,$-0.30,$-0.30
19,2020-02-17,2019-12-31,$-0.31,$-0.43
20,2019-10-28,2019-09-30,$-0.40,$-0.38
21,2019-07-29,2019-06-30,$-0.33,$-0.34
22,2019-04-29,2019-03-31,$-0.29,$-0.30
23,2019-02-18,2018-12-31,$-0.24,$-0.34
24,2018-10-29,2018-09-30,$-0.09,$0.06
25,2018-07-30,2018-06-30,$-0.17,$-0.04
26,2018-04-30,2018-03-31,$-0.36,$-0.48
27,2018-02-20,2017-12-31,$-0.27,$-0.24
28,2017-11-01,2017-09-30,$-0.04,$0.16
29,2017-08-02,2017-06-30,$-0.11,$0.00
30,2017-05-03,2017-03-31,$-0.08,$0.01
31,2017-02-23,2016-12-31,$0.04,$0.63
32,2016-11-02,2016-09-30,$0.14,$0.25
33,2016-08-03,2016-06-30,$-0.01,$0.17
34,2016-05-04,2016-03-31,$0.26,$0.69
35,2016-02-24,2015-12-31,$0.73,$1.68
36,2015-11-04,2015-09-30,$0.67,$0.87
37,2015-08-05,2015-06-30,$0.50,$1.11
38,2015-05-06,2015-03-31,$0.64,$1.10
39,2015-02-25,2014-12-31,$0.79,$0.95
