Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,343.03200,100.74100,242.29100,209.54800,,245.72000,-3.42900,-61.61500,-65.04400,-17.09000,-47.95400,-47.95400,,-51.18000,47.29300,31.95400,29.99000,29.99000,-1.71000,-1.71000,4.87750,0.93330,14.10800,70.63220,-0.99960,9.31520,-18.96150,-14.91990,0.06860,,2.08310,43.20440,-16.00300,9.91140,-0.95950,-1.06790,9.95700,4.51340,4.47680
2023-12-31,342.92000,107.96100,234.95900,205.70300,-33.10000,278.84800,-43.88900,-96.81200,-140.70100,-51.03700,-89.66400,-89.66400,,-91.63800,10.54600,-5.02600,29.26500,29.26500,-3.26000,-3.22000,4.87890,0.93480,14.50550,68.51710,-12.79860,-1.46560,-41.03030,-26.72290,0.05650,,2.05550,43.78490,-24.93670,20.62310,-1.47610,-1.62670,12.01080,2.2042,2.1524
2023-09-30,462.31200,145.90300,316.40900,221.68800,-35.50000,295.78400,20.62500,-112.01200,-91.38700,-15.07900,-76.30800,-76.30800,,-75.83800,71.48400,58.99300,29.96100,29.96100,-2.53000,-2.53000,4.61900,0.91540,10.98220,68.44060,4.46130,12.76040,-19.76740,-16.40410,0.07530,,3.02170,29.78450,-16.31450,21.00420,-1.24220,-1.38090,15.29380,-4.0579,-3.5586
2023-06-30,406.27800,96.25800,310.02000,188.88500,-1.73300,227.02600,82.99410,-17.70900,65.28500,21.50400,43.78100,43.78100,,44.36600,131.30800,118.77400,28.23900,28.65400,1.57000,1.55000,4.06240,0.91730,11.37960,76.30740,20.42790,29.23470,16.06910,10.92010,0.06500,,2.87700,31.28260,9.47770,-10.44350,0.70010,0.78370,16.21920,0.9081,0.806
2023-03-31,432.09000,102.02300,330.06700,212.62700,,245.14400,84.92300,-60.44400,24.47900,7.91900,16.56000,16.56000,,15.14300,130.42400,117.34700,28.58500,29.51300,0.53000,0.51000,4.33330,0.92310,12.36910,76.38850,19.65400,27.15800,5.66530,3.50460,0.06530,,3.08640,29.16020,3.76050,-3.68250,0.25020,0.28910,15.65130,1.78280,1.77160
2022-12-31,382.09200,139.80900,242.28300,208.55200,,232.28510,9.99800,-97.45100,-87.45300,-23.99800,-63.45500,-63.45500,,-59.44700,46.17900,32.73600,28.18900,28.18900,-2.07000,-1.98000,3.94660,0.90150,9.45020,63.40960,2.61660,8.56760,-22.88800,-15.55830,0.06250,,1.93130,46.60190,-12.54320,16.66360,-1.03830,-1.23600,17.73570,2.6657,2.573
2022-09-30,312.11700,47.61200,264.50500,163.72700,,189.19000,75.31500,-6.32000,68.99500,16.35000,52.64500,52.64500,,45.83500,103.47900,92.76200,28.29300,29.96800,1.62000,1.53000,5.28020,0.88530,7.89040,84.74550,24.13040,29.72030,22.10550,14.68520,0.05350,,2.64110,34.07730,9.11300,-35.60970,0.90240,1.04530,20.41320,-0.6509,-0.6652
2022-06-30,139.62100,19.77900,119.84200,167.13600,0.00000,181.68000,-61.83800,-127.26300,-189.10100,-52.51300,-136.58800,-136.58800,,-142.16100,-39.33300,-47.29400,28.05200,28.05200,-5.07000,-5.07000,5.65800,0.89070,8.33670,85.83380,-44.28990,-33.87310,-135.43880,-101.81920,0.02380,,1.34860,66.73700,-25.13690,112.62480,-2.32480,-2.74820,19.20740,-1.244,-1.2696
2022-03-31,246.84000,13.90200,232.93800,175.19900,,186.96500,45.97300,-58.86400,-12.89100,-3.69500,-9.19600,-9.19600,,-12.06400,65.58700,57.73900,27.85500,27.85500,-0.43000,-0.43000,5.46070,0.83680,5.27370,94.36800,18.62460,23.39130,-5.22240,-4.88740,0.04700,,2.90150,31.01800,-1.31340,-7.31030,-0.17510,-0.21440,25.07080,-0.53480,-0.54110
2021-12-31,236.24700,18.51400,217.73300,270.71200,,283.07390,-65.34090,156.63400,91.29300,23.84700,67.44600,67.44600,,62.18200,-46.17390,-52.97890,27.36600,29.00600,2.15000,2.01000,4.67430,0.85140,5.84510,92.16330,-27.65790,-22.42520,38.64300,26.32080,0.04040,,2.97800,30.22130,9.56410,27.30810,1.15250,1.42090,25.55910,7.5423,7.5386
2021-09-30,381.52200,30.46100,351.06100,244.21800,,254.31500,96.74600,-22.39500,74.35100,22.69300,51.65800,51.65800,,48.62100,112.98500,106.84300,27.57070,28.79410,1.76000,1.69000,3.46520,0.79850,4.07110,92.01590,25.35790,28.00440,19.48800,12.74400,0.07560,,0.58290,154.39600,6.91350,16.52800,1.02360,1.39280,27.11690,-0.6287,-0.6377
