,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-12,2024-09-30,$-0.40,$-0.52
1,2024-07-31,2024-06-30,$-0.85,$-0.74
2,2024-05-01,2024-03-31,$-0.76,$-0.76
3,2024-02-28,2023-12-31,$-0.44,$-0.32
4,2023-11-01,2023-09-30,$-0.69,$-0.86
5,2023-08-02,2023-06-30,$-0.43,$-0.21
6,2023-05-04,2023-03-31,$1.36,$-0.38
7,2023-02-28,2022-12-31,$-0.50,$-0.39
8,2022-11-03,2022-09-30,$-0.61,$-0.56
9,2022-08-04,2022-06-30,$-0.61,$-0.62
10,2022-05-04,2022-03-31,$-0.55,$-0.48
11,2022-02-24,2021-12-31,$-0.38,$-0.43
12,2021-11-10,2021-09-30,$-0.39,$-0.49
13,2021-08-12,2021-06-30,$-0.29,$-0.49
14,2021-05-11,2021-03-31,$-0.18,$0.00
15,2021-03-04,2020-12-31,$-0.06,$-0.18
16,2020-11-12,2020-09-30,$0.00,$0.05
17,2020-08-10,2020-06-30,$-0.25,$-0.05
18,2020-05-13,2020-03-31,$-0.21,$-0.34
