,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-08-12,2024-06-30,$-0.26,$-0.08
1,2024-05-09,2024-03-31,$0.10,$-0.09
2,2024-03-07,2023-12-31,$0.19,$0.13
3,2023-11-28,2023-09-30,--,$0.01
4,2023-08-02,2023-06-30,$0.12,$0.04
5,2023-05-03,2023-03-31,$0.21,$-0.13
6,2023-03-08,2022-12-31,$0.19,$0.03
7,2022-10-31,2022-09-30,--,$0.03
8,2022-08-15,2022-06-30,$0.13,$0.06
9,2022-05-04,2022-03-31,$0.69,$0.17
10,2022-03-09,2021-12-31,$0.28,$0.14
11,2021-11-03,2021-09-30,$0.27,$0.16
12,2021-07-28,2021-06-30,$1.05,$0.75
13,2021-05-07,2021-03-31,$0.51,$0.70
14,2021-02-22,2020-12-31,--,$0.52
15,2020-10-15,2020-09-30,$0.20,$0.17
16,2020-07-28,2020-06-30,$-0.03,$0.05
17,2020-05-14,2020-03-31,$-0.49,$-0.21
18,2020-03-04,2019-12-31,$0.16,$0.20
19,2019-10-23,2019-09-30,$-0.02,$-0.16
20,2019-09-16,2019-06-30,$0.30,$0.32
21,2019-05-30,2019-03-31,$0.10,$0.00
22,2019-04-18,2018-12-31,--,$0.32
23,2018-11-08,2018-09-30,$0.00,$0.13
24,2018-09-20,2018-06-30,--,$0.24
25,2016-11-14,2016-09-30,--,$-0.02
26,2016-08-15,2016-06-30,--,$-0.01
27,2016-05-13,2016-03-31,--,$-0.16
28,2016-03-29,2015-12-31,--,$0.44
29,2015-11-13,2015-09-30,--,$-0.11
30,2015-08-20,2015-06-30,--,$-0.15
31,2015-05-06,2015-03-31,--,$0.09
32,2015-03-12,2014-12-31,--,$0.02
