Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,14.75600,10.59300,4.16300,4.95800,2.31800,,7.27600,-3.11300,0.51500,-2.59800,0.03200,-2.63000,-2.63000,-2.63000,-3.11300,-3.11300,5.91900,5.91900,-0.44000,-0.44000,8.55080,28.21230,-21.09650,-21.09650,-17.60640,-17.82330,0.09360,0.24350,0.72700,123.79580,-1.95760,-1.99190,-1.66840,-1.95760,,0,0
2024-06-30,14.50200,10.23900,4.26300,4.94800,2.43900,,7.38700,-3.12400,0.68700,-2.43700,-0.92100,-1.51600,-1.51600,-1.51600,-3.12400,-3.12400,6.07900,6.07900,-0.25000,-0.25000,9.74020,29.39600,-21.54190,-21.54190,-16.80460,-10.45370,0.09180,0.22930,0.73310,122.77410,-1.09730,-1.11580,-0.96010,-1.09730,,0,0
2024-03-31,14.36500,10.32600,4.03900,4.92100,2.58100,,7.50200,-3.46300,0.39900,-3.06400,0.36800,-3.43200,-3.43200,-3.43200,-3.46300,-3.46300,6.27400,6.27400,-0.55000,-0.55000,11.40230,28.11700,-24.10720,-24.10720,-21.32960,-23.89140,0.09020,0.22310,0.84740,106.20810,-2.42570,-2.46500,-2.15550,-2.42570,,0.00000,
2023-12-31,18.76300,23.25700,-4.49400,5.01600,2.61600,,33.19300,-37.68700,0.17100,-37.51600,-2.54900,-34.96700,-34.96700,-34.96700,-37.68700,-37.68700,6.70000,6.70000,-5.20200,-5.20200,10.49380,-23.95140,-200.85810,-200.85810,-199.94670,-186.36150,0.11190,0.45150,0.65390,137.62620,-23.58460,-23.94850,-20.84670,-23.58460,,4.7649,4.5975
2023-09-30,30.05700,20.82100,9.23600,5.23100,3.04500,,8.27600,0.96000,0.43400,1.39400,0.18300,1.21100,1.21100,1.21100,0.96000,0.96000,6.74400,6.75300,0.18000,0.18000,8.83880,30.72830,3.19390,3.19390,4.63790,4.02900,0.14280,0.32890,0.87330,103.05820,0.64840,0.78670,0.57530,0.64840,,0,0
2023-06-30,38.13000,25.96800,12.16200,5.25300,2.90700,,8.16000,4.00200,0.46800,4.47000,0.66400,3.80600,3.80600,3.80600,4.00200,4.00200,6.77200,6.82700,0.56000,0.56000,7.29650,31.89610,10.49570,10.49570,11.72310,9.98160,0.17500,0.36040,1.04830,85.85520,2.01900,2.44060,1.74720,2.01900,,0,0
2023-03-31,37.18100,25.39600,11.78500,5.13800,2.59600,,7.73400,4.05100,0.29900,4.35000,0.81300,3.53700,3.53700,3.53700,4.05100,4.05100,6.84800,6.84800,0.52000,0.52000,6.19800,31.69630,10.89540,10.89540,11.69950,9.51290,0.17080,0.30440,1.09460,82.22020,1.92090,2.33230,1.62530,1.92090,,0.00000,
2022-12-31,45.19300,30.20400,14.98900,5.07600,2.85100,,7.92700,7.06200,0.43900,7.50100,1.88000,5.62100,5.62100,5.62100,7.06200,7.06200,6.69700,6.79600,0.83300,0.82400,5.66600,33.16660,15.62630,15.62630,16.59770,12.43780,0.20900,0.34330,1.46360,61.49230,3.13510,3.82320,2.59990,3.13510,26.60560,-0.6018,-0.9092
2022-09-30,39.16500,25.21000,13.95500,4.75200,2.90600,,7.65800,6.29700,0.52500,6.82200,0.83400,5.98800,5.98800,5.98800,6.29700,6.29700,6.71100,6.79300,0.89000,0.88000,4.43470,35.63130,16.07810,16.07810,17.41860,15.28920,0.18100,0.27250,1.22240,73.62700,3.47790,4.27330,2.76750,3.47790,,0,0
2022-06-30,34.15400,22.03200,12.12200,5.25700,2.73000,,7.98700,4.13500,1.15900,5.29400,0.77000,4.52400,4.52400,4.52400,4.13500,4.13500,6.66600,6.74900,0.68000,0.67000,2.55940,35.49220,12.10690,12.10690,15.50040,13.24590,0.14090,0.20420,0.87420,102.94640,2.74410,3.38920,1.86570,2.74410,,0,0
2022-03-31,32.07000,21.18000,10.89000,5.47800,2.98000,,8.45800,2.43200,0.34100,2.77300,0.60000,2.17300,2.17300,2.17300,2.43200,2.43200,6.68200,6.82900,0.33000,0.32000,2.71140,33.95700,7.58340,7.58340,8.64670,6.77580,0.14190,0.22190,0.80750,111.44900,1.36470,1.69540,0.96180,1.36470,,0.00000,
2021-12-31,36.30300,23.75700,12.54600,5.10200,3.09000,,8.19200,4.35400,-0.55600,3.79800,0.50400,3.29400,3.29400,3.29400,4.35400,4.35400,6.82600,6.96900,0.47400,0.47300,2.96390,34.55910,11.99350,11.99350,10.46190,9.07360,0.16530,0.31360,1.01370,88.78520,2.07870,2.56170,1.50000,2.07870,23.61760,0.1548,-0.2162
2021-09-30,32.87800,21.72000,11.15800,4.99900,2.73200,,7.73100,3.42700,-0.13000,3.29700,0.67900,2.61800,2.61800,2.61800,3.42700,3.42700,6.79500,6.93100,0.39000,0.38000,3.40170,33.93760,10.42340,10.42340,10.02800,7.96280,0.15890,0.32590,1.19650,75.21810,1.66640,2.04900,1.26560,1.66640,,0,0
2021-06-30,30.27700,19.52400,10.75300,4.97000,2.80000,,7.77000,2.98300,-0.28300,2.70000,0.66600,2.03400,2.03400,2.03400,2.98300,2.98300,6.86800,6.99200,0.30000,0.29000,3.09190,35.51540,9.85240,9.85240,8.91770,6.71800,0.14260,0.32130,0.96960,92.82390,1.29770,1.58670,0.95820,1.29770,,0,0
2021-03-31,29.00200,19.07100,9.93100,5.02000,2.61800,,7.63800,2.29300,0.81700,3.11000,0.51500,2.59500,2.59500,2.59500,2.29300,2.29300,6.90900,7.06700,0.38000,0.37000,4.24810,34.24250,7.90640,7.90640,10.72340,8.94770,0.14290,0.37670,0.99190,90.73860,1.64690,1.99580,1.27840,1.64690,,0.00000,
2020-12-31,33.89800,24.28900,9.60900,5.39600,2.71400,,8.11000,1.49900,-0.57500,0.92400,0.07800,0.84600,0.84600,0.84600,1.49900,1.49900,7.11800,7.15700,0.12400,0.13000,4.63740,28.34680,4.42210,4.42210,2.72580,2.49570,0.17300,0.50970,1.22000,73.77250,0.54640,0.66040,0.43190,0.54640,22.44020,0.6925,0.4558
2020-09-30,28.38500,19.07100,9.31400,4.18600,2.73300,,6.91900,2.39500,0.36900,2.76400,0.67700,2.08700,2.08700,2.08700,2.39500,2.39500,7.05800,7.08800,0.30000,0.29000,3.52670,32.81310,8.43760,8.43760,9.73750,7.35250,0.13880,0.35850,1.08620,82.85640,1.32700,1.61700,1.02030,1.32700,,0,0
2020-06-30,23.04500,15.32100,7.72400,3.86200,2.37500,,6.23700,1.48700,0.20900,1.69600,0.39200,1.30400,1.30400,1.30400,1.48700,1.48700,7.15300,7.16800,0.18000,0.18000,3.49260,33.51700,6.45260,6.45260,7.35950,5.65850,0.11350,0.33540,0.90160,99.82210,0.82560,1.00440,0.64200,0.82560,,0,0
2020-03-31,22.07000,14.95100,7.11900,3.80000,2.45200,,6.25200,0.86700,1.03100,1.89800,0.41000,1.48800,1.48800,1.48800,0.86700,0.86700,7.30900,7.33600,0.20000,0.20000,6.39540,32.25650,3.92840,3.92840,8.59990,6.74220,0.12090,0.37950,0.88320,101.89940,0.92840,1.12450,0.81480,0.92840,,0.00000,
2019-12-31,25.50700,16.65100,8.85600,3.72300,2.83800,,6.56100,2.29500,0.56000,2.85500,0.43200,2.42300,2.42300,2.42300,2.29500,2.29500,7.52000,7.57300,0.33100,0.32200,4.19440,34.71990,8.99760,8.99750,11.19300,9.49940,0.13080,0.45630,0.85310,105.50050,1.48720,1.78630,1.24220,1.48720,22.16340,3.5291,3.3388
2019-09-30,24.10400,15.72000,8.38400,3.87300,2.57000,,6.44300,1.94100,0.36100,2.30200,0.40700,1.89500,1.89500,1.89500,1.94100,1.94100,7.50600,7.55100,0.25000,0.25000,5.70250,34.78260,8.05260,8.05260,9.55030,7.86180,0.13000,0.48550,0.91050,98.84540,1.16030,1.39180,1.02180,1.16030,,-2.0503,-1.9542
