,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-07,2024-09-30,$0.21,$0.26
1,2024-08-08,2024-06-30,$0.20,$0.20
2,2024-05-08,2024-03-31,$0.17,$0.19
3,2024-02-28,2023-12-31,$0.19,$0.24
4,2023-11-06,2023-09-30,$0.17,$0.19
5,2023-08-09,2023-06-30,$0.19,$0.17
6,2023-05-08,2023-03-31,$0.15,$0.19
7,2023-02-27,2022-12-31,$0.22,$0.19
8,2022-11-07,2022-09-30,$0.14,$0.05
9,2022-08-08,2022-06-30,$0.14,$0.07
10,2022-05-09,2022-03-31,$0.10,$0.11
11,2022-02-28,2021-12-31,$0.11,$0.17
12,2021-11-10,2021-09-30,$0.07,$0.11
13,2021-08-10,2021-06-30,$0.30,$0.27
