,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-26,2024-09-30,$0.02,$0.09
1,2024-08-14,2024-06-30,$-0.01,$0.06
2,2024-05-15,2024-03-31,$-0.01,$0.01
3,2024-03-14,2023-12-31,$0.05,$-0.05
4,2023-11-15,2023-09-30,$0.02,$0.09
5,2023-08-16,2023-06-30,$0.02,$-0.02
6,2023-05-18,2023-03-31,$-0.05,$0.06
7,2023-03-15,2022-12-31,$-0.08,$-0.03
8,2022-11-16,2022-09-30,$-0.07,$0.00
9,2022-08-24,2022-06-30,$-0.15,$-0.09
10,2022-05-31,2022-03-31,$-0.24,$-0.17
11,2022-03-24,2021-12-31,$-0.23,$-0.25
12,2021-11-30,2021-09-30,$-0.23,$-0.25
13,2021-08-25,2021-06-30,$-0.31,$-0.26
14,2021-05-26,2021-03-31,$-0.48,$-0.45
15,2021-03-25,2020-12-31,--,$-0.51
16,2020-11-16,2020-09-30,--,$-0.34
17,2020-08-17,2020-06-30,--,$-1.73
