Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1081.65600,990.22000,91.43600,41.54900,41.54900,49.88710,-30.35000,19.53700,4.48600,15.05100,15.05100,15.05100,79.92710,49.88710,31.55000,31.97300,0.48000,0.47000,1.08420,0.52250,1.11090,8.45330,4.61210,4.61210,1.80620,1.39150,0.34600,,1.41130,63.76880,1.50130,-1.51110,0.48150,0.71690,31.76990,1.9754,1.9113
2024-06-30,1072.18300,998.34800,73.83500,46.40900,46.40900,27.42590,-35.54000,-8.11400,-1.57000,-6.54400,-6.54400,-6.54400,58.92790,27.42590,31.47000,31.47000,-0.21000,-0.21000,1.09950,0.53510,1.16780,6.88640,2.55800,2.55800,-0.75680,-0.61030,0.34020,,1.37130,65.63320,-0.65970,0.63470,-0.20770,-0.30670,31.51050,0.7973,0.7716
2024-03-31,1010.56400,940.29000,70.27410,39.94300,39.94300,30.33110,-29.20700,1.12400,-0.02000,1.14400,1.14400,1.14400,61.27310,30.33110,31.35100,31.79400,0.04000,0.04000,1.11830,0.53740,1.17710,6.95390,3.00140,3.00140,0.11120,0.11320,0.32190,,1.28160,70.22230,0.11510,-0.10960,0.03640,0.05330,31.59430,-1.79990,-2.04430
2023-12-31,1040.30700,942.36080,97.94600,59.41800,59.41820,38.52800,-30.60100,7.92700,8.41900,-0.49200,-0.49200,-0.49200,68.98800,38.52800,31.08400,31.08400,-0.01000,-0.01000,1.04130,0.52620,1.12600,9.41510,3.70350,3.70350,0.76200,-0.04730,0.33760,,1.47350,61.07770,-0.04970,0.04580,-0.01600,-0.02350,31.76460,1.7116,1.4378
2023-09-30,1001.50700,930.82800,70.67900,49.64000,49.64000,21.03900,-32.27600,-11.23700,-4.83700,-6.40000,-6.40000,-6.40000,51.10600,21.03900,31.17900,31.17900,-0.21000,-0.21000,1.07670,0.53830,1.18150,7.05730,2.10070,2.10070,-1.12200,-0.63900,0.32030,,1.40000,64.28740,-0.64710,0.58290,-0.20470,-0.29880,31.71490,1.8631,1.6976
2023-06-30,977.85200,890.45200,87.40000,53.13000,53.13000,34.27000,-32.26100,2.00900,0.21000,1.79900,1.79900,1.79900,65.11000,34.27000,31.03300,31.60500,0.06000,0.06000,1.10350,0.54520,1.21440,8.93800,3.50460,3.50460,0.20550,0.18400,0.30760,,1.30980,68.71240,0.18120,-0.16110,0.05660,0.08240,31.93970,3.717,3.6454
2023-03-31,943.46000,864.63000,78.83000,48.25100,48.25100,30.57900,-53.79600,-23.21700,-5.73700,-17.48000,-17.48000,-17.48000,61.11000,30.57900,30.92700,30.92700,-0.57000,-0.57000,1.21840,0.56900,1.33620,8.35540,3.24120,3.24120,-2.46080,-1.85280,0.29400,,1.24170,72.48130,-1.78650,1.51680,-0.54470,-0.76990,31.55850,-1.24460,-1.53810
2022-12-31,978.16710,862.19490,115.97210,84.94600,84.94610,31.02610,-30.97000,0.05600,10.67400,-10.61800,-10.61800,-10.61800,59.78310,31.02620,20.99600,20.99600,-1.24000,-1.23000,1.19000,0.55880,1.27840,11.85610,3.17190,3.17190,0.00570,-1.08550,0.30250,19.17100,1.34260,67.03600,-1.06490,0.91960,-0.32840,-0.46980,32.72330,1.3836,1.0675
2022-09-30,958.15600,861.07300,97.08300,92.59600,92.59600,4.48700,-27.26500,-22.77800,-5.73900,-17.03900,-17.03900,-17.03900,37.60100,4.48700,29.83000,29.83000,-0.57000,-0.57000,1.28910,0.56560,1.31410,10.13230,0.46830,0.46830,-2.37730,-1.77830,0.30240,,1.38670,64.90060,-1.72390,1.53600,-0.53780,-0.74880,32.44860,1.4268,1.4421
2022-06-30,498.06600,453.30500,44.76100,29.74000,29.74000,15.02100,-1.96300,13.05800,2.58600,10.47200,10.47200,10.47200,18.97400,15.02100,11.82600,11.95400,0.89000,0.88000,1.15990,0.17830,0.24560,8.98700,3.01590,3.01590,2.62170,2.10250,0.54980,,1.32820,67.75850,2.88110,-51.29550,1.15600,2.36730,30.68360,3.8591,3.7515
2022-03-31,456.47100,419.27500,37.19600,31.95900,31.95900,5.23700,-1.68100,3.55600,0.70100,2.85500,2.85500,2.85500,9.33300,5.23700,11.75900,11.90200,0.24000,0.24000,1.21690,0.23430,0.33540,8.14860,1.14730,1.14730,0.77900,0.62550,0.50740,,1.20900,74.44370,0.80610,-8.96670,0.31740,0.61720,30.00210,-2.21650,-2.39950
2021-12-31,419.40810,388.03690,31.37120,21.35400,21.35400,10.01720,-1.84500,8.17200,0.68400,7.48800,7.48800,7.48800,14.48520,10.01710,11.70500,11.83600,0.65000,0.62000,1.18170,0.21210,0.29890,7.47980,2.38840,2.38840,1.94850,1.78540,0.47150,,1.20310,74.80650,2.13890,-19.58720,0.84190,1.68520,29.82510,0.6775,0.4972
2021-09-30,459.40800,418.90000,40.50800,27.61800,27.61800,12.89000,-1.95500,10.93500,0.67700,10.25800,10.25800,10.25800,17.43700,12.89000,11.72600,11.84900,0.87000,0.87000,1.26390,0.25440,0.37160,8.81740,2.80580,2.80580,2.38020,2.23290,0.51340,,1.36290,66.03390,3.00120,-23.17410,1.14650,2.23770,29.14650,3.3191,3.082
