Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,24.62900,24.62900,30.24100,8.16800,-13.78000,4.77900,-9.00100,0.04300,-9.04400,-9.04400,-9.04400,-14.70900,-13.78000,57.85110,57.85110,-0.16000,-0.16000,8.44700,100.00000,-55.95030,-55.95030,-36.54640,-36.72090,0.05780,1.25220,71.87140,-2.73800,-2.73800,-2.12280,-2.73800,6.05610,-0.4845,-0.4889
2024-06-30,29.57800,29.57800,34.45200,10.15100,-15.02500,4.90800,-10.11700,0.02400,-10.14100,-10.14100,-10.14100,-16.09700,-15.02500,57.72190,57.72190,-0.18000,-0.18000,9.50830,100.00000,-50.79790,-50.79790,-34.20450,-34.28560,0.06780,9.09810,9.89220,-3.02340,-3.02340,-2.32470,-3.02340,6.15760,-0.5579,-0.5742
2024-03-31,19.51600,19.51600,27.09200,8.60700,-16.18300,4.86700,-11.31600,0.01400,-11.33000,-11.33000,-11.33000,-16.91800,-16.18300,57.11700,57.11700,-0.20000,-0.20000,5.63910,100.00000,-82.92170,-82.92170,-57.98320,-58.05490,0.04160,5.64540,15.94230,-3.32370,-3.32370,-2.41270,-3.32370,6.27570,1.02890,0.99140
2023-12-31,90.06100,90.06100,25.75600,10.24200,54.06300,3.15400,57.21700,0.82200,56.39500,56.39500,56.39500,53.60400,54.06300,43.02080,44.56930,1.13000,1.13000,4.95570,100.00000,60.02930,60.02930,63.53140,62.61870,0.25640,1.07870,83.43440,23.86380,23.86380,16.05410,23.86380,5.36630,-0.5697,-0.5858
2023-09-30,4.61400,4.61400,25.86300,8.25800,-29.50700,3.42900,-26.07800,-0.17700,-25.90100,-25.90100,-25.90100,-30.36900,-29.50700,43.86480,43.86480,-0.59000,-0.59000,4.24600,100.00000,-639.51030,-639.51030,-565.19290,-561.35680,0.01570,1.41840,63.45250,-14.69810,-14.69810,-8.79030,-14.69810,4.01330,-0.5021,-0.5196
2023-06-30,4.85300,4.85300,21.98500,8.29400,-25.42600,3.27700,-22.14900,0.05900,-22.20800,-22.20800,-22.20800,-24.34800,-25.42600,43.52010,43.52010,-0.51000,-0.51000,6.21560,100.00000,-523.92330,-523.92330,-456.39810,-457.61390,0.01540,1.44870,62.12650,-11.15830,-11.15830,-7.03820,-11.15830,4.54820,-0.1107,-0.1381
2023-03-31,150.48000,150.48000,18.56800,9.02800,122.88400,1.86400,124.74800,0.70400,124.04400,124.04400,124.04400,123.94200,122.88400,40.63200,42.16100,3.05000,2.94000,15.17750,100.00000,81.66140,81.66140,82.90010,82.43220,0.44750,5.94130,15.14830,57.17340,57.17340,36.88560,57.17340,4.99500,2.93080,2.91870
2022-12-31,-1.55000,-1.55000,14.55100,8.46200,-24.56300,0.95300,-23.61000,0.01600,-23.62600,-23.62600,-23.62600,-23.72200,-24.56300,38.54800,38.54800,-0.61000,-0.61000,1.71510,100.00000,1584.71000,1584.71000,1523.22600,1524.25800,-0.00970,-6.03110,-14.92260,-40.03050,-40.03050,-14.82590,-40.03050,1.52850,-0.3178,-0.343
2022-09-30,41.08600,41.08600,19.33700,7.30700,14.44200,3.18200,17.62400,,17.62400,17.62400,17.62400,15.75800,14.44200,38.50800,39.57000,0.46000,0.45000,2.00630,100.00000,35.15070,35.15070,42.89540,42.89540,0.22520,4.01820,22.39810,22.07890,22.07890,9.65800,22.07890,2.07220,-0.4229,-0.4289
2022-06-30,0.71200,0.71200,12.52700,7.55200,-19.36700,0.28000,-19.08700,,-19.08700,-19.08700,-19.08700,-18.18200,-19.36700,38.29840,38.29840,-0.50000,-0.50000,1.54830,100.00000,-2720.08400,-2720.08400,-2680.75800,-2680.75800,0.00380,4.71520,19.08710,-31.78410,-31.78410,-10.12010,-31.78410,1.56230,-0.4886,-0.521
2022-03-31,0.65800,0.65800,14.34900,7.65900,-21.35000,0.03100,-21.31900,,-21.31900,-21.31900,-21.31900,-18.51700,-21.35000,38.04900,38.04900,-0.56000,-0.56000,1.67840,100.00000,-3244.68100,-3244.68100,-3239.97000,-3239.97000,0.00290,3.19420,28.17630,-28.07680,-28.07680,-9.50970,-28.07680,1.98550,0.90480,0.90380
2021-12-31,28.07300,28.07300,14.02000,8.35100,5.70200,0.00600,5.70800,,5.70800,5.70800,5.70800,7.20900,5.70200,37.80400,37.82100,0.15000,0.15000,2.68140,100.00000,20.31130,20.31130,20.33270,20.33270,0.14480,38.35110,2.34670,6.00490,6.00490,2.94450,6.00490,2.50690,0.2978,0.2886
2021-09-30,1.48200,1.48200,17.91400,8.71400,-25.14600,0.00900,-25.13700,,-25.13700,-25.13700,-25.13700,-23.81100,-25.14600,37.78100,37.78100,-0.67000,-0.67000,4.72660,100.00000,-1696.76100,-1696.76100,-1696.15400,-1696.15400,0.00800,1.27210,70.74900,-28.75360,-28.75360,-13.60420,-28.75360,2.31390,-0.5419,-0.5593
2021-06-30,1.35700,1.35700,19.50500,10.43700,-28.58500,-1.53500,-30.12000,,-30.12000,-30.12000,-30.12000,-27.28900,-28.58500,37.58100,37.58100,-0.80000,-0.80000,6.02110,100.00000,-2106.48500,-2106.48500,-2219.60200,-2219.60200,0.00650,0.77190,116.59540,-27.24900,-27.24900,-14.43030,-27.24900,2.92640,-0.6033,-0.6093
2021-03-31,6.50100,6.50100,22.34600,9.74400,-25.58900,3.94000,-21.64900,,-21.64900,-21.64900,-21.64900,-24.21300,-25.58900,37.50100,37.50100,-0.58000,-0.58000,7.10420,100.00000,-393.61640,-393.61640,-333.01030,-333.01030,0.02730,1.52860,58.87860,-15.89410,-15.89410,-9.10700,-15.89410,3.62680,-0.56780,-0.57780
2020-12-31,6.53700,6.53700,21.99700,8.26900,-23.72900,7.80300,-15.92600,,-15.92600,-15.92600,-15.92600,-22.65800,-23.72900,37.13200,37.34900,-0.42000,-0.40000,7.38880,100.00000,-362.99490,-362.99490,-243.62840,-243.62840,0.02500,0.81590,110.30740,-10.32010,-10.32010,-6.08830,-10.32010,4.12970,-0.6056,-0.7036
2020-09-30,117.84300,117.84300,25.03900,8.27700,84.52700,1.08400,85.61100,,85.61100,85.61100,85.61100,85.65400,84.52700,37.24200,37.67200,2.30000,2.27000,5.14390,100.00000,71.72850,71.72850,72.64840,72.64840,0.43680,9.28700,9.69090,51.49970,51.49970,31.73630,51.49970,4.46120,-0.6337,-0.7689
2020-06-30,28.68100,28.68100,29.42300,8.23900,-8.98100,0.30000,-8.68100,,-8.68100,-8.68100,-8.68100,-7.98900,-8.98100,37.03000,37.03000,-0.23000,-0.23000,3.65250,100.00000,-31.31340,-31.31340,-30.26740,-30.26740,0.09640,2.26080,39.80820,-11.29100,-11.29100,-2.91840,-11.29100,2.06660,-0.5711,-0.621
2020-03-31,18.06700,18.06700,32.29400,10.20600,-24.43300,0.17000,-24.26300,,-24.26300,-24.26300,-24.26300,-23.77900,-24.43300,36.96300,36.96300,-0.66000,-0.66000,3.75640,100.00000,-135.23550,-135.23550,-134.29460,-134.29460,0.05600,1.10960,81.11310,-30.42120,-30.42120,-7.52080,-30.42120,2.15690,-0.77910,-0.81990
2019-12-31,32.67400,32.67400,36.55100,9.89100,-13.76800,1.19400,-12.57400,,-12.57400,-12.57400,-12.57400,-13.66700,-13.76800,35.89800,35.89800,-0.29000,-0.28000,4.00800,100.00000,-42.13750,-42.13750,-38.48320,-38.48320,0.09210,1.76650,50.94690,-12.63570,-12.63570,-3.54440,-12.63570,2.69940,-0.6046,-0.7012
