,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-12,2024-09-30,--,$-0.50
1,2024-08-08,2024-06-30,$-0.87,$-0.73
2,2024-05-14,2024-03-31,$-0.94,$-0.83
3,2024-03-28,2023-12-31,--,$-0.81
4,2023-11-09,2023-09-30,--,$-0.96
5,2023-08-10,2023-06-30,$-1.60,$-1.20
6,2023-05-10,2023-03-31,$-1.60,$-1.60
7,2023-03-09,2022-12-31,$-1.60,$-1.60
8,2022-11-03,2022-09-30,$-2.00,$-1.60
9,2022-08-10,2022-06-30,$-2.20,$-1.60
10,2022-05-11,2022-03-31,$-2.80,$-1.80
11,2022-02-24,2021-12-31,$-3.40,$-2.60
12,2021-11-11,2021-09-30,$-3.40,$-2.80
13,2021-07-29,2021-06-30,$-3.00,$-3.60
14,2021-05-12,2021-03-31,$-2.60,$-2.80
15,2021-02-25,2020-12-31,$-3.60,$-3.00
16,2020-11-09,2020-09-30,$-4.00,$-3.60
17,2020-08-05,2020-06-30,$-3.60,$-4.00
18,2020-05-06,2020-03-31,$-5.40,$-5.00
19,2020-02-26,2019-12-31,--,$-5.80
20,2019-11-07,2019-09-30,$-5.20,$-5.40
21,2019-08-08,2019-06-30,$-7.40,$-6.40
22,2019-04-30,2019-03-31,$-9.40,$-7.80
23,2019-02-27,2018-12-31,$-9.60,$-9.60
24,2018-10-30,2018-09-30,$-10.60,$-9.80
25,2018-08-01,2018-06-30,$-10.80,$-9.60
26,2018-05-01,2018-03-31,$-10.40,$-11.00
27,2018-02-15,2017-12-31,$-11.80,$-10.00
28,2017-11-08,2017-09-30,$-11.00,$-11.60
29,2017-08-08,2017-06-30,$-12.80,$-12.60
30,2017-05-10,2017-03-31,$-12.60,$-12.20
31,2017-03-08,2016-12-31,$-10.40,$-15.00
32,2016-11-07,2016-09-30,$-9.00,$-11.40
33,2016-08-09,2016-06-30,$-12.40,$-12.40
34,2016-05-10,2016-03-31,$-11.40,$-13.20
35,2016-03-10,2015-12-31,$-11.20,$-12.20
36,2015-11-10,2015-09-30,$-10.80,$-8.60
37,2015-08-10,2015-06-30,$-11.40,$-9.60
38,2015-05-11,2015-03-31,$-13.00,$-10.80
39,2015-03-09,2014-12-31,--,$-17.80
