,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-04,2024-09-30,$0.23,$0.25
1,2024-08-05,2024-06-30,$0.30,$0.28
2,2024-05-02,2024-03-31,$0.76,$0.73
3,2024-02-22,2023-12-31,$0.49,$0.50
4,2023-11-06,2023-09-30,$0.29,$0.30
5,2023-08-07,2023-06-30,$0.34,$0.34
6,2023-05-08,2023-03-31,$0.74,$0.72
7,2023-02-27,2022-12-31,$0.45,$0.44
8,2022-11-07,2022-09-30,$0.23,$0.26
9,2022-08-03,2022-06-30,$0.31,$0.31
10,2022-05-09,2022-03-31,$0.74,$0.76
11,2022-02-23,2021-12-31,--,$0.44
12,2021-11-01,2021-09-30,$0.22,$0.19
13,2021-08-04,2021-06-30,$0.29,$0.32
14,2021-05-05,2021-03-31,$0.66,$0.72
15,2021-02-24,2020-12-31,$0.46,$0.46
16,2020-11-03,2020-09-30,$0.26,$0.23
17,2020-08-05,2020-06-30,$0.24,$0.29
18,2020-05-06,2020-03-31,$0.55,$0.60
19,2020-02-26,2019-12-31,$0.35,$0.34
20,2019-11-04,2019-09-30,$0.43,$0.48
21,2019-08-06,2019-06-30,$0.39,$0.37
22,2019-05-02,2019-03-31,$0.30,$0.28
23,2019-02-18,2018-12-31,$0.32,$0.31
24,2018-11-05,2018-09-30,$0.43,$0.44
25,2018-08-01,2018-06-30,$0.36,$0.37
26,2018-05-08,2018-03-31,$0.29,$0.29
27,2018-02-27,2017-12-31,$0.31,$0.32
28,2017-10-31,2017-09-30,$0.43,$0.43
29,2017-08-02,2017-06-30,$0.34,$0.34
30,2017-05-03,2017-03-31,$0.29,$0.28
31,2017-02-22,2016-12-31,$0.29,$0.28
32,2016-11-01,2016-09-30,$0.39,$0.41
33,2016-08-02,2016-06-30,$0.33,$0.33
34,2016-05-03,2016-03-31,$0.28,$0.29
35,2016-02-23,2015-12-31,$0.29,$0.28
36,2015-11-03,2015-09-30,$0.39,$0.38
37,2015-08-04,2015-06-30,$0.32,$0.32
38,2015-05-05,2015-03-31,$0.26,$0.27
39,2015-02-26,2014-12-31,$0.27,$0.28
