,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-31,2024-09-30,$2.68,$2.93
1,2024-07-25,2024-06-30,$2.28,$2.55
2,2024-04-25,2024-03-31,$3.21,$3.29
3,2024-02-06,2023-12-31,$7.04,$7.44
4,2023-10-26,2023-09-30,$2.07,$2.24
5,2023-07-27,2023-06-30,$2.38,$2.05
6,2023-04-27,2023-03-31,$2.81,$2.84
7,2023-02-09,2022-12-31,$6.29,$6.33
8,2022-10-27,2022-09-30,$2.14,$2.20
9,2022-07-28,2022-06-30,$2.31,$2.32
10,2022-04-28,2022-03-31,$2.51,$2.66
11,2022-02-08,2021-12-31,$5.35,$5.67
12,2021-10-28,2021-09-30,$1.56,$1.73
13,2021-08-03,2021-06-30,$1.98,$2.66
14,2021-04-29,2021-03-31,$3.26,$3.64
15,2021-02-09,2020-12-31,$5.02,$5.23
16,2020-10-29,2020-09-30,$1.28,$1.33
17,2020-07-30,2020-06-30,$1.62,$1.80
18,2020-04-30,2020-03-31,$3.14,$3.34
19,2020-02-06,2019-12-31,$4.85,$4.90
20,2019-10-31,2019-09-30,$1.30,$1.31
21,2019-07-31,2019-06-30,$1.76,$1.78
22,2019-05-01,2019-03-31,$2.99,$2.98
23,2019-02-07,2018-12-31,$4.06,$4.00
24,2018-11-02,2018-09-30,$1.11,$1.32
25,2018-08-02,2018-06-30,$1.67,$1.70
26,2018-05-07,2018-03-31,$2.63,$2.71
27,2018-02-08,2017-12-31,$2.11,$2.21
28,2017-11-02,2017-09-30,$1.13,$1.12
29,2017-08-03,2017-06-30,$1.48,$1.45
30,2017-05-04,2017-03-31,$3.33,$3.71
31,2017-02-09,2016-12-31,$1.61,$1.88
32,2016-11-04,2016-09-30,$1.03,$1.04
33,2016-08-05,2016-06-30,$1.59,$1.66
34,2016-05-06,2016-03-31,$2.80,$3.41
35,2016-02-09,2015-12-31,$1.41,$1.09
36,2015-10-27,2015-09-30,$0.45,$0.37
37,2015-07-28,2015-06-30,$1.43,$1.51
38,2015-04-28,2015-03-31,$3.68,$3.34
39,2015-02-10,2014-12-31,$1.19,$1.22
