Date,Adj Close,Close,High,Low,Open,Volume
1995-11-17,6.318033218383789,8.625,8.71875,8.09375,8.125,35659200
1995-11-20,6.089119911193848,8.3125,8.8125,8.1875,8.59375,8434000
1995-11-21,5.974662780761719,8.15625,8.28125,7.9375,8.25,6440000
1995-11-22,6.157796382904053,8.40625,8.53125,8.125,8.125,3480800
1995-11-24,6.386708736419678,8.71875,8.71875,8.4375,8.46875,1279200
1995-11-27,6.409600734710693,8.75,8.90625,8.625,8.71875,2403200
1995-11-28,6.318033218383789,8.625,8.78125,8.5,8.75,1054800
1995-11-29,6.409600734710693,8.75,8.96875,8.5625,8.59375,1331200
1995-11-30,6.661406517028809,9.09375,9.1875,8.8125,8.84375,2426000
1995-12-01,6.5927300453186035,9.0,9.125,8.9375,9.09375,978400
1995-12-04,6.5240607261657715,8.90625,9.09375,8.84375,9.03125,594000
1995-12-05,6.432491302490234,8.78125,8.90625,8.625,8.90625,1148800
1995-12-06,6.455380439758301,8.8125,9.0,8.75,8.75,1216000
1995-12-07,6.409600734710693,8.75,8.90625,8.6875,8.875,641200
1995-12-08,6.569840908050537,8.96875,8.96875,8.625,8.71875,668800
1995-12-11,6.661406517028809,9.09375,9.09375,8.96875,9.0,660000
1995-12-12,6.409600734710693,8.75,9.0625,8.71875,9.03125,971600
1995-12-13,6.363814830780029,8.6875,8.8125,8.53125,8.8125,528400
1995-12-14,6.180685520172119,8.4375,8.71875,8.4375,8.71875,639200
1995-12-15,6.1349029541015625,8.375,8.5625,8.34375,8.5,1366400
1995-12-18,6.066230773925781,8.28125,8.40625,8.25,8.375,741600
1995-12-19,6.180685520172119,8.4375,8.53125,8.21875,8.25,643600
1995-12-20,6.318033218383789,8.625,8.6875,8.46875,8.46875,360400
1995-12-21,6.363814830780029,8.6875,8.78125,8.5625,8.59375,301600
1995-12-22,6.409600734710693,8.75,8.75,8.625,8.71875,208400
1995-12-26,6.24936056137085,8.53125,8.71875,8.5,8.71875,240000
1995-12-27,6.478272914886475,8.84375,8.84375,8.625,8.625,351600
1995-12-28,6.455380439758301,8.8125,8.90625,8.78125,8.875,344400
1995-12-29,6.386708736419678,8.71875,8.84375,8.65625,8.78125,219200
1996-01-02,6.409600734710693,8.75,8.78125,8.65625,8.71875,169200
1996-01-03,6.386708736419678,8.71875,8.9375,8.65625,8.78125,682000
1996-01-04,6.340925216674805,8.65625,8.8125,8.53125,8.75,414800
1996-01-05,6.180685520172119,8.4375,8.59375,8.28125,8.53125,773600
1996-01-08,6.203577995300293,8.46875,8.46875,8.375,8.4375,48800
1996-01-09,6.1349029541015625,8.375,8.5,8.375,8.5,864000
1996-01-10,6.066230773925781,8.28125,8.375,8.125,8.28125,458400
1996-01-11,6.203577995300293,8.46875,8.5625,8.3125,8.3125,477600
1996-01-12,6.363814830780029,8.6875,8.6875,8.40625,8.4375,338400
1996-01-15,6.340925216674805,8.65625,8.75,8.625,8.6875,580800
1996-01-16,6.180685520172119,8.4375,8.59375,8.21875,8.59375,512800
1996-01-17,6.1349029541015625,8.375,8.375,8.125,8.3125,126400
1996-01-18,5.974662780761719,8.15625,8.34375,8.03125,8.28125,696000
1996-01-19,5.928881645202637,8.09375,8.1875,8.0625,8.15625,792800
1996-01-22,6.089119911193848,8.3125,8.46875,8.09375,8.09375,568800
1996-01-23,5.974662780761719,8.15625,8.28125,8.15625,8.25,798400
1996-01-24,6.066230773925781,8.28125,8.28125,8.125,8.125,776400
1996-01-25,6.272251605987549,8.5625,8.5625,8.25,8.25,1303200
1996-01-26,6.272251605987549,8.5625,8.59375,8.5,8.5625,634800
1996-01-29,6.180685520172119,8.4375,8.59375,8.375,8.59375,652000
1996-01-30,6.7758636474609375,9.25,9.40625,8.375,8.4375,2810800
1996-01-31,6.752972602844238,9.21875,9.53125,9.125,9.1875,1136400
1996-02-01,6.615624904632568,9.03125,9.21875,8.84375,9.1875,516800
1996-02-02,6.7758636474609375,9.25,9.3125,9.09375,9.09375,702400
1996-02-05,6.890320301055908,9.40625,9.46875,9.25,9.3125,756400
1996-02-06,6.936102867126465,9.46875,9.5625,9.375,9.40625,455200
1996-02-07,7.165014743804932,9.78125,9.84375,9.5,9.53125,650800
1996-02-08,7.004778861999512,9.5625,9.8125,9.53125,9.75,571600
1996-02-09,7.027670383453369,9.59375,9.625,9.46875,9.625,520800
1996-02-12,6.844539642333984,9.34375,9.5625,9.25,9.53125,619200
1996-02-13,6.730079174041748,9.1875,9.28125,9.125,9.25,204400
1996-02-14,6.707187175750732,9.15625,9.4375,9.15625,9.21875,410000
1996-02-15,6.844539642333984,9.34375,9.4375,9.28125,9.28125,348800
1996-02-16,6.730079174041748,9.1875,9.34375,9.15625,9.34375,322400
1996-02-20,6.638514518737793,9.0625,9.1875,8.9375,9.0625,633200
1996-02-21,6.684297561645508,9.125,9.21875,9.09375,9.09375,497600
1996-02-22,6.661406517028809,9.09375,9.125,8.78125,9.125,1184000
1996-02-23,6.821648597717285,9.3125,9.34375,9.09375,9.125,532400
1996-02-26,6.7758636474609375,9.25,9.34375,9.1875,9.3125,359600
1996-02-27,6.707187175750732,9.15625,9.375,9.125,9.3125,1742400
1996-02-28,6.752972602844238,9.21875,9.25,9.1875,9.1875,921600
1996-02-29,6.707187175750732,9.15625,9.375,9.125,9.21875,812400
1996-03-01,6.936102867126465,9.46875,9.53125,9.21875,9.28125,605600
1996-03-04,6.867428779602051,9.375,9.5,9.3125,9.5,650800
1996-03-05,6.890320301055908,9.40625,9.46875,9.28125,9.3125,511200
1996-03-06,6.821648597717285,9.3125,9.46875,9.3125,9.4375,445600
1996-03-07,6.752972602844238,9.21875,9.34375,9.203125,9.28125,547600
1996-03-08,6.5927300453186035,9.0,9.21875,8.84375,9.0625,625200
1996-03-11,6.5011677742004395,8.875,9.0,8.84375,9.0,217200
1996-03-12,6.340925216674805,8.65625,8.90625,8.40625,8.90625,598000
1996-03-13,6.5401153564453125,8.90625,8.9375,8.59375,8.6875,335600
1996-03-14,6.5401153564453125,8.90625,8.96875,8.84375,8.90625,273600
1996-03-15,6.402423858642578,8.71875,8.96875,8.625,8.96875,371600
1996-03-18,6.5860090255737305,8.96875,8.96875,8.75,8.75,257600
1996-03-19,6.5401153564453125,8.90625,8.96875,8.75,8.96875,276800
1996-03-20,6.402423858642578,8.71875,8.90625,8.65625,8.875,236400
1996-03-21,6.35653018951416,8.65625,8.71875,8.59375,8.71875,520000
1996-03-22,6.35653018951416,8.65625,8.65625,8.59375,8.65625,198000
1996-03-25,6.448321342468262,8.78125,8.8125,8.71875,8.8125,284000
1996-03-26,6.608954429626465,9.0,9.21875,8.78125,8.8125,327200
1996-03-27,6.677798748016357,9.09375,9.1875,9.03125,9.0625,275600
1996-03-28,6.677798748016357,9.09375,9.21875,9.0625,9.15625,236800
1996-03-29,6.563060760498047,8.9375,9.125,8.90625,9.09375,280800
1996-04-01,6.677798748016357,9.09375,9.09375,8.84375,8.96875,214800
1996-04-02,6.5401153564453125,8.90625,9.09375,8.875,9.03125,640400
1996-04-03,6.448321342468262,8.78125,8.84375,8.6875,8.84375,164400
1996-04-04,6.448321342468262,8.78125,8.84375,8.6875,8.84375,82400
1996-04-08,6.3794755935668945,8.6875,8.6875,8.59375,8.65625,186000
1996-04-09,6.3794755935668945,8.6875,8.71875,8.65625,8.71875,285200
1996-04-10,6.35653018951416,8.65625,8.6875,8.5625,8.6875,228000
1996-04-11,6.35653018951416,8.65625,8.71875,8.625,8.6875,222400
1996-04-12,6.425374984741211,8.75,8.75,8.625,8.625,238400
1996-04-15,6.4942169189453125,8.84375,8.9375,8.75,8.78125,185600
1996-04-16,6.517168045043945,8.875,8.875,8.75,8.78125,159600
1996-04-17,6.333581924438477,8.625,8.84375,8.5,8.84375,766000
1996-04-18,6.195894241333008,8.4375,8.625,8.25,8.625,1770000
1996-04-19,6.310634136199951,8.59375,8.59375,8.4375,8.4375,429200
1996-04-22,6.35653018951416,8.65625,8.65625,8.5,8.5625,118800
1996-04-23,6.24179220199585,8.5,8.6875,8.46875,8.625,206000
1996-04-24,6.104105472564697,8.3125,8.4375,8.25,8.4375,1152400
1996-04-25,6.12705135345459,8.34375,8.34375,8.0,8.3125,1270800
1996-04-26,6.9072771072387695,9.40625,9.5,8.28125,8.34375,3303600
1996-04-29,6.976120948791504,9.5,9.875,9.28125,9.3125,2256400
1996-04-30,6.723693370819092,9.15625,9.46875,9.15625,9.4375,771200
1996-05-01,6.700747966766357,9.125,9.1875,9.03125,9.1875,303600
1996-05-02,6.723693370819092,9.15625,9.28125,9.0625,9.0625,489600
1996-05-03,6.700747966766357,9.125,9.1875,9.0,9.1875,1512800
1996-05-06,6.723693370819092,9.15625,9.28125,9.125,9.125,308400
1996-05-07,6.677798748016357,9.09375,9.15625,9.09375,9.125,508800
1996-05-08,6.769590377807617,9.21875,9.25,8.96875,9.0625,362400
1996-05-09,6.838432788848877,9.3125,9.4375,9.25,9.375,279200
1996-05-10,6.815485954284668,9.28125,9.40625,9.25,9.375,74000
1996-05-13,6.769590377807617,9.21875,9.25,9.1875,9.21875,198800
1996-05-14,6.700747966766357,9.125,9.1875,9.03125,9.1875,256400
1996-05-15,6.608954429626465,9.0,9.15625,8.96875,9.15625,752800
1996-05-16,6.953173637390137,9.46875,9.65625,9.1875,9.1875,1938000
1996-05-17,6.953173637390137,9.46875,9.625,9.46875,9.59375,601600
1996-05-20,6.9072771072387695,9.40625,9.53125,9.28125,9.4375,448000
1996-05-21,6.723693370819092,9.15625,9.46875,9.125,9.46875,209200
1996-05-22,6.677798748016357,9.09375,9.125,8.875,9.125,368800
1996-05-23,6.654851913452148,9.0625,9.125,9.0625,9.09375,615200
