Date,Adj Close,Close,High,Low,Open,Volume
1999-03-30,11.637116432189941,14.0625,14.5,13.625,14.0625,4592500
1999-03-31,11.068194389343262,13.375,14.125,13.375,14.125,923300
1999-04-01,11.171630859375,13.5,13.75,13.375,13.375,312400
1999-04-05,11.171630859375,13.5,13.625,13.1875,13.625,200600
1999-04-06,11.275071144104004,13.625,13.75,13.5,13.5,106200
1999-04-07,11.585393905639648,14.0,14.125,13.5625,13.5625,147600
1999-04-08,11.585393905639648,14.0,14.0,14.0,14.0,62000
1999-04-09,11.275071144104004,13.625,14.125,13.625,14.0,195100
1999-04-12,11.171630859375,13.5,13.625,13.5,13.625,23000
1999-04-13,10.96474552154541,13.25,13.5,13.25,13.5,30500
1999-04-14,9.930341720581055,12.0,13.25,11.875,13.25,651600
1999-04-15,9.930341720581055,12.0,12.125,11.875,12.0,37700
1999-04-16,10.033781051635742,12.125,12.125,12.0625,12.125,7100
1999-04-19,9.930341720581055,12.0,12.375,12.0,12.125,8500
1999-04-20,9.930341720581055,12.0,12.1875,12.0,12.0,10700
1999-04-21,10.757866859436035,13.0,13.625,12.0,12.0,237700
1999-04-22,11.171630859375,13.5,14.0,13.25,13.5,179300
1999-04-23,12.1026029586792,14.625,14.75,13.875,14.0,749400
1999-04-26,13.861098289489746,16.75,16.75,14.875,15.25,319900
1999-04-27,14.067983627319336,17.0,17.0,15.375,16.75,102300
1999-04-28,12.206046104431152,14.75,16.75,14.75,16.75,236400
1999-04-29,11.4302339553833,13.8125,15.125,13.5,15.125,106800
1999-04-30,11.275071144104004,13.625,14.125,13.625,13.875,83600
1999-05-03,11.22335147857666,13.5625,14.0,13.5625,14.0,17600
1999-05-04,10.96474552154541,13.25,14.125,13.0,13.5,124500
1999-05-05,10.447543144226074,12.625,13.25,12.0,13.25,135100
1999-05-06,10.550986289978027,12.75,13.125,12.75,12.75,40100
1999-05-07,10.757866859436035,13.0,13.0,12.75,13.0,111700
1999-05-10,10.654427528381348,12.875,13.125,12.625,13.125,45400
1999-05-11,10.96474552154541,13.25,13.75,12.625,12.625,57100
1999-05-12,12.412925720214844,15.0,15.375,13.0625,13.25,563800
1999-05-13,12.412925720214844,15.0,15.5,15.0,15.5,55900
1999-05-14,11.999160766601562,14.5,15.125,14.5,14.875,73900
1999-05-17,11.688835144042969,14.125,14.375,14.0,14.375,21800
1999-05-18,11.688835144042969,14.125,14.25,14.0,14.125,144600
1999-05-19,12.619805335998535,15.25,15.625,14.25,14.375,211700
1999-05-20,12.774970054626465,15.4375,15.4375,15.125,15.4375,78600
1999-05-21,12.723250389099121,15.375,15.4375,15.125,15.125,32800
