Date,Adj Close,Close,High,Low,Open,Volume
1992-02-06,0.8093169331550598,12.5,12.5,12.5,12.5,135800
1992-02-07,0.8093169331550598,12.5,12.5,12.5,12.5,45000
1992-02-10,0.8174102306365967,12.625,12.625,12.5,12.5,24700
1992-02-11,0.8174102306365967,12.625,12.625,12.5,12.625,27600
1992-02-12,0.8174102306365967,12.625,12.75,12.625,12.625,61600
1992-02-13,0.8174102306365967,12.625,12.75,12.5,12.625,25400
1992-02-14,0.8174102306365967,12.625,12.75,12.5,12.625,61400
1992-02-18,0.8255037069320679,12.75,12.75,12.625,12.75,14900
1992-02-19,0.8093169331550598,12.5,12.625,12.5,12.5,130600
1992-02-20,0.8174102306365967,12.625,12.625,12.5,12.625,30400
1992-02-21,0.8174102306365967,12.625,12.625,12.5,12.625,36900
1992-02-24,0.8174102306365967,12.625,12.75,12.625,12.625,109500
1992-02-25,0.8174102306365967,12.625,12.75,12.5,12.625,72800
1992-02-26,0.8174102306365967,12.625,12.625,12.5,12.5,14000
1992-02-27,0.8174102306365967,12.625,12.75,12.625,12.625,34200
1992-02-28,0.8255037069320679,12.75,12.75,12.75,12.75,8800
1992-03-02,0.8174102306365967,12.625,12.875,12.625,12.75,11100
1992-03-03,0.8174102306365967,12.625,12.75,12.625,12.75,23400
1992-03-04,0.8255037069320679,12.75,12.875,12.625,12.75,16300
1992-03-05,0.8174102306365967,12.625,12.875,12.625,12.875,24800
1992-03-06,0.8335966467857361,12.875,13.0,12.75,12.75,65400
1992-03-09,0.8335966467857361,12.875,13.0,12.875,13.0,21900
1992-03-10,0.8335966467857361,12.875,13.0,12.875,13.0,87800
1992-03-11,0.8416898250579834,13.0,13.0,12.875,12.875,24400
1992-03-12,0.8416898250579834,13.0,13.0,12.875,13.0,13400
1992-03-13,0.8416898250579834,13.0,13.0,12.875,13.0,46800
1992-03-16,0.8416898250579834,13.0,13.0,12.875,13.0,36600
1992-03-17,0.8416898250579834,13.0,13.0,12.875,13.0,31200
1992-03-18,0.8416898250579834,13.0,13.0,12.875,12.875,14500
1992-03-19,0.8416898250579834,13.0,13.0,12.875,13.0,20400
1992-03-20,0.8335966467857361,12.875,13.0,12.75,13.0,6100
1992-03-23,0.8255037069320679,12.75,12.875,12.75,12.875,10200
1992-03-24,0.8255037069320679,12.75,12.875,12.75,12.75,11000
1992-03-25,0.8335966467857361,12.875,12.875,12.625,12.875,15900
1992-03-26,0.8255037069320679,12.75,12.75,12.625,12.75,3900
1992-03-27,0.8174102306365967,12.625,12.875,12.625,12.75,5500
1992-03-30,0.8255037069320679,12.75,12.75,12.625,12.75,4100
1992-03-31,0.8335966467857361,12.875,12.875,12.625,12.625,12300
1992-04-01,0.8255037069320679,12.75,12.75,12.625,12.625,4800
1992-04-02,0.8255037069320679,12.75,12.75,12.625,12.75,12600
1992-04-03,0.8174102306365967,12.625,12.75,12.625,12.75,6500
1992-04-06,0.8335966467857361,12.875,12.875,12.625,12.75,30800
1992-04-07,0.8335966467857361,12.875,12.875,12.75,12.75,5300
1992-04-08,0.8255037069320679,12.75,12.875,12.625,12.75,9300
1992-04-09,0.8255037069320679,12.75,12.875,12.625,12.75,19600
1992-04-10,0.8255037069320679,12.75,12.875,12.625,12.75,8600
1992-04-13,0.8093169331550598,12.5,12.875,12.5,12.875,12900
1992-04-14,0.8174102306365967,12.625,12.75,12.5,12.625,2000
1992-04-15,0.8174102306365967,12.625,12.625,12.5,12.5,14000
1992-04-16,0.8174102306365967,12.625,12.625,12.5,12.625,9100
1992-04-20,0.7931308150291443,12.25,12.5,12.25,12.5,6700
1992-04-21,0.8012248277664185,12.375,12.5,12.25,12.375,10900
1992-04-22,0.8174102306365967,12.625,12.625,12.375,12.5,12100
1992-04-23,0.8174102306365967,12.625,12.625,12.5,12.5,8800
1992-04-24,0.8255037069320679,12.75,12.75,12.375,12.5,15600
1992-04-27,0.8174102306365967,12.625,12.75,12.625,12.625,10400
1992-04-28,0.8174102306365967,12.625,12.75,12.625,12.75,6400
1992-04-29,0.8174102306365967,12.625,12.75,12.625,12.75,10300
1992-04-30,0.8255037069320679,12.75,12.75,12.625,12.75,5700
1992-05-01,0.8255037069320679,12.75,12.75,12.625,12.75,9500
1992-05-04,0.8255037069320679,12.75,12.75,12.625,12.75,19700
1992-05-05,0.8174102306365967,12.625,12.75,12.625,12.625,12900
1992-05-06,0.8255037069320679,12.75,12.75,12.75,12.75,8300
1992-05-07,0.8174102306365967,12.625,12.75,12.625,12.75,7700
1992-05-08,0.8335966467857361,12.875,12.875,12.625,12.75,14100
1992-05-11,0.8335966467857361,12.875,12.875,12.75,12.75,8800
