Date,Adj Close,Close,High,Low,Open,Volume
1984-12-21,1.4203705787658691,4.046875,4.15625,3.9375,4.09375,1142400
1984-12-24,1.4423065185546875,4.109375,4.125,4.046875,4.078125,260800
1984-12-26,1.4203705787658691,4.046875,4.109375,4.03125,4.109375,103200
1984-12-27,1.4258540868759155,4.0625,4.09375,4.046875,4.078125,1440800
1984-12-28,1.4203705787658691,4.046875,4.0625,4.0,4.03125,319200
1984-12-31,1.4423065185546875,4.109375,4.171875,4.046875,4.078125,479200
1985-01-02,1.45875883102417,4.15625,4.203125,4.109375,4.109375,910400
1985-01-03,1.45875883102417,4.15625,4.171875,4.125,4.15625,364800
1985-01-04,1.4477907419204712,4.125,4.171875,4.125,4.140625,332800
1985-01-07,1.4642425775527954,4.171875,4.21875,4.140625,4.171875,1047200
1985-01-08,1.4697264432907104,4.1875,4.203125,4.15625,4.171875,320800
1985-01-09,1.4806945323944092,4.21875,4.21875,4.1875,4.21875,337600
1985-01-10,1.5081156492233276,4.296875,4.296875,4.203125,4.21875,1797600
1985-01-11,1.5026310682296753,4.28125,4.3125,4.234375,4.296875,1031200
1985-01-14,1.5190836191177368,4.328125,4.328125,4.25,4.25,2920800
1985-01-15,1.5465031862258911,4.40625,4.4375,4.296875,4.328125,5229600
1985-01-16,1.5848913192749023,4.515625,4.5625,4.40625,4.5,13840000
1985-01-17,1.5794079303741455,4.5,4.515625,4.484375,4.515625,1127200
1985-01-18,1.5958611965179443,4.546875,4.578125,4.515625,4.53125,2415200
1985-01-21,1.6561850309371948,4.71875,4.71875,4.53125,4.53125,1831200
1985-01-22,1.661668300628662,4.734375,4.859375,4.71875,4.734375,2558400
1985-01-23,1.6726375818252563,4.765625,4.796875,4.71875,4.75,644800
1985-01-24,1.661668300628662,4.734375,4.796875,4.71875,4.734375,940800
1985-01-25,1.7274783849716187,4.921875,4.921875,4.71875,4.71875,966400
1985-01-28,1.7548978328704834,5.0,5.0,4.859375,4.875,801600
1985-01-29,1.7439301013946533,4.96875,4.96875,4.875,4.921875,579200
1985-01-30,1.7439301013946533,4.96875,4.984375,4.890625,4.984375,1524000
1985-01-31,1.7000566720962524,4.84375,4.90625,4.78125,4.875,620800
1985-02-01,1.6781213283538818,4.78125,4.84375,4.78125,4.8125,423200
1985-02-04,1.6890877485275269,4.8125,4.828125,4.765625,4.765625,1716000
1985-02-05,1.6781213283538818,4.78125,4.828125,4.75,4.8125,636800
1985-02-06,1.6507008075714111,4.703125,4.8125,4.65625,4.765625,1779200
1985-02-07,1.6781213283538818,4.78125,4.78125,4.6875,4.703125,568000
1985-02-08,1.705540657043457,4.859375,4.859375,4.75,4.78125,959200
1985-02-11,1.701108455657959,4.796875,4.8125,4.78125,4.8125,571200
1985-02-12,1.6789448261260986,4.734375,4.796875,4.71875,4.765625,586400
1985-02-13,1.6789448261260986,4.734375,4.75,4.6875,4.71875,432000
1985-02-14,1.6623214483261108,4.6875,4.734375,4.65625,4.734375,1396800
1985-02-15,1.6401561498641968,4.625,4.65625,4.625,4.65625,1879200
1985-02-19,1.6346157789230347,4.609375,4.6875,4.609375,4.6875,924800
1985-02-20,1.629075050354004,4.59375,4.625,4.578125,4.609375,1586400
1985-02-21,1.6235337257385254,4.578125,4.59375,4.546875,4.59375,1268000
1985-02-22,1.629075050354004,4.59375,4.609375,4.546875,4.5625,1045600
1985-02-25,1.6346157789230347,4.609375,4.609375,4.609375,4.609375,356800
1985-02-26,1.6456985473632812,4.640625,4.65625,4.59375,4.609375,665600
1985-02-27,1.6512393951416016,4.65625,4.6875,4.625,4.625,451200
1985-02-28,1.673403024673462,4.71875,4.71875,4.671875,4.6875,763200
1985-03-01,1.7121907472610474,4.828125,4.859375,4.71875,4.75,774400
1985-03-04,1.6900252103805542,4.765625,4.8125,4.734375,4.796875,907200
1985-03-05,1.6844854354858398,4.75,4.84375,4.71875,4.796875,940000
1985-03-06,1.706648826599121,4.8125,4.859375,4.75,4.75,1347200
1985-03-07,1.7121907472610474,4.828125,4.890625,4.765625,4.78125,678400
1985-03-08,1.7398958206176758,4.90625,4.90625,4.8125,4.8125,493600
1985-03-11,1.728814721107483,4.875,4.953125,4.859375,4.875,1016000
1985-03-12,1.6844854354858398,4.75,4.875,4.6875,4.84375,862400
1985-03-13,1.6678621768951416,4.703125,4.796875,4.6875,4.71875,280800
1985-03-14,1.701108455657959,4.796875,4.8125,4.65625,4.6875,569600
1985-03-15,1.6401561498641968,4.625,4.8125,4.625,4.765625,582400
1985-03-18,1.6567795276641846,4.671875,4.703125,4.625,4.625,464000
1985-03-19,1.6844854354858398,4.75,4.796875,4.640625,4.640625,392800
1985-03-20,1.6623214483261108,4.6875,4.71875,4.65625,4.71875,212800
1985-03-21,1.6567795276641846,4.671875,4.703125,4.625,4.65625,334400
1985-03-22,1.6678621768951416,4.703125,4.734375,4.65625,4.6875,413600
1985-03-25,1.6678621768951416,4.703125,4.734375,4.65625,4.703125,211200
1985-03-26,1.673403024673462,4.71875,4.78125,4.6875,4.71875,472000
1985-03-27,1.6789448261260986,4.734375,4.75,4.703125,4.734375,250400
1985-03-28,1.6567795276641846,4.671875,4.734375,4.640625,4.734375,610400
1985-03-29,1.6512393951416016,4.65625,4.703125,4.625,4.703125,410400
1985-04-01,1.6623214483261108,4.6875,4.703125,4.65625,4.671875,460800
1985-04-02,1.6678621768951416,4.703125,4.71875,4.671875,4.703125,448000
1985-04-03,1.6844854354858398,4.75,4.75,4.671875,4.671875,388000
1985-04-04,1.6789448261260986,4.734375,4.75,4.703125,4.703125,434400
1985-04-08,1.6789448261260986,4.734375,4.734375,4.703125,4.734375,388000
1985-04-09,1.673403024673462,4.71875,4.71875,4.6875,4.6875,454400
1985-04-10,1.6623214483261108,4.6875,4.78125,4.65625,4.78125,894400
1985-04-11,1.6623214483261108,4.6875,4.71875,4.671875,4.703125,643200
1985-04-12,1.6512393951416016,4.65625,4.6875,4.625,4.65625,1068800
1985-04-15,1.6623214483261108,4.6875,4.6875,4.625,4.625,189600
1985-04-16,1.6401561498641968,4.625,4.671875,4.578125,4.640625,768800
1985-04-17,1.5902866125106812,4.484375,4.578125,4.421875,4.5625,2160800
1985-04-18,1.5681228637695312,4.421875,4.4375,4.390625,4.40625,640800
1985-04-19,1.5736638307571411,4.4375,4.453125,4.390625,4.4375,615200
1985-04-22,1.5625814199447632,4.40625,4.40625,4.34375,4.40625,780000
1985-04-23,1.5792044401168823,4.453125,4.453125,4.34375,4.34375,564000
1985-04-24,1.5570403337478638,4.390625,4.453125,4.375,4.390625,4750400
1985-04-25,1.5736638307571411,4.4375,4.4375,4.34375,4.4375,649600
1985-04-26,1.5681228637695312,4.421875,4.4375,4.390625,4.40625,842400
1985-04-29,1.5570403337478638,4.390625,4.421875,4.375,4.421875,504000
1985-04-30,1.5459576845169067,4.359375,4.375,4.34375,4.359375,612800
1985-05-01,1.5404168367385864,4.34375,4.40625,4.34375,4.359375,2526400
1985-05-02,1.5459576845169067,4.359375,4.359375,4.3125,4.328125,977600
1985-05-03,1.5570403337478638,4.390625,4.40625,4.34375,4.359375,497600
1985-05-06,1.5469518899917603,4.3125,4.375,4.3125,4.359375,297600
1985-05-07,1.5693714618682861,4.375,4.375,4.3125,4.34375,423200
1985-05-08,1.5581610202789307,4.34375,4.375,4.328125,4.375,1213600
1985-05-09,1.5805808305740356,4.40625,4.40625,4.359375,4.359375,549600
1985-05-10,1.6198147535324097,4.515625,4.53125,4.40625,4.421875,1000000
1985-05-13,1.6142094135284424,4.5,4.546875,4.46875,4.546875,528000
1985-05-14,1.6478404998779297,4.59375,4.625,4.53125,4.53125,852000
1985-05-15,1.664655327796936,4.640625,4.6875,4.59375,4.609375,1112000
1985-05-16,1.70388925075531,4.75,4.75,4.65625,4.671875,509600
1985-05-17,1.7375184297561646,4.84375,4.859375,4.78125,4.78125,1585600
1985-05-20,1.771147608757019,4.9375,4.96875,4.875,4.890625,1227200
1985-05-21,1.7767529487609863,4.953125,4.96875,4.90625,4.9375,665600
1985-05-22,1.771147608757019,4.9375,4.96875,4.921875,4.9375,1565600
1985-05-23,1.7767529487609863,4.953125,4.953125,4.875,4.921875,925600
1985-05-24,1.7655417919158936,4.921875,4.984375,4.890625,4.96875,918400
1985-05-28,1.7431232929229736,4.859375,4.921875,4.828125,4.90625,714400
1985-05-29,1.7487291097640991,4.875,4.90625,4.828125,4.84375,803200
1985-05-30,1.7487291097640991,4.875,4.90625,4.84375,4.890625,470400
1985-05-31,1.7543329000473022,4.890625,4.90625,4.84375,4.875,618400
1985-06-03,1.7263078689575195,4.8125,4.890625,4.796875,4.859375,446400
1985-06-04,1.7655417919158936,4.921875,4.96875,4.78125,4.78125,4740800
1985-06-05,1.827197551727295,5.09375,5.109375,4.9375,4.953125,2116000
1985-06-06,1.832801103591919,5.109375,5.109375,5.03125,5.09375,1146400
1985-06-07,1.849617600440979,5.15625,5.1875,5.09375,5.09375,784000
1985-06-10,1.8384068012237549,5.125,5.15625,5.125,5.15625,580800
1985-06-11,1.832801103591919,5.109375,5.140625,5.09375,5.140625,719200
1985-06-12,1.827197551727295,5.09375,5.125,5.078125,5.109375,701600
1985-06-13,1.827197551727295,5.09375,5.15625,5.078125,5.125,1678400
1985-06-14,1.872035026550293,5.21875,5.234375,5.125,5.140625,594400
1985-06-17,1.883245587348938,5.25,5.25,5.1875,5.203125,363200
1985-06-18,1.8608254194259644,5.1875,5.28125,5.171875,5.21875,696800
1985-06-19,1.883245587348938,5.25,5.28125,5.15625,5.203125,1571200
1985-06-20,1.8944547176361084,5.28125,5.28125,5.21875,5.21875,241600
1985-06-21,1.9000600576400757,5.296875,5.296875,5.25,5.25,808000
1985-06-24,1.8888509273529053,5.265625,5.28125,5.21875,5.265625,1336800
1985-06-25,1.8664311170578003,5.203125,5.359375,5.1875,5.25,1568000
1985-06-26,1.883245587348938,5.25,5.28125,5.1875,5.21875,676000
1985-06-27,1.872035026550293,5.21875,5.296875,5.21875,5.25,648000
1985-06-28,1.8776400089263916,5.234375,5.265625,5.203125,5.25,646400
1985-07-01,1.8944547176361084,5.28125,5.296875,5.203125,5.234375,485600
1985-07-02,1.9056639671325684,5.3125,5.3125,5.25,5.265625,669600
1985-07-03,1.9392937421798706,5.40625,5.4375,5.28125,5.3125,1062400
1985-07-05,1.9448983669281006,5.421875,5.421875,5.390625,5.40625,444000
1985-07-08,1.9448983669281006,5.421875,5.421875,5.390625,5.390625,688000
1985-07-09,1.933689832687378,5.390625,5.421875,5.328125,5.421875,791200
1985-07-10,1.928083896636963,5.375,5.40625,5.34375,5.375,2248800
1985-07-11,1.933689832687378,5.390625,5.390625,5.328125,5.328125,1067200
1985-07-12,1.9561090469360352,5.453125,5.453125,5.390625,5.421875,568800
1985-07-15,1.9561090469360352,5.453125,5.5,5.4375,5.46875,708800
1985-07-16,1.9729235172271729,5.5,5.53125,5.421875,5.453125,656800
1985-07-17,2.034578323364258,5.671875,5.671875,5.59375,5.625,2698400
1985-07-18,2.07381272315979,5.78125,5.796875,5.625,5.671875,1896000
1985-07-19,2.107440233230591,5.875,5.90625,5.734375,5.75,1309600
1985-07-22,2.068207025527954,5.765625,5.859375,5.71875,5.84375,429600
1985-07-23,2.017763376235962,5.625,5.8125,5.59375,5.796875,941600
1985-07-24,1.984133243560791,5.53125,5.65625,5.5,5.65625,410400
1985-07-25,1.9953436851501465,5.5625,5.5625,5.5,5.53125,535200
1985-07-26,2.0513923168182373,5.71875,5.734375,5.546875,5.546875,1002400
1985-07-29,2.0233683586120605,5.640625,5.734375,5.59375,5.734375,928000
1985-07-30,2.0233683586120605,5.640625,5.65625,5.59375,5.625,361600
1985-07-31,2.034578323364258,5.671875,5.6875,5.625,5.640625,216800
1985-08-01,2.0289745330810547,5.65625,5.6875,5.625,5.671875,372800
1985-08-02,2.040182590484619,5.6875,5.734375,5.640625,5.671875,945600
1985-08-05,2.0289745330810547,5.65625,5.6875,5.640625,5.6875,348800
1985-08-06,1.990519642829895,5.5,5.65625,5.46875,5.5,2713600
1985-08-07,1.990519642829895,5.5,5.53125,5.40625,5.5,1204000
1985-08-08,2.058378219604492,5.6875,5.6875,5.5,5.53125,1320000
1985-08-09,2.0414140224456787,5.640625,5.703125,5.609375,5.65625,725600
1985-08-12,2.035759449005127,5.625,5.65625,5.609375,5.609375,644000
1985-08-13,2.0414140224456787,5.640625,5.6875,5.625,5.640625,587200
1985-08-14,2.047070264816284,5.65625,5.6875,5.625,5.625,302400
1985-08-15,2.001829147338867,5.53125,5.671875,5.53125,5.671875,822400
1985-08-16,1.9622442722320557,5.421875,5.53125,5.375,5.5,678400
1985-08-19,1.973555088043213,5.453125,5.484375,5.421875,5.421875,441600
1985-08-20,2.0074853897094727,5.546875,5.578125,5.453125,5.484375,385600
1985-08-21,2.013139486312866,5.5625,5.625,5.453125,5.53125,1249600
1985-08-22,1.990519642829895,5.5,5.59375,5.484375,5.59375,1018400
1985-08-23,1.984864354133606,5.484375,5.5625,5.4375,5.46875,458400
1985-08-26,1.990519642829895,5.5,5.546875,5.484375,5.484375,340800
1985-08-27,2.013139486312866,5.5625,5.5625,5.484375,5.484375,152800
1985-08-28,1.990519642829895,5.5,5.578125,5.46875,5.5625,448800
1985-08-29,2.001829147338867,5.53125,5.546875,5.484375,5.5,355200
1985-08-30,2.001829147338867,5.53125,5.546875,5.484375,5.53125,737600
1985-09-03,2.058378219604492,5.6875,5.6875,5.515625,5.546875,384000
1985-09-04,2.0527241230010986,5.671875,5.734375,5.625,5.6875,371200
1985-09-05,2.0187952518463135,5.578125,5.6875,5.5625,5.6875,484000
1985-09-06,2.0074853897094727,5.546875,5.59375,5.484375,5.5625,406400
1985-09-09,1.990519642829895,5.5,5.5625,5.5,5.5625,142400
1985-09-10,1.990519642829895,5.5,5.515625,5.46875,5.46875,272800
1985-09-11,1.9509352445602417,5.390625,5.5,5.375,5.5,1280000
1985-09-12,1.945279598236084,5.375,5.4375,5.34375,5.375,597600
1985-09-13,1.9622442722320557,5.421875,5.4375,5.375,5.375,556800
1985-09-16,1.9961754083633423,5.515625,5.53125,5.40625,5.453125,253600
1985-09-17,2.030104160308838,5.609375,5.625,5.515625,5.515625,879200
1985-09-18,1.984864354133606,5.484375,5.640625,5.484375,5.578125,427200
1985-09-19,1.984864354133606,5.484375,5.515625,5.453125,5.515625,568000
1985-09-20,1.9792089462280273,5.46875,5.53125,5.421875,5.453125,589600
1985-09-23,2.0244486331939697,5.59375,5.59375,5.53125,5.53125,484000
1985-09-24,2.030104160308838,5.609375,5.65625,5.578125,5.59375,599200
1985-09-25,2.030104160308838,5.609375,5.609375,5.546875,5.546875,301600
1985-09-26,2.0244486331939697,5.59375,5.625,5.53125,5.625,360000
1985-09-30,2.035759449005127,5.625,5.625,5.578125,5.59375,349600
1985-10-01,2.064033031463623,5.703125,5.703125,5.59375,5.609375,324000
1985-10-02,2.0244486331939697,5.59375,5.796875,5.59375,5.71875,1103200
1985-10-03,2.030104160308838,5.609375,5.6875,5.578125,5.578125,260800
1985-10-04,2.0187952518463135,5.578125,5.609375,5.546875,5.609375,794400
1985-10-07,1.9565895795822144,5.40625,5.5625,5.390625,5.5625,848800
