Date,Adj Close,Close,High,Low,Open,Volume
1998-01-29,2.31221079826355,2.40625,2.46875,2.28125,2.28125,22820800
1998-01-30,2.402297258377075,2.5,2.546875,2.40625,2.40625,2928000
1998-02-02,2.3572540283203125,2.453125,2.539062976837158,2.4375,2.5,585600
1998-02-03,2.282182455062866,2.375,2.453125,2.375,2.453125,673600
1998-02-04,2.282182455062866,2.375,2.40625,2.375,2.375,877600
1998-02-05,2.2521536350250244,2.34375,2.390625,2.34375,2.375,804800
1998-02-06,2.192096471786499,2.28125,2.34375,2.203125,2.34375,777600
1998-02-09,2.2221250534057617,2.3125,2.359375,2.265625,2.265625,1488000
1998-02-10,2.229632616043091,2.320312976837158,2.359375,2.3125,2.3125,52000
1998-02-11,2.3872830867767334,2.484375,2.5,2.3125,2.3125,740000
1998-02-12,2.342240333557129,2.4375,2.5,2.421875,2.484375,663200
1998-02-13,2.3572540283203125,2.453125,2.5,2.4375,2.5,615200
1998-02-17,2.432326078414917,2.53125,2.5625,2.4375,2.4375,671200
1998-02-18,2.447340250015259,2.546875,2.578125,2.53125,2.53125,245600
1998-02-19,2.5073978900909424,2.609375,2.65625,2.546875,2.546875,156800
1998-02-20,2.5073978900909424,2.609375,2.671875,2.609375,2.609375,307200
1998-02-23,2.522412061691284,2.625,2.65625,2.609375,2.65625,43200
1998-02-24,2.552441120147705,2.65625,2.65625,2.59375,2.65625,41600
1998-02-25,2.567455530166626,2.671875,2.734375,2.59375,2.59375,547200
1998-02-26,2.567455530166626,2.671875,2.703125,2.671875,2.671875,105600
1998-02-27,2.5974841117858887,2.703125,2.71875,2.640625,2.65625,96800
1998-03-02,2.567455530166626,2.671875,2.6875,2.640625,2.65625,1313600
1998-03-03,2.522412061691284,2.625,2.671875,2.609375,2.671875,269600
1998-03-04,2.4923834800720215,2.59375,2.609375,2.59375,2.609375,82400
1998-03-05,2.3722686767578125,2.46875,2.59375,2.4375,2.546875,880000
1998-03-06,2.417311906814575,2.515625,2.515625,2.453125,2.46875,903200
1998-03-09,2.432326078414917,2.53125,2.546875,2.5,2.5,758400
1998-03-10,2.462355136871338,2.5625,2.578125,2.5,2.5,101600
1998-03-11,2.4923834800720215,2.59375,2.632812976837158,2.5625,2.570312976837158,160000
1998-03-12,2.522412061691284,2.625,2.625,2.59375,2.609375,783200
1998-03-13,2.537426471710205,2.640625,2.65625,2.59375,2.59375,93600
1998-03-16,2.522412061691284,2.625,2.640625,2.59375,2.59375,132800
1998-03-17,2.522412061691284,2.625,2.65625,2.625,2.625,12000
1998-03-18,2.552441120147705,2.65625,2.65625,2.625,2.625,106400
1998-03-19,2.567455530166626,2.671875,2.671875,2.625,2.625,177600
1998-03-20,2.552441120147705,2.65625,2.671875,2.625,2.671875,168800
1998-03-23,2.567455530166626,2.671875,2.671875,2.625,2.625,20000
1998-03-24,2.4923834800720215,2.59375,2.671875,2.59375,2.671875,87200
1998-03-25,2.5824694633483887,2.6875,2.6875,2.570312976837158,2.59375,1600800
1998-03-26,2.4923834800720215,2.59375,2.734375,2.578125,2.71875,944000
1998-03-27,2.4773693084716797,2.578125,2.59375,2.578125,2.59375,13600
1998-03-30,2.6425271034240723,2.75,2.765625,2.578125,2.578125,394400
1998-03-31,2.6425271034240723,2.75,2.765625,2.703125,2.765625,168800
1998-04-01,2.6124985218048096,2.71875,2.75,2.71875,2.75,24800
1998-04-02,2.672555685043335,2.78125,2.78125,2.6875,2.75,344000
1998-04-03,2.6275124549865723,2.734375,2.78125,2.71875,2.78125,394400
1998-04-06,2.6350204944610596,2.742187976837158,2.765625,2.703125,2.765625,121600
1998-04-07,2.6425271034240723,2.75,2.75,2.703125,2.703125,1808800
1998-04-08,2.822699546813965,2.9375,2.9375,2.75,2.75,453600
1998-04-09,2.7175989151000977,2.828125,2.9375,2.8125,2.9375,842400
1998-04-13,2.7025845050811768,2.8125,2.8125,2.8125,2.8125,16000
1998-04-14,2.7175989151000977,2.828125,2.859375,2.8125,2.859375,1280800
1998-04-15,2.762641668319702,2.875,2.875,2.835937976837158,2.835937976837158,65600
1998-04-16,2.762641668319702,2.875,2.875,2.875,2.875,80000
1998-04-17,2.777656078338623,2.890625,2.890625,2.890625,2.890625,24000
1998-04-20,2.792670726776123,2.90625,2.90625,2.8125,2.890625,163200
1998-04-21,2.7476277351379395,2.859375,2.875,2.859375,2.859375,34400
1998-04-22,2.7476277351379395,2.859375,2.859375,2.859375,2.859375,0
1998-04-23,2.7476277351379395,2.859375,2.875,2.828125,2.859375,192000
1998-04-24,2.7175989151000977,2.828125,2.875,2.828125,2.875,3200
1998-04-27,2.7175989151000977,2.828125,2.84375,2.8125,2.828125,120000
1998-04-28,2.7175989151000977,2.828125,2.828125,2.828125,2.828125,0
1998-04-29,2.7025845050811768,2.8125,2.8125,2.8125,2.8125,800
1998-04-30,2.7326133251190186,2.84375,2.875,2.8125,2.875,6400
1998-05-01,2.7175989151000977,2.828125,2.859375,2.828125,2.859375,244800
1998-05-04,2.8827569484710693,3.0,3.0,2.875,2.90625,448000
1998-05-05,2.8677427768707275,2.984375,3.0,2.9375,2.9375,25600
1998-05-06,2.912785291671753,3.03125,3.0625,2.9375,2.984375,279200
1998-05-07,2.942814826965332,3.0625,3.0625,3.0,3.03125,75200
1998-05-08,3.03290057182312,3.15625,3.15625,3.0625,3.0625,57600
1998-05-11,3.1229867935180664,3.25,3.3125,3.21875,3.25,485600
1998-05-12,3.243101119995117,3.375,3.4375,3.3125,3.375,998400
1998-05-13,3.1980583667755127,3.328125,3.375,3.328125,3.375,36000
1998-05-14,3.183043956756592,3.3125,3.375,3.3125,3.3125,71200
1998-05-15,3.077943801879883,3.203125,3.3125,3.203125,3.3125,136000
1998-05-18,3.077943801879883,3.203125,3.234375,3.203125,3.234375,21600
1998-05-19,3.085451126098633,3.210937976837158,3.234375,3.203125,3.203125,477600
1998-05-20,3.085451126098633,3.210937976837158,3.210937976837158,3.210937976837158,3.210937976837158,0
1998-05-21,3.077943801879883,3.203125,3.210937976837158,3.203125,3.203125,8800
1998-05-22,3.077943801879883,3.203125,3.203125,3.203125,3.203125,800
1998-05-26,3.077943801879883,3.203125,3.203125,3.203125,3.203125,8000
1998-05-27,3.01788592338562,3.140625,3.203125,3.140625,3.203125,32000
1998-05-28,3.0028717517852783,3.125,3.140625,3.125,3.140625,28000
1998-05-29,3.0028717517852783,3.125,3.125,3.125,3.125,0
1998-06-01,2.9728429317474365,3.09375,3.125,3.09375,3.125,34400
1998-06-02,2.942814826965332,3.0625,3.0625,3.0625,3.0625,4800
1998-06-03,2.942814826965332,3.0625,3.0625,3.0625,3.0625,4000
1998-06-04,2.942814826965332,3.0625,3.140625,3.0625,3.140625,1600
1998-06-05,2.8827569484710693,3.0,3.0625,2.875,3.0625,1465600
1998-06-08,2.792670726776123,2.90625,2.9375,2.890625,2.9375,81600
1998-06-09,2.822699546813965,2.9375,2.9375,2.859375,2.875,36000
1998-06-10,2.7326133251190186,2.84375,2.9375,2.796875,2.84375,129600
1998-06-11,2.7326133251190186,2.84375,2.875,2.828125,2.875,20000
1998-06-12,2.7288601398468018,2.839843988418579,2.839843988418579,2.796875,2.828125,182400
1998-06-15,2.762641668319702,2.875,2.882812976837158,2.765625,2.8125,785600
1998-06-16,2.762641668319702,2.875,2.890625,2.859375,2.875,264000
1998-06-17,2.897771120071411,3.015625,3.015625,2.898437976837158,2.90625,245600
1998-06-18,2.897771120071411,3.015625,3.015625,3.015625,3.015625,0
1998-06-19,2.8827569484710693,3.0,3.015625,2.984375,2.984375,328000
1998-06-22,2.8827569484710693,3.0,3.0,3.0,3.0,800
1998-06-23,2.8827569484710693,3.0,3.078125,3.0,3.03125,172000
1998-06-24,3.01788592338562,3.140625,3.140625,3.03125,3.03125,1600
1998-06-25,2.942814826965332,3.0625,3.125,3.0625,3.109375,148000
1998-06-26,3.03290057182312,3.15625,3.15625,3.0625,3.09375,127200
1998-06-29,2.942814826965332,3.0625,3.125,3.0625,3.125,36800
1998-06-30,2.942814826965332,3.0625,3.0625,3.0625,3.0625,4000
1998-07-01,2.9728429317474365,3.09375,3.09375,3.0625,3.0625,11200
1998-07-02,2.9728429317474365,3.09375,3.09375,3.0625,3.0625,17600
