Date,Adj Close,Close,High,Low,Open,Volume
1991-10-25,2.6460208892822266,10.5625,10.625,10.3125,10.4375,15468800
1991-10-28,2.599050998687744,10.375,10.625,10.3125,10.5625,2785800
1991-10-29,2.5833938121795654,10.3125,10.4375,10.25,10.3125,2518400
1991-10-30,2.6460208892822266,10.5625,10.5625,10.3125,10.375,2818600
1991-10-31,2.7869341373443604,11.125,11.3125,10.4375,10.5,5662000
1991-11-01,2.8025922775268555,11.1875,11.375,11.0,11.125,3684600
1991-11-04,2.7869341373443604,11.125,11.125,11.0,11.0625,1641000
1991-11-05,2.7399630546569824,10.9375,11.0625,10.9375,11.0625,751000
1991-11-06,2.7399630546569824,10.9375,10.9375,10.8125,10.9375,589000
1991-11-07,2.880875587463379,11.5,11.5,10.9375,10.9375,3738600
1991-11-08,2.8339040279388428,11.3125,11.6875,11.0,11.6875,5527400
1991-11-11,2.8339040279388428,11.3125,11.5,11.3125,11.4375,1045200
1991-11-12,2.9435031414031982,11.75,11.75,11.5,11.5,1833000
1991-11-13,3.053102970123291,12.1875,12.25,11.625,11.625,4418000
1991-11-14,3.178356170654297,12.6875,12.8125,12.5,12.6875,5054800
1991-11-15,2.9435031414031982,11.75,12.4375,11.5,12.4375,2959600
1991-11-18,3.053102970123291,12.1875,12.3125,11.6875,11.875,2685200
1991-11-19,2.959160566329956,11.8125,11.9375,11.5625,11.8125,2549800
1991-11-20,2.896533489227295,11.5625,11.8125,11.5625,11.8125,1403600
1991-11-21,2.880875587463379,11.5,11.6875,11.4375,11.5,1922800
1991-11-22,2.8495616912841797,11.375,11.4375,11.25,11.4375,1252800
1991-11-25,2.8339040279388428,11.3125,11.375,11.25,11.375,891800
1991-11-26,2.896533489227295,11.5625,11.5625,11.375,11.4375,2306600
1991-11-27,2.880875587463379,11.5,11.625,11.25,11.625,996800
1991-11-29,3.100074052810669,12.375,12.375,11.6875,11.6875,836000
1991-12-02,3.100074052810669,12.375,12.375,11.8125,11.8125,840200
1991-12-03,3.0217881202697754,12.0625,12.1875,12.0,12.125,553800
1991-12-04,2.9435031414031982,11.75,12.0625,11.6875,12.0,789400
1991-12-05,2.8495616912841797,11.375,11.6875,11.375,11.5625,724000
1991-12-06,2.896533489227295,11.5625,11.6875,11.3125,11.375,493400
1991-12-09,2.7556204795837402,11.0,11.5,10.75,11.4375,977200
1991-12-10,2.6929924488067627,10.75,10.875,10.625,10.8125,1690400
1991-12-11,2.6773359775543213,10.6875,10.875,10.3125,10.8125,2857000
1991-12-12,2.8182485103607178,11.25,11.25,10.6875,10.75,1804000
1991-12-13,2.7869341373443604,11.125,11.1875,11.0625,11.1875,882600
1991-12-16,2.8025922775268555,11.1875,11.3125,11.125,11.1875,465400
1991-12-17,2.7556204795837402,11.0,11.3125,10.875,11.25,1877000
1991-12-18,2.8025922775268555,11.1875,11.1875,10.9375,10.9375,567400
1991-12-19,2.7556204795837402,11.0,11.125,11.0,11.0625,543200
1991-12-20,2.7712771892547607,11.0625,11.0625,10.9375,11.0625,503800
1991-12-23,2.7712771892547607,11.0625,11.125,10.9375,11.125,663600
1991-12-24,2.7712771892547607,11.0625,11.125,11.0,11.0625,470400
1991-12-26,2.8182485103607178,11.25,11.3125,11.0625,11.1875,590000
1991-12-27,2.8495616912841797,11.375,11.375,11.3125,11.3125,463000
1991-12-30,2.9278452396392822,11.6875,11.8125,11.5,11.5,583200
1991-12-31,2.959160566329956,11.8125,11.875,11.5,11.6875,455000
1992-01-02,3.037444591522217,12.125,12.125,11.75,11.8125,768600
1992-01-03,3.100074052810669,12.375,12.375,12.125,12.1875,556000
1992-01-06,3.100074052810669,12.375,12.5625,12.3125,12.5,1128200
1992-01-07,3.0061309337615967,12.0,12.25,11.9375,12.25,1370200
1992-01-08,2.959160566329956,11.8125,12.1875,11.75,11.875,1111600
1992-01-09,3.0217881202697754,12.0625,12.1875,11.9375,12.125,901200
1992-01-10,2.8652172088623047,11.4375,12.125,11.375,12.0625,794200
1992-01-13,3.0061309337615967,12.0,12.0,11.625,11.6875,1246800
1992-01-14,3.1313862800598145,12.5,12.5,12.1875,12.1875,1019600
1992-01-15,3.1313862800598145,12.5,12.5,12.0625,12.3125,754000
1992-01-16,3.0687592029571533,12.25,12.4375,12.1875,12.4375,474600
1992-01-17,3.147042751312256,12.5625,12.625,12.25,12.3125,634400
1992-01-20,3.178356170654297,12.6875,12.75,12.5,12.5625,363600
1992-01-21,3.162700891494751,12.625,12.875,12.25,12.6875,1896600
1992-01-22,3.0844168663024902,12.3125,12.5,12.125,12.4375,667600
1992-01-23,3.0217881202697754,12.0625,12.3125,11.9375,12.3125,453400
1992-01-24,3.0687592029571533,12.25,12.3125,12.0625,12.1875,246000
1992-01-27,2.9904744625091553,11.9375,12.3125,11.5,12.3125,1070400
1992-01-28,3.0217881202697754,12.0625,12.125,11.875,12.0,405200
1992-01-29,2.9748172760009766,11.875,12.1875,11.8125,12.125,442600
1992-01-30,2.91218900680542,11.625,11.8125,11.5625,11.75,889200
1992-01-31,2.8495616912841797,11.375,11.625,11.3125,11.625,621600
1992-02-03,2.959160566329956,11.8125,11.8125,11.5625,11.5625,310800
1992-02-04,2.9278452396392822,11.6875,11.75,11.6875,11.75,329400
1992-02-05,2.9904744625091553,11.9375,12.0,11.6875,11.8125,614200
1992-02-06,3.053102970123291,12.1875,12.3125,12.0,12.0,1084200
1992-02-07,3.0687592029571533,12.25,12.375,11.9375,12.25,634800
1992-02-10,3.0687592029571533,12.25,12.375,12.125,12.375,372000
1992-02-11,3.0217881202697754,12.0625,12.1875,12.0625,12.1875,423600
1992-02-12,2.9748172760009766,11.875,11.9375,11.75,11.9375,680000
1992-02-13,2.9278452396392822,11.6875,11.8125,11.625,11.8125,349200
1992-02-14,2.91218900680542,11.625,11.6875,11.4375,11.5625,329000
