Date,Adj Close,Close,High,Low,Open,Volume
1998-11-16,4.132574081420898,28.4375,28.6875,27.75,27.75,880900
1998-11-17,4.54128885269165,31.25,31.25,29.9375,30.625,655900
1998-11-18,4.414132118225098,30.375,31.75,29.625,30.5,1725000
1998-11-19,4.087160587310791,28.125,30.25,28.0,29.9375,1258200
1998-11-20,4.196150302886963,28.875,29.1875,28.0,28.8125,847900
1998-11-23,4.1598219871521,28.625,28.9375,28.25,28.9375,1197100
1998-11-24,4.1234917640686035,28.375,28.5625,28.125,28.375,1191400
1998-11-25,4.087160587310791,28.125,28.875,27.75,28.1875,1200400
1998-11-27,4.087160587310791,28.125,28.4375,27.375,28.25,915900
1998-11-30,3.887342691421509,26.75,28.625,26.75,28.0,672100
1998-12-01,3.80560040473938,26.1875,27.0,25.75,26.5,424500
1998-12-02,3.751105785369873,25.8125,26.375,25.25,26.375,887700
1998-12-03,3.396885633468628,23.375,24.375,22.625,24.0,1135400
1998-12-04,3.560370922088623,24.5,24.75,23.6875,24.4375,464700
1998-12-07,3.723857879638672,25.625,26.625,24.875,25.0625,445200
1998-12-08,3.578535795211792,24.625,26.25,24.0,26.25,424200
1998-12-09,3.660278797149658,25.1875,25.75,24.6875,25.25,577100
1998-12-10,3.496793508529663,24.0625,24.9375,23.8125,24.9375,215500
1998-12-11,3.415050506591797,23.5,24.0,23.125,23.9375,453200
1998-12-14,3.215233325958252,22.125,22.625,21.5,22.5,339800
1998-12-15,3.3423893451690674,23.0,24.0,21.0,22.0,741700
1998-12-16,3.233396530151367,22.25,23.5,21.625,23.0625,756300
1998-12-17,3.2606465816497803,22.4375,22.5,21.25,21.5,455400
1998-12-18,3.124406337738037,21.5,21.9375,21.25,21.5,103200
1998-12-21,3.233396530151367,22.25,22.4375,21.625,21.6875,293300
1998-12-22,3.2969777584075928,22.6875,23.0625,21.75,22.9375,922000
1998-12-23,3.396885633468628,23.375,23.625,23.1875,23.1875,432700
1998-12-24,3.360555410385132,23.125,23.125,22.875,22.875,27300
1998-12-28,3.315141201019287,22.8125,23.9375,22.5,23.8125,595100
1998-12-29,3.3060593605041504,22.75,23.25,21.625,22.0625,259300
1998-12-30,3.124406337738037,21.5,22.75,21.25,22.5,279600
1998-12-31,3.215233325958252,22.125,22.625,21.5,21.5,93500
1999-01-04,3.4404993057250977,22.375,22.875,22.1875,22.5,249900
1999-01-05,3.4885523319244385,22.6875,22.875,22.125,22.375,8225100
1999-01-06,3.4404993057250977,22.375,24.0625,22.375,23.625,644100
1999-01-07,3.3059539794921875,21.5,21.75,21.0,21.25,471000
1999-01-08,3.1810190677642822,20.6875,21.75,20.0625,21.4375,355400
1999-01-11,2.940762996673584,19.125,20.125,18.5625,19.875,342900
1999-01-12,2.7005035877227783,17.5625,18.3125,16.8125,18.0,544000
1999-01-13,2.479466676712036,16.125,16.4375,13.5,14.5,1333400
1999-01-14,2.460244655609131,16.0,16.0,14.25,15.0,712600
1999-01-15,3.113748073577881,20.25,20.4375,17.1875,18.0,1370100
1999-01-19,2.8254387378692627,18.375,19.875,17.75,18.0,822400
1999-01-20,2.9984233379364014,19.5,20.4375,19.0625,19.375,1184700
1999-01-21,2.806218147277832,18.25,19.0,17.125,18.0,460600
1999-01-22,2.5755698680877686,16.75,17.75,16.75,17.125,372600
1999-01-25,2.6620635986328125,17.3125,17.5,16.5,17.25,436900
1999-01-26,2.7581663131713867,17.9375,18.0,16.5625,16.5625,418000
1999-01-27,2.594789743423462,16.875,17.75,16.5,17.5,408800
1999-01-28,2.6908929347991943,17.5,17.5625,17.0,17.0,723400
1999-01-29,2.7005035877227783,17.5625,18.25,17.0,17.0,784200
1999-02-01,2.9792051315307617,19.375,20.25,18.375,18.5,496600
1999-02-02,3.0753068923950195,20.0,20.9375,19.375,20.0,475700
1999-02-03,3.0464770793914795,19.8125,20.125,19.375,19.5,865400
1999-02-04,2.921541213989258,19.0,20.25,19.0,19.625,313700
1999-02-05,2.8927104473114014,18.8125,19.25,18.0625,19.25,662300
1999-02-08,2.8927104473114014,18.8125,19.25,18.25,18.8125,8234900
1999-02-09,2.729335069656372,17.75,19.1875,17.75,19.1875,294500
1999-02-10,2.8927104473114014,18.8125,19.0,18.0625,18.125,313000
1999-02-11,2.9119303226470947,18.9375,19.875,18.75,18.75,187400
1999-02-12,2.844658374786377,18.5,18.75,18.3125,18.6875,124100
1999-02-16,2.8927104473114014,18.8125,19.6875,18.75,18.75,205300
1999-02-17,2.796607494354248,18.1875,19.125,18.0,18.9375,180300
1999-02-18,2.738945722579956,17.8125,18.25,17.5,18.0625,758700
1999-02-19,2.6908929347991943,17.5,17.8125,17.5,17.8125,428400
1999-02-22,2.710113286972046,17.625,18.0,17.375,18.0,362400
1999-02-23,2.6043996810913086,16.9375,17.5,16.6875,17.5,317200
1999-02-24,2.5851802825927734,16.8125,16.9375,16.5,16.9375,133000
1999-02-25,2.5275180339813232,16.4375,16.9375,16.125,16.9375,306200
1999-02-26,2.537128448486328,16.5,16.5625,16.1875,16.3125,740000
1999-03-01,2.5275180339813232,16.4375,17.4375,16.4375,17.4375,530600
1999-03-02,2.469855546951294,16.0625,16.25,15.625,15.75,257500
1999-03-03,2.556349515914917,16.625,16.75,15.8125,15.875,245700
1999-03-04,2.6140103340148926,17.0,17.0,16.8125,16.875,674700
1999-03-05,2.710113286972046,17.625,17.9375,17.625,17.9375,838200
1999-03-08,2.806218147277832,18.25,18.25,17.25,17.375,356700
1999-03-09,2.844658374786377,18.5,18.6875,18.0625,18.5,606700
1999-03-10,2.921541213989258,19.0,19.25,18.5,18.5,662300
1999-03-11,2.748555898666382,17.875,19.0,17.6875,18.875,478800
1999-03-12,2.623621702194214,17.0625,17.75,16.9375,17.75,341500
1999-03-15,2.9599831104278564,19.25,19.375,17.1875,17.1875,1058000
1999-03-16,3.0080337524414062,19.5625,19.875,19.0625,19.5,1441000
1999-03-17,3.0080337524414062,19.5625,20.25,19.125,19.5,1631800
1999-03-18,3.363617420196533,21.875,21.875,19.875,20.1875,1393500
1999-03-19,3.2771236896514893,21.3125,22.625,21.3125,21.625,2331600
1999-03-22,3.1906299591064453,20.75,21.75,20.375,21.75,463400
1999-03-23,3.084916591644287,20.0625,20.8125,19.9375,20.5625,788300
1999-03-24,3.094527244567871,20.125,20.625,20.0625,20.625,722500
1999-03-25,3.363617420196533,21.875,22.5,21.3125,21.3125,851600
1999-03-26,3.2771236896514893,21.3125,22.1875,21.0625,22.1875,603700
1999-03-29,3.267512798309326,21.25,21.75,21.0,21.4375,790200
1999-03-30,3.2002408504486084,20.8125,21.875,20.5,21.25,750900
1999-03-31,3.1714088916778564,20.625,21.0,20.625,21.0,649700
1999-04-01,3.1714088916778564,20.625,20.75,20.25,20.5,499000
1999-04-05,3.2579030990600586,21.1875,21.375,20.5,20.5,515000
1999-04-06,3.4020586013793945,22.125,22.75,21.3125,21.3125,943700
1999-04-07,3.517380714416504,22.875,23.0,22.375,22.9375,1059200
1999-04-08,3.7191991806030273,24.1875,25.0,22.8125,22.8125,1514600
1999-04-09,3.7384207248687744,24.3125,24.5,23.375,23.8125,727500
1999-04-12,3.8825759887695312,25.25,25.375,23.5,23.8125,841400
1999-04-13,3.8825759887695312,25.25,26.5,24.75,24.75,1268600
1999-04-14,3.9017934799194336,25.375,26.5,25.25,26.0625,849300
1999-04-15,3.921017646789551,25.5,25.9375,25.1875,25.375,741300
